Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program2,GO:0015293,symporter activity,MF,2,12,42,11.178571428571427,0.013031552800948596,N900_RS02750/N900_RS16255,0.22153639761612612,0.6545549105911258,1.0483863062042291
Program2,GO:0005975,carbohydrate metabolic process,BP,3,34,42,5.918067226890756,0.013379744501411205,N900_RS01460/N900_RS15185/N900_RS16875,0.11372782826199525,0.9441332540292915,0.7721798942652802
Program2,GO:0042802,identical protein binding,MF,2,18,42,7.4523809523809526,0.028552083123738532,N900_RS02750/N900_RS07805,0.161795137701185,0.7910345340295225,0.872295047148548
Program2,GO:0016020,membrane,CC,9,310,42,1.9472350230414746,0.03532654706834713,N900_RS00175/N900_RS03060/N900_RS03965/N900_RS09005/N900_RS09905/N900_RS11175/N900_RS14580/N900_RS15790/N900_RS16255,0.15013782504047532,0.8235098797961394,0.28941837219292504
Program2,GO:0015031,protein transport,BP,2,21,42,6.387755102040816,0.03810375044928139,N900_RS17025/N900_RS18065,0.12955275152755671,0.8875533587449663,0.8053482575179348
Program2,GO:0006310,DNA recombination,BP,2,33,42,4.064935064935065,0.0856971797228081,N900_RS10565/N900_RS19020,0.24280867588128963,0.6147357993922781,0.6090536123739666
Program2,GO:0005576,extracellular region,CC,2,39,42,3.4395604395604393,0.11380831281181776,N900_RS11175/N900_RS17830,0.2763916168287003,0.5584751335852827,0.5365029452253549
Program2,GO:0000160,phosphorelay signal transduction system,BP,2,41,42,3.2717770034843205,0.12365519215644621,N900_RS06050/N900_RS17040,0.2627672833324482,0.5804287089474729,0.5147836955321186
Program2,GO:0046872,metal ion binding,MF,7,290,42,1.6189655172413793,0.13420396904921575,N900_RS00175/N900_RS00465/N900_RS06750/N900_RS07550/N900_RS11065/N900_RS11175/N900_RS17830,0.253496385981852,0.5960282278861774,0.20923759870317363
Program2,GO:0022857,transmembrane transporter activity,MF,3,87,42,2.312807881773399,0.1383679127512133,N900_RS07765/N900_RS11590/N900_RS18065,0.2352254516770626,0.6285156888676693,0.3641395586889168
Program2,GO:0009055,electron transfer activity,MF,2,44,42,3.0487012987012987,0.13879919236014443,N900_RS00465/N900_RS06750,0.21450784273840504,0.6685568247112095,0.48411487576566664
Program2,GO:0006508,proteolysis,BP,2,62,42,2.163594470046083,0.2358458045901642,N900_RS11175/N900_RS17830,0.33411488983606596,0.47610416958920704,0.3351758627536003
Program2,GO:0005886,plasma membrane,CC,12,661,42,1.2176356170304732,0.2666387385970577,N900_RS01110/N900_RS02750/N900_RS06750/N900_RS07765/N900_RS11060/N900_RS11590/N900_RS14390/N900_RS16255/N900_RS16835/N900_RS17025/N900_RS17040/N900_RS18065,0.3486814273961524,0.45757118481266695,0.08551734314985744
Program2,GO:0016887,ATP hydrolysis activity,MF,2,126,42,1.064625850340136,0.5677516722055498,N900_RS11590/N900_RS19020,0.6894127448210247,0.16152069227376,0.027197007134291174
Program2,GO:0005829,cytosol,CC,5,420,42,0.7984693877551019,0.7726801184934521,N900_RS01525/N900_RS03965/N900_RS05615/N900_RS06810/N900_RS07805,0.8757041342925791,0.05764259993693291,-0.09774172947400885
Program2,GO:0005524,ATP binding,MF,4,355,42,0.7557344064386317,0.7947546883276744,N900_RS01460/N900_RS11175/N900_RS11590/N900_RS19020,0.8444268563481541,0.07343796274201024,-0.12163080513925888
Program2,GO:0005737,cytoplasm,CC,5,433,42,0.7744968657208842,0.7964286047811526,N900_RS00175/N900_RS01460/N900_RS10565/N900_RS16245/N900_RS19020,0.7964286047811526,0.0988531501068134,-0.11098033542947376
