Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program6,GO:0043565,sequence-specific DNA binding,MF,2,35,32,5.0303571428571425,0.05895110968642516,N900_RS11160/N900_RS12195,0.5895110968642516,0.22950801540086543,0.701598819979573
Program6,GO:0003723,RNA binding,MF,2,52,32,3.3858173076923075,0.11677176592971864,N900_RS03240/N900_RS11460,0.5838588296485931,0.23369214760676774,0.5296635206950494
Program6,GO:0016887,ATP hydrolysis activity,MF,3,126,32,2.095982142857143,0.1699698226235724,N900_RS11040/N900_RS11160/N900_RS16535,0.5665660754119081,0.2467494335263055,0.32138757826796693
Program6,GO:0005524,ATP binding,MF,6,355,32,1.4878521126760562,0.208117459548435,N900_RS06615/N900_RS11040/N900_RS11160/N900_RS11870/N900_RS16535/N900_RS18420,0.5202936488710875,0.28375147542450013,0.17255976599441689
Program6,GO:0022857,transmembrane transporter activity,MF,2,87,32,2.023706896551724,0.2597379942812379,N900_RS13170/N900_RS16535,0.5194759885624758,0.28443452178499457,0.30614761171123006
Program6,GO:0005886,plasma membrane,CC,9,661,32,1.1986100605143721,0.3280542673428901,N900_RS01250/N900_RS01895/N900_RS10325/N900_RS11040/N900_RS13170/N900_RS14065/N900_RS16535/N900_RS17695/N900_RS19875,0.5467571122381502,0.2622055589337769,0.078677918619552
Program6,GO:0003700,DNA-binding transcription factor activity,MF,2,126,32,1.3973214285714286,0.42306680024603505,N900_RS10235/N900_RS12195,0.6043811432086216,0.21868909418111954,0.1452963192122857
Program6,GO:0005737,cytoplasm,CC,4,433,32,0.8132217090069284,0.748014189158682,N900_RS03240/N900_RS10235/N900_RS11160/N900_RS12690,0.9350177364483525,0.029180150872306188,-0.0897910363595357
Program6,GO:0046872,metal ion binding,MF,2,290,32,0.6071120689655173,0.8570788306721108,N900_RS01885/N900_RS02555,0.9523098118579009,0.021221741015051088,-0.21673113356910748
Program6,GO:0005829,cytosol,CC,3,420,32,0.6287946428571428,0.8768769740604292,N900_RS11460/N900_RS14860/N900_RS18420,0.8768769740604292,0.05706133392539943,-0.20149116701237066
Program7,GO:0008270,zinc ion binding,MF,4,74,35,4.350579150579151,0.012406753330898019,N900_RS06830/N900_RS11605/N900_RS11695/N900_RS15140,0.16128779330167425,0.7923984999534348,0.6385470742324839
Program7,GO:0030170,pyridoxal phosphate binding,MF,2,37,35,4.350579150579151,0.07618390027153413,N900_RS00090/N900_RS08565,0.4951953517649718,0.3052234405475058,0.6385470742324839
Program7,GO:0000155,phosphorelay sensor kinase activity,MF,2,42,35,3.8326530612244896,0.09480689181197761,N900_RS07080/N900_RS17760,0.4108298645185697,0.3863379936916213,0.5834995079015785
Program7,GO:0005886,plasma membrane,CC,12,661,35,1.461162740436568,0.09676603193972881,N900_RS00425/N900_RS01745/N900_RS04240/N900_RS05455/N900_RS06805/N900_RS06830/N900_RS09030/N900_RS14190/N900_RS14620/N900_RS16715/N900_RS17760/N900_RS18705,0.3144896038041186,0.5023937066102239,0.1646985891974823
Program7,GO:0009055,electron transfer activity,MF,2,44,35,3.658441558441558,0.10259509704735985,N900_RS03260/N900_RS10165,0.2667472523231356,0.5739000454069457,0.5632961218132915
Program7,GO:0016020,membrane,CC,6,310,35,1.5577880184331798,0.1804343009824695,N900_RS00425/N900_RS03680/N900_RS07080/N900_RS12865/N900_RS13265/N900_RS17405,0.3909409854620172,0.4078887966260432,0.1925083591848687
Program7,GO:0007165,signal transduction,BP,2,76,35,2.118045112781955,0.2432450657571525,N900_RS17405/N900_RS17760,0.4517408364061403,0.3451106483710408,0.3259352060186876
