Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program6,GO:0043565,sequence-specific DNA binding,MF,2,35,32,5.0303571428571425,0.05895110968642516,N900_RS11160/N900_RS12195,0.5895110968642516,0.22950801540086543,0.701598819979573
Program6,GO:0003723,RNA binding,MF,2,52,32,3.3858173076923075,0.11677176592971864,N900_RS03240/N900_RS11460,0.5838588296485931,0.23369214760676774,0.5296635206950494
Program6,GO:0016887,ATP hydrolysis activity,MF,3,126,32,2.095982142857143,0.1699698226235724,N900_RS11040/N900_RS11160/N900_RS16535,0.5665660754119081,0.2467494335263055,0.32138757826796693
Program6,GO:0005524,ATP binding,MF,6,355,32,1.4878521126760562,0.208117459548435,N900_RS06615/N900_RS11040/N900_RS11160/N900_RS11870/N900_RS16535/N900_RS18420,0.5202936488710875,0.28375147542450013,0.17255976599441689
Program6,GO:0022857,transmembrane transporter activity,MF,2,87,32,2.023706896551724,0.2597379942812379,N900_RS13170/N900_RS16535,0.5194759885624758,0.28443452178499457,0.30614761171123006
Program6,GO:0005886,plasma membrane,CC,9,661,32,1.1986100605143721,0.3280542673428901,N900_RS01250/N900_RS01895/N900_RS10325/N900_RS11040/N900_RS13170/N900_RS14065/N900_RS16535/N900_RS17695/N900_RS19875,0.5467571122381502,0.2622055589337769,0.078677918619552
Program6,GO:0003700,DNA-binding transcription factor activity,MF,2,126,32,1.3973214285714286,0.42306680024603505,N900_RS10235/N900_RS12195,0.6043811432086216,0.21868909418111954,0.1452963192122857
Program6,GO:0005737,cytoplasm,CC,4,433,32,0.8132217090069284,0.748014189158682,N900_RS03240/N900_RS10235/N900_RS11160/N900_RS12690,0.9350177364483525,0.029180150872306188,-0.0897910363595357
Program6,GO:0046872,metal ion binding,MF,2,290,32,0.6071120689655173,0.8570788306721108,N900_RS01885/N900_RS02555,0.9523098118579009,0.021221741015051088,-0.21673113356910748
Program6,GO:0005829,cytosol,CC,3,420,32,0.6287946428571428,0.8768769740604292,N900_RS11460/N900_RS14860/N900_RS18420,0.8768769740604292,0.05706133392539943,-0.20149116701237066
