Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
VAE,N900_RS00170,serine/threonine protein kinase,-4.594197750091553,-1.3585562705993652,-7.229230403900147,4.159002780914307,1.4553744792938232,-0.0674342140555381,-3.6683638095855713,-0.0649473518133163,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417
VAE,N900_RS00175,ccoG,-2.4806432723999023,-3.240053415298462,-5.1507134437561035,3.1398093700408936,2.758996963500977,-1.230472445487976,-4.322113990783691,2.9379286766052246,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365
VAE,N900_RS00180,yihD,0.322822093963623,-1.737557291984558,-4.955583572387695,0.6227449774742126,1.425822615623474,-1.600127935409546,-3.1095168590545654,-2.2699222564697266,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001
VAE,N900_RS00185,VC_0038,0.2822214961051941,1.6877899169921875,-1.4824775457382202,6.011862754821777,-0.976328670978546,1.3386235237121582,3.7718417644500737,-0.2981476485729217,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053
VAE,N900_RS00190,SpoOM-related protein,-5.978180408477783,0.2026781439781189,-5.143642425537109,3.832379341125488,1.8897502422332764,2.0729758739471436,1.679321527481079,0.5557356476783752,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974
VAE,N900_RS00195,yqfA,-2.149616003036499,-0.645117461681366,-5.606651782989502,0.5446516871452332,3.723292112350464,-0.6326024532318115,-5.047096252441406,-0.904628038406372,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508
VAE,N900_RS00200,VC_0041,-4.08051061630249,-2.047353982925415,-5.780332088470459,0.5631042122840881,2.840945243835449,1.3537160158157349,-1.3935613632202148,0.7095952033996582,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392
VAE,N900_RS00205,trkI,-5.184851169586182,-0.6992400884628296,-4.007699012756348,4.359260559082031,-1.0925302505493164,3.235943078994751,0.6975847482681274,-1.3101420402526855,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062
VAE,N900_RS00215,rsmB,-5.139719486236572,-2.003317356109619,-3.980358839035034,3.0075552463531494,-2.2071008682250977,-0.8661506175994873,-5.762045383453369,1.6364330053329468,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992
VAE,N900_RS00225,def1,-3.203697204589844,-2.198917865753174,-3.0164968967437744,-0.7356897592544556,-3.3741531372070312,-0.3649346828460693,1.1989266872406006,-0.3445269465446472,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687
VAE,N900_RS00230,VC_0047,-6.793572425842285,-0.5134938359260559,-5.065883636474609,2.13275408744812,-1.482369065284729,1.689556360244751,0.1984717845916748,-0.1199391037225723,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887
VAE,N900_RS00235,dprA,-6.1125664710998535,-1.6585161685943604,-6.561221599578857,2.617509603500366,3.834297657012939,1.673699975013733,0.7405613660812378,-2.8385746479034424,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891
VAE,N900_RS00240,smg,-1.4316318035125732,-0.8029111623764038,-5.93107795715332,0.2477779388427734,-2.0298547744750977,-2.0233216285705566,0.6011864542961121,0.4483014941215515,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933
VAE,N900_RS00245,topA_1,-5.085458278656006,-1.2646783590316772,-4.835350036621094,3.6826930046081543,0.2183039784431457,3.895251035690307,1.3831079006195068,-0.991123378276825,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723
VAE,N900_RS00250,purK,-4.915618896484375,4.45669412612915,-0.5857123136520386,4.106381416320801,-0.5380319356918335,-1.0047214031219482,-0.2134735733270645,-0.75648432970047,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8
VAE,N900_RS00255,purE,-1.4674739837646484,7.088130950927734,-3.1146066188812256,-0.097971074283123,0.887984573841095,0.079849399626255,0.0628010928630828,-4.511711120605469,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378
VAE,N900_RS00260,tsaC,-4.019830226898193,-1.484385371208191,-7.650913715362549,0.4069817364215851,1.6876862049102783,1.3654496669769287,-4.490182876586914,-2.8787968158721924,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326
VAE,N900_RS00265,hemF,-4.466094970703125,1.972554087638855,-0.2465348839759826,-0.0065374374389648,-1.6232210397720337,-1.5775238275527954,-3.183095693588257,3.32883620262146,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634
