epoch,train_loss,val_loss
1,58.87705168047882,55.07936660033925
2,51.61522322456261,48.3870367954071
3,45.657407847030385,44.773924761873694
4,43.004180155098986,43.06077317653967
5,41.960341850828726,42.39885136677975
6,41.28336678464549,42.17668645615866
7,40.881276617173114,41.76384516897182
8,40.61229119906768,41.575232010046975
9,40.362853396926795,41.31098724556367
10,40.15325790601979,41.18816463335073
11,39.92219206808241,40.87329152531315
12,39.77961736015193,40.69110451461378
13,39.578297112396406,40.54291166492693
14,39.39407498129604,40.21370816479645
15,39.17335854770948,40.03895444611169
16,39.000672982849906,39.69944505153967
17,38.51723084282919,39.41396260112213
18,38.09102227929328,38.85007421059499
19,37.750851389848066,38.53586777466075
20,37.33867780991022,38.19101277074635
21,36.99732245626151,37.75309074895616
22,36.717179227094846,37.62387664731211
23,36.46438442391805,37.33978666492693
24,36.32684216016344,36.93431750717641
25,36.27727594814687,37.06809433716075
26,36.13094785911602,36.97844222990605
27,36.04373525264733,37.056112588074114
28,35.903989878280385,36.88825189196242
29,35.87239691240792,36.87208866127349
30,35.79815945844843,36.73779806563152
31,35.78042522732505,36.765688201330896
32,35.72075725857505,36.75031600665449
33,35.60673288587707,36.56157848382046
34,35.57346897300875,36.586067980167016
35,35.56020247036142,36.567923081941544
36,35.50303615619245,36.63309384786013
37,35.475489000633054,36.431640625
38,35.42414537292818,36.41386270224426
39,35.369071744072286,36.465591972207726
40,35.265083484403775,36.43738582985386
41,35.26053788271179,36.38476766375261
42,35.262260265596225,36.44556530532359
43,35.23013028027164,36.33662048212422
44,35.19404260905847,36.42006866518789
45,35.133271466390426,36.32588644963466
46,35.12843649286372,36.13586349328027
47,35.053485410911605,36.41959159707724
48,35.059744403199815,36.32490988713466
49,34.96901707095994,36.24673901520094
50,34.995220598814456,36.26052811847599
51,34.88239633690147,36.172944325743735
52,34.94089315003453,36.22916190957724
53,34.85695067909761,36.22623629958246
54,34.92509280041436,36.02619389352818
55,34.916280178119244,36.114570761025576
56,34.85721972836096,36.22229131328288
57,34.830702189802025,36.16495955114823
58,34.7991790040861,36.0555162529358
59,34.84334588656768,36.01718464574635
60,34.73199078470304,36.03028567001566
61,34.70292950765423,36.07342771398747
62,34.72289652394107,36.17475167993215
63,34.71695459973527,36.05157534414144
64,34.63608641229282,36.17899228536013
65,34.62709448377072,36.006217176082984
66,34.62342347203039,35.92858147670929
67,34.624623582815374,35.92707178040188
68,34.59193301824355,36.12791541623173
69,34.59640524286372,35.89486254729906
70,34.52307097433241,35.793343880480165
71,34.504207851346685,35.94328903803497
72,34.503536487108654,35.93850612441284
73,34.50856839174724,35.944799753718684
74,34.49477440147329,35.969019115344466
75,34.48119622611648,35.81655609831681
76,34.48951930824125,35.68414319382829
77,34.44934536141805,35.77567605036534
78,34.45648865532919,35.9316610125261
79,34.46140330052947,35.86650247912317
80,34.42925533062845,35.79930111560543
