k,silhouette_score
2,0.2520764770687181
3,0.19828466930660002
4,0.1773308548680106
5,0.17908978251069313
6,0.15893617299338048
7,0.14286394383103587
8,0.13708622824934033
9,0.13812891728488888
10,0.14076412608750236
