VAE_cluster,1h,3h,6h,12h,24h
0,0.0078125,0.09375,0.359375,0.3671875,0.171875
1,0.4525691699604743,0.3201581027667984,0.10869565217391304,0.09090909090909091,0.02766798418972332
2,0.18351477449455678,0.2208398133748056,0.35303265940902023,0.18818040435458788,0.05443234836702955
3,0.06542056074766354,0.037383177570093455,0.4485981308411215,0.4158878504672897,0.03271028037383177
4,0.27552986512524086,0.19460500963391136,0.3140655105973025,0.16377649325626203,0.05202312138728324
5,0.12299465240641712,0.23529411764705882,0.2994652406417112,0.28342245989304815,0.058823529411764705
6,0.20833333333333334,0.19166666666666668,0.3972222222222222,0.1,0.10277777777777777
7,0.2857142857142857,0.18944099378881987,0.2888198757763975,0.18322981366459629,0.052795031055900624
