latent_dim,epoch,train_loss,val_loss,val_mse_loss,val_weighted_loss,val_recon_loss,regularization_scale
6,1,130.30897861993554,124.5732646137787,56.18637053105428,116.00123956158664,71.14008778868737,0.0
6,2,118.23442104051566,104.91048245041752,47.375222224034445,96.47505382306888,59.65018012379306,0.0
6,3,97.95911062672651,91.82495677844469,45.30782106276096,83.56978650182673,54.873312422527405,0.0
6,4,88.22240590469613,86.70005871607516,41.1069550006524,78.49034854514613,50.452803386775834,0.0
6,5,85.52555896063537,85.62376043841336,41.14204193306367,77.49354938674321,50.22991879648356,0.0
6,6,84.67826096339779,84.87701021007307,40.7231027368215,76.8083409446764,49.74441228878523,0.0
6,7,83.66728101979743,83.57648584290187,39.84247985712422,75.56370694154488,48.77278662822938,0.0
6,8,81.99239648077808,81.56394751435282,39.05683634525053,73.62897964509395,47.69987217021138,0.0
6,9,79.44243496777163,78.89086149530272,38.13932835334029,71.0475110908142,46.366374037708766,0.0
6,10,76.56063607849907,76.09974393267224,37.042671092119,68.35139736103862,44.86985265934891,0.0
6,11,73.89361691413444,73.6928700743737,36.05072620367954,66.08648592445198,43.559666133872646,0.0
6,12,71.16643322686464,71.36396830962944,34.86075115801148,63.90885348708246,42.12277674027923,0.0
6,13,68.7490777509208,69.2741592184238,33.8037955457333,61.97470519637265,40.84652295839314,0.0
6,14,66.48013387718693,67.09028412056368,32.886390510829855,60.0260267158142,39.671299562075944,0.0
6,15,64.25513711441069,65.21790595641963,31.97461956876305,58.365356700156575,38.57230385161143,0.0
6,16,62.58242151530847,63.66481479971294,31.359569700874214,57.03940908794363,37.77952954764157,0.0
6,17,61.06282695959945,62.04267516962422,30.644037871868477,55.633758481210855,36.89146802420407,0.0
6,18,59.52136855432781,60.54561097338205,30.20914951396138,54.344716368736954,36.24304122765527,0.0
6,19,58.344121561348985,59.70134924647704,29.92573231993737,53.66954266701461,35.861684906706685,0.0
6,20,57.610120640538675,59.089680649791234,29.56234301604906,53.217404423277664,35.47610836785621,0.0
6,21,57.011678824240335,58.64991559564197,29.354637958311585,52.91765885960334,35.245393183634526,0.0
6,22,56.523610871316755,58.18608510568894,29.19328496052975,52.57465708181106,35.038627990850074,0.0
6,23,56.077586901473296,57.790255170276616,29.03970164894311,52.28042634394572,34.849882822693765,0.0
6,24,55.673537134553406,57.53258946046451,28.930406160294886,52.10793564065762,34.72478853038557,0.0
6,25,55.30962930191068,57.27239569741649,28.871933716075155,51.92691887395616,34.63568000554541,0.0
6,26,54.95421918162983,57.02057305258351,28.78564453125,51.730452439979125,34.52184650843228,0.0
6,27,54.66048284990792,56.72970625652401,28.635314049451985,51.48964313674322,34.34889632127479,0.0
6,28,54.34881121949816,56.56357238387265,28.546708841662316,51.36838832528706,34.252128712568506,0.0
6,29,54.069975109346224,56.35412113452505,28.504238566675365,51.200272785099166,34.178247121281316,0.0
6,30,53.83724461901473,56.22265013374217,28.451134158076723,51.10503857319937,34.114610261857386,0.0
6,31,53.62682309651243,56.02548848512526,28.43520844206681,50.936971963074114,34.06064932231863,0.0
6,32,53.387694952808474,55.86853103796973,28.284249005088725,50.80699944545929,33.91493661518137,0.0
6,33,53.1734677140884,55.71913328549061,28.254571902727037,50.68330628588205,33.86175549851579,0.0
6,34,52.94383596627532,55.61091018071503,28.27586565435804,50.60245955114823,33.857514128555586,0.0
6,35,52.78010348325276,55.430647752479125,28.12537105297495,50.44238485125261,33.70462450254436,0.0
6,36,52.605689240907,55.33529121542276,28.1071884378262,50.37231496281315,33.673470069072934,0.0
6,37,52.45406271581492,55.23149628131524,28.05640514907359,50.28505431236952,33.61356743989757,0.0
6,38,52.28878877474678,55.12171760829854,27.995655418188935,50.192525525182674,33.54487294493737,0.0
6,39,52.125521013179096,55.02274228536013,27.8901581256524,50.10966246411795,33.44503421026879,0.0
6,40,52.01070010359116,54.99825075026096,27.890008277335596,50.09972762265136,33.44243811366454,0.0
6,41,52.00022606612569,54.98726595120042,27.92587503262004,49.96831574569416,33.43648521088857,0.0071428571428571
6,42,52.00693161544659,55.00940068828288,27.887231496281316,49.86787252087683,33.382391752430195,0.0142857142857142
6,43,51.99383722519567,55.10885919558977,27.861743011156054,49.84409454919102,33.357330895664795,0.0214285714285714
6,44,52.01077186205111,55.212442099425886,27.91991371998956,49.822202423669104,33.395485895909445,0.0285714285714285
6,45,52.00898977037293,55.25078084224947,27.8410323427714,49.741392386482254,33.316122353699114,0.0357142857142857
6,46,52.03868068744245,55.33312809890397,27.776073607124214,49.69996289470251,33.25704592901879,0.0428571428571428
6,47,52.05350753194061,55.35744837878392,27.816893511873698,49.602769441544886,33.26336249429149,0.05
6,48,52.05921170004604,55.43629917471294,27.771294771007305,49.56136237604384,33.21881167226644,0.0571428571428571
6,49,52.08516758028315,55.496795080897705,27.77011535262265,49.49892761612735,33.20231841849882,0.0642857142857142
6,50,52.07941845073665,55.568169771007305,27.78435196209551,49.45796295994259,33.202754711557276,0.0714285714285714
6,51,52.10930539968923,55.66074544950418,27.69601077276879,49.426429573329855,33.12861547290906,0.0785714285714285
6,52,52.141381071593,55.78222860125261,27.6729789845381,49.42928994324113,33.11205672421386,0.0857142857142857
6,53,52.16639078326427,55.82592722468685,27.680800658924845,49.355996786925886,33.0995996909251,0.0928571428571428
6,54,52.20440801968232,55.91370571829332,27.64614594206681,49.32357450417537,33.06550308259395,0.1
6,55,52.216806406825505,56.00399391636221,27.69188841499217,49.30207178040188,33.0944342563446,0.1071428571428571
6,56,52.25547342598987,56.0725000815501,27.64406641440501,49.24884606602296,33.0452613273095,0.1142857142857142
6,57,52.27321826801335,56.16871901096033,27.72903652629175,49.23521700482777,33.10558164592576,0.1214285714285714
6,58,52.30620575794199,56.22450132111169,27.586205595968163,49.16691267614823,32.98138236601318,0.1285714285714285
6,59,52.34222886452578,56.29109513635177,27.633620865409707,49.12239039665971,33.00581324822221,0.1357142857142857
6,60,52.356319420465006,56.375813462291234,27.61766558748695,49.08842681693633,32.98535589484929,0.1428571428571428
6,61,52.37330441413444,56.47214860060021,27.614019278444676,49.069619324112736,32.97791928986169,0.15
