PC1,PC2,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
2.262020321602928,2.7392140886208036,N900_RS00015,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
-0.13595842485937926,1.6097785974579393,N900_RS00025,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
-4.661771888394779,-1.8875546908466152,N900_RS00040,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
-0.22898986510043917,0.8889085950187348,N900_RS00045,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
1.5765784871881205,0.5106248991269217,N900_RS00050,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
0.0634896857630225,-0.7415416670740014,N900_RS00065,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
1.8851666993261231,0.24712861656087223,N900_RS00075,VC_0016,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
-1.8133674333163656,-0.6047105330426061,N900_RS00085,ibpA,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
-1.5471654223993987,-0.7781854371877133,N900_RS00090,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
1.876957676644623,-0.9988497731366854,N900_RS00105,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
-5.312911451936007,-0.09421553901509211,N900_RS00110,NADH dehydrogenase subunit II-related protein,-0.02647887833333334,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4173999999999998
-0.5579216752630001,-0.6605814844263133,N900_RS00120,VC_0025,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641
0.8849048091575042,0.9192614233651302,N900_RS00125,acuI,1.0485218166666668,-0.080152,3.9734,24h_SI8,24h,SI8,1h_ce,1h,ce,4.053552
2.8703514529101684,0.08564338193173793,N900_RS00130,ilvA,1.6060143166666667,-0.054921,4.4043,1h_SI3,1h,SI3,12h_st,12h,st,4.459221
1.4963588546096087,0.5536555935836791,N900_RS00135,ilvD,1.2914153500000003,-0.34542,5.3665,3h_SI7,3h,SI7,12h_st,12h,st,5.71192
0.9015138626333217,0.5458007616809659,N900_RS00140,ilvE,2.0222916816666663,-0.23122,6.337,1h_SI5,1h,SI5,12h_st,12h,st,6.56822
1.8507962831443505,-0.15337757416962,N900_RS00145,ilvM,1.66385,-0.11262,6.8711,1h_SI3,1h,SI3,1h_st,1h,st,6.98372
2.1557365292499577,0.022478120251866185,N900_RS00150,ilvG,1.4846871666666668,0.018497,5.1406,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.122103
-2.447977120284796,-1.1574276222359001,N900_RS00155,yifb,0.6229813333333334,-0.86017,3.8262,3h_SI3,3h,SI3,3h_SI2,3h,SI2,4.68637
1.9724418829749633,-0.5116966923756099,N900_RS00160,yihG,1.1543101833333336,-0.43317,4.2116,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.644769999999999
-0.44842557777170144,1.5866342330990413,N900_RS00165,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103
1.7820906199635633,-2.191260403932112,N900_RS00170,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417
0.4013480075323588,-3.339206341390389,N900_RS00175,ccoG,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365
-0.7332869798541277,1.0657952556529833,N900_RS00180,yihD,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001
1.0542696275949144,2.150241112916045,N900_RS00185,VC_0038,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053
1.8984041547078885,-0.6875783750687188,N900_RS00190,SpoOM-related protein,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974
-0.6442183113325735,-0.1643556151591964,N900_RS00195,yqfA,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508
1.0902272411462448,-1.8519434989445918,N900_RS00200,VC_0041,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392
2.3015444968003225,-0.7914304367711587,N900_RS00205,trkI,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062
-0.417293321633859,-3.0801802959854876,N900_RS00215,rsmB,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992
-2.078490195570925,-1.7831296020022154,N900_RS00225,def1,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687
0.4690421121819863,-2.0911742533786573,N900_RS00230,VC_0047,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887
1.9876887430360206,0.20008032986528815,N900_RS00235,dprA,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891
-2.144357355768262,-1.3937171502603707,N900_RS00240,smg,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933
3.273101616078396,-0.6014389510809465,N900_RS00245,topA_1,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723
-2.246124894862888,2.1081408929613374,N900_RS00250,purK,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8
-3.46739401655046,4.745833225440771,N900_RS00255,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378
1.356316652762124,0.040995302219500984,N900_RS00260,tsaC,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326
-3.468405466597694,-0.9477800104894658,N900_RS00265,hemF,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634
