Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
PCA,N900_RS00015,mnmE,2.262020321602928,2.7392140886208036,0.8643737526530417,-0.6165420635864081,0.3306165157940141,-0.3237442102008072,0.1529709914330587,0.4642222611173041,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
PCA,N900_RS00025,yidD,-0.1359584248593792,1.6097785974579393,-2.284935891080729,0.3720727237827779,-0.0712734757947978,2.8088696730401694,-1.2021016588177875,-0.7069727114429247,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
PCA,N900_RS00040,yxeO,-4.661771888394779,-1.8875546908466152,-0.4240427790547636,-1.876576856644939,1.1146737333516916,-0.8275281658826881,-1.0957707617168977,-2.020644908643554,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
PCA,N900_RS00045,patM,-0.2289898651004391,0.8889085950187348,-0.99829578186538,-0.9570971062759586,2.4024522581634735,3.956860043546209,0.2440199179177807,0.0547849841731369,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
PCA,N900_RS00050,patH,1.5765784871881203,0.5106248991269217,-0.1639304036769006,1.262434833139365,0.2256493785536661,0.0455073931960053,-1.732697854685694,-1.5780874709786503,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
PCA,N900_RS00065,recF,0.0634896857630225,-0.7415416670740014,-0.6722171065575195,-0.4965804799743316,1.8539702452417737,-1.2992432573800534,1.638051427494128,-0.3359137967562561,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
PCA,N900_RS00075,VC_0016,1.8851666993261231,0.2471286165608722,-0.697565771407184,1.8380950053585312,-0.180811738747394,-0.4697423518600039,0.990094318908136,1.2460078972846311,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
PCA,N900_RS00085,ibpA,-1.8133674333163656,-0.6047105330426061,-0.9938696345969458,0.3207272177802207,-1.6366874455525695,-0.959042639458188,-1.0198102721148885,2.1089217820488755,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
PCA,N900_RS00090,avtA,-1.5471654223993987,-0.7781854371877133,-1.1376936137079363,-1.4406746903600958,1.4361371601907165,-3.029590944542787,-0.827411795918295,0.8817524555373659,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
PCA,N900_RS00105,mneA,1.876957676644623,-0.9988497731366854,-0.9702932391297132,1.2260413958677572,0.1611378614262237,1.9088851877091275,0.3770081232191267,1.1636783716180228,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
