VAE_cluster,st,SI1,SI2,SI3,SI4,SI5,SI6,SI7,SI8,SI9,ce,co
0,0.05078125,0.0703125,0.0703125,0.0625,0.0546875,0.1171875,0.1484375,0.09375,0.12109375,0.06640625,0.1015625,0.04296875
1,0.23122529644268774,0.08893280632411067,0.04940711462450593,0.0691699604743083,0.05138339920948617,0.03359683794466403,0.06521739130434782,0.07707509881422925,0.08498023715415019,0.07114624505928854,0.08893280632411067,0.08893280632411067
2,0.3405909797822706,0.10108864696734059,0.08398133748055987,0.05754276827371695,0.06220839813374806,0.03110419906687403,0.03576982892690513,0.03110419906687403,0.06531881804043546,0.07153965785381027,0.05132192846034215,0.06842923794712286
3,0.02336448598130841,0.004672897196261682,0.004672897196261682,0.004672897196261682,0.04205607476635514,0.018691588785046728,0.09345794392523364,0.21962616822429906,0.08411214953271028,0.3644859813084112,0.11682242990654206,0.02336448598130841
4,0.18304431599229287,0.07129094412331406,0.07707129094412331,0.05009633911368015,0.08477842003853564,0.057803468208092484,0.07129094412331406,0.07707129094412331,0.0905587668593449,0.08477842003853564,0.07129094412331406,0.08092485549132948
5,0.08288770053475936,0.17379679144385027,0.16310160427807488,0.15775401069518716,0.06417112299465241,0.0106951871657754,0.0106951871657754,0.03208556149732621,0.05614973262032086,0.10962566844919786,0.058823529411764705,0.08021390374331551
6,0.06666666666666667,0.14166666666666666,0.10833333333333334,0.06944444444444445,0.09444444444444444,0.13055555555555556,0.08611111111111111,0.09444444444444444,0.07222222222222222,0.044444444444444446,0.05277777777777778,0.03888888888888889
7,0.052795031055900624,0.12111801242236025,0.08074534161490683,0.07142857142857142,0.10559006211180125,0.13354037267080746,0.09316770186335403,0.09006211180124224,0.09006211180124224,0.062111801242236024,0.049689440993788817,0.049689440993788817
