Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CPVAE,N900_RS00170,serine/threonine protein kinase,3.994375944137573,3.7738232612609863,-3.1336281299591064,-0.129055380821228,-1.1545920372009275,-1.069464921951294,-0.0407949797809124,2.0919575691223145,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417
CPVAE,N900_RS00175,ccoG,1.751128315925598,4.270168304443359,-0.9003201723098755,0.1962342262268066,-1.9568217992782593,-0.7900007963180542,0.4109642207622528,2.2145936489105225,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365
CPVAE,N900_RS00180,yihD,1.8901336193084717,1.8214267492294312,-0.2976287603378296,-0.5713670253753662,-0.692499041557312,-1.0146089792251587,-1.9532877206802368,0.2317609786987304,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001
CPVAE,N900_RS00185,VC_0038,3.3732492923736572,0.6045031547546387,-0.6944536566734314,0.729261040687561,-1.5470521450042725,-0.8257510662078857,0.1132602617144584,-1.3189290761947632,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053
CPVAE,N900_RS00190,SpoOM-related protein,3.3142805099487305,3.482943058013916,-3.2366137504577637,-0.0004885122179985,-1.0858064889907837,-2.942346572875977,0.5348570942878723,0.2236593663692474,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974
CPVAE,N900_RS00195,yqfA,2.0885424613952637,3.248138189315796,0.1213112249970436,-1.3203805685043335,0.2297483384609222,-0.8588184714317322,-0.1213694065809249,1.2337948083877563,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508
CPVAE,N900_RS00200,VC_0041,2.999871015548706,2.412992477416992,-2.239236831665039,0.8168910145759583,-0.1080753877758979,-1.8243343830108645,0.9415175318717957,3.1341657638549805,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392
CPVAE,N900_RS00205,trkI,4.375886917114258,3.3764617443084717,-2.6903321743011475,0.1211466267704963,-0.5392488241195679,-2.9837703704833984,0.6957665681838989,1.10399329662323,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062
CPVAE,N900_RS00215,rsmB,2.075475692749023,3.682063579559326,-1.895843744277954,-0.7273830771446228,0.492479532957077,-1.446784496307373,1.630455732345581,2.4900381565093994,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992
CPVAE,N900_RS00225,def1,-0.1408890187740326,1.1312305927276611,-2.5774433612823486,0.2474286556243896,0.7544097900390625,-3.0697548389434814,0.1906594932079315,0.8870805501937866,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687
CPVAE,N900_RS00230,VC_0047,2.3566465377807617,2.9569785594940186,-4.356245040893555,-0.1590977609157562,0.220359981060028,-4.369990825653076,0.8887618184089661,1.803878903388977,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887
CPVAE,N900_RS00235,dprA,4.409663200378418,3.686044692993164,-1.0782297849655151,-0.5767127275466919,-0.2853756844997406,-2.5965869426727295,0.292031854391098,1.0722081661224363,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891
CPVAE,N900_RS00240,smg,0.36082923412323,0.8985041379928589,-3.1092441082000732,-0.451870322227478,-0.6905797719955444,-3.031928062438965,-0.1495895981788635,2.070281982421875,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933
CPVAE,N900_RS00245,topA_1,4.5919694900512695,2.9771816730499268,-3.2618093490600586,1.3397899866104126,-0.1855014711618423,-3.513108253479004,0.5766584277153015,0.9499948620796204,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723
CPVAE,N900_RS00250,purK,2.0858845710754395,2.3601815700531006,-0.551125168800354,-3.4673094749450684,-0.6615136861801147,-0.5544310808181763,1.487210988998413,-0.2351036667823791,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8
