Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,CPVAE_cluster
N900_RS00190,SpoOM-related protein,3.3142805,3.482943,-3.2366138,-0.0004885122,-1.0858065,-2.9423466,0.5348571,0.22365937,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974,0
N900_RS00195,yqfA,2.0885425,3.2481382,0.121311225,-1.3203806,0.22974834,-0.8588185,-0.12136941,1.2337948,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508,1
N900_RS00200,VC_0041,2.999871,2.4129925,-2.2392368,0.816891,-0.10807539,-1.8243344,0.94151753,3.1341658,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392,0
N900_RS00205,trkI,4.375887,3.3764617,-2.6903322,0.12114663,-0.5392488,-2.9837704,0.69576657,1.1039933,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062,0
N900_RS00215,rsmB,2.0754757,3.6820636,-1.8958437,-0.7273831,0.49247953,-1.4467845,1.6304557,2.4900382,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992,0
N900_RS00225,def1,-0.14088902,1.1312306,-2.5774434,0.24742866,0.7544098,-3.0697548,0.1906595,0.88708055,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687,1
N900_RS00230,VC_0047,2.3566465,2.9569786,-4.356245,-0.15909776,0.22035998,-4.369991,0.8887618,1.8038789,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887,0
N900_RS00235,dprA,4.409663,3.6860447,-1.0782298,-0.5767127,-0.28537568,-2.596587,0.29203185,1.0722082,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891,0
N900_RS00240,smg,0.36082923,0.89850414,-3.109244,-0.45187032,-0.6905798,-3.031928,-0.1495896,2.070282,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933,0
N900_RS00245,topA_1,4.5919695,2.9771817,-3.2618093,1.33979,-0.18550147,-3.5131083,0.5766584,0.94999486,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723,0
