Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,CPVAE_cluster
N900_RS04590,VC_1964,2.4782662,2.04863,-2.344377,-1.2001317,-0.16456866,-1.2055618,-0.0994511,1.475556,0.37042244666666657,-1.6315,3.5261,12h_SI2,12h,SI2,3h_SI5,3h,SI5,5.1576,0
N900_RS04595,VC_1963,2.7633498,1.8211633,0.1748592,-0.74248314,-1.8370051,1.8564122,-0.7891398,0.6882833,0.00378455017,5.1913e-06,0.099076,6h_SI6,6h,SI6,12h_SI1,12h,SI1,0.0990708087,1
N900_RS04600,nlpE_1,1.4343963,0.95885247,-0.42440093,1.3088381,-1.7595942,-1.3646204,-0.27286828,-1.395558,0.8834398833333333,-1.7963,4.5191,1h_SI4,1h,SI4,6h_st,6h,st,6.3154,1
N900_RS04605,minE,2.174281,0.26169056,0.2124852,-3.6242793,0.20868069,0.032455996,0.12381465,-0.22522694,-2.3172268666666667,-4.7812,1.1327,12h_SI8,12h,SI8,3h_SI9,3h,SI9,5.9139,1
N900_RS04610,minD,3.1674674,2.416857,-2.6872187,-0.6460683,-1.5178034,-3.0144308,1.4613528,0.8734066,1.138129163333333,-0.32986,5.0559,3h_SI2,3h,SI2,6h_SI2,6h,SI2,5.38576,0
N900_RS04615,minC,3.0439272,0.7171088,-1.1232697,-1.5185211,0.3290101,-0.28249997,-0.14373422,2.1347816,0.004703166666666665,-1.9069,2.7816,3h_SI9,3h,SI9,3h_SI2,3h,SI2,4.6885,1
N900_RS04620,VC_1957_BLAST,3.8969648,2.3465,0.35755712,-1.9157668,-1.6665864,0.5680467,-1.2182211,1.2914624,0.3645300616666667,-1.235,3.7382,6h_SI4,6h,SI4,12h_SI1,12h,SI1,4.9732,1
N900_RS04625,lytic murein transglycosylase,3.2007594,2.7631502,-2.9670603,0.44785428,-0.98778045,-1.5203375,1.3706821,0.50281674,0.8719859666666666,-0.64967,3.9466,3h_SI3,3h,SI3,6h_SI4,6h,SI4,4.5962700000000005,0
N900_RS04630,lysr_2,4.6379204,3.4265413,-1.9850878,-0.6070687,-0.6307647,-2.2213924,0.48649678,1.0209284,1.297679783333333,-0.11013,3.5565,1h_SI8,1h,SI8,3h_SI4,3h,SI4,3.66663,0
N900_RS04635,NupC/NupG family nucleoside CNT transporter,3.3134344,3.2390485,-1.9877831,-0.8632766,0.5029043,-2.6406763,0.47425696,2.810297,0.9464495333333335,-0.62034,3.9025,6h_st,6h,st,6h_ce,6h,ce,4.5228399999999995,0
N900_RS04640,chitinase_2,5.9890885,3.1758687,-1.0533458,-0.36622614,-0.15574628,-1.2862463,0.6013602,1.3649805,1.1515031966666667,-0.19687,4.4924,6h_SI9,6h,SI9,6h_SI2,6h,SI2,4.68927,0
N900_RS04645,cytochrome c_1,1.0197877,3.8379414,-0.88327706,-1.8435234,-0.31567466,-0.8672519,1.3213491,1.4438992,0.49828025000000004,-1.0853,3.0691,12h_SI2,12h,SI2,3h_SI4,3h,SI4,4.1544,1
N900_RS04650,torZ,5.0135674,3.121283,-0.53801495,0.034431428,-0.4422767,0.15434587,-0.37586975,0.6590789,1.07782195,-0.89819,4.8222,1h_SI1,1h,SI1,3h_SI2,3h,SI2,5.72039,0
N900_RS04655,pvcA,1.4004338,-0.6391682,-1.3619486,-0.25245124,1.3701816,0.5352338,0.50264853,0.52316153,0.15144129999999997,-1.5386,3.191,12h_SI2,12h,SI2,3h_SI2,3h,SI2,4.7296,1
N900_RS04660,LysR family transcriptional regulator_2,2.975944,2.5327737,-2.4771593,-1.5572103,-1.4965267,-1.8699793,-0.3584836,1.2218338,0.6419508766666666,-0.90131,3.7648,3h_SI2,3h,SI2,3h_SI7,3h,SI7,4.66611,0
N900_RS04665,mhpA,3.1006753,1.0160875,-2.3464715,-0.7760697,-0.5565089,-1.656573,0.8613733,0.45994237,0.7812497566666666,-0.86729,3.5221,3h_st,3h,st,3h_SI1,3h,SI1,4.38939,0
N900_RS04670,TauD/TfdA family dioxygenase,4.864384,3.322918,-1.9922799,-0.51378566,0.19781858,-2.267163,0.18433604,0.9087741,0.801869255,-0.37686,3.6492,3h_SI9,3h,SI9,3h_SI4,3h,SI4,4.02606,0
N900_RS04675,folD,6.2691474,1.4561093,0.45772132,-0.177616,0.35907328,-0.2748016,0.081803925,-0.5201239,1.3745082166666664,-0.67903,5.781,6h_SI9,6h,SI9,1h_st,1h,st,6.46003,0
N900_RS04685,opgC,2.8289473,2.803844,-3.6386473,-0.50694895,-0.9433547,-1.7402949,0.45710018,2.0744483,0.9519725333333333,-0.52266,4.2149,1h_st,1h,st,6h_ce,6h,ce,4.73756,0
N900_RS04690,HAD-IB family hydrolase,4.4527164,2.365866,0.4217108,-0.35511765,0.3409658,-1.3702614,-0.07577947,-0.18734387,1.1778154333333333,-0.44008,5.3179,1h_SI6,1h,SI6,3h_st,3h,st,5.75798,0
N900_RS04695,lyse_1,3.0659802,2.2011876,-0.980025,-1.0239823,0.6891445,-3.383176,0.36135724,1.0757498,1.168122866666667,-0.37676,4.6363,12h_st,12h,st,3h_SI5,3h,SI5,5.01306,0
N900_RS04700,acyl-CoA thioesterase,1.237474,2.6645014,-2.0344808,-0.253025,-0.5645834,0.18389633,0.797744,2.085119,0.9276479166666667,-1.0606,4.9001,3h_SI7,3h,SI7,3h_SI2,3h,SI2,5.9607,1
N900_RS04705,1-acyl-sn-glycerol-3-phosphate acyltransferase,3.957092,2.936659,-1.7526605,-0.8652937,-0.27008557,-3.1461103,-0.39157215,-0.42261437,1.1883821833333335,-0.2152,6.3427,1h_SI9,1h,SI9,6h_st,6h,st,6.5579,0
N900_RS04715,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase-related protein,2.5686903,2.0405688,-2.1994996,0.0066048168,0.469386,-1.0178185,-0.11847472,1.5704771,0.8265163500000001,-0.45131,4.655,6h_st,6h,st,6h_ce,6h,ce,5.106310000000001,0
N900_RS04720,bifunctional diguanylate cyclase/phosphodiesterase_2,2.7532108,2.3815846,-2.5105865,-0.9486344,0.5246228,-3.0741982,1.130381,0.617713,0.4496517566666667,-1.0782,3.402,12h_co,12h,co,6h_st,6h,st,4.4802,0
N900_RS04725,VC_1933,-0.08250484,0.54957277,0.11424899,-0.06346447,-0.28344482,0.96782285,0.12736747,0.15074694,-0.020558449999999992,-2.1178,3.3344,6h_SI5,6h,SI5,6h_SI3,6h,SI3,5.4521999999999995,1
N900_RS04730,VC_1932,2.8762772,0.8066223,-2.8117962,-0.20052299,-0.6306683,-2.1415446,0.969518,1.6938541,0.34117665666666663,-1.0851,2.9704,3h_SI2,3h,SI2,3h_SI1,3h,SI1,4.0555,0
N900_RS04735,ydiU_BLAST,2.7108042,2.7775009,-0.28694683,-1.7867969,-0.8084475,0.7132993,1.8788362,1.8057128,0.14206296666666668,-1.4016,3.5264,12h_SI4,12h,SI4,6h_SI3,6h,SI3,4.928,1
N900_RS04740,dctp,2.6014767,0.5323917,-1.0688357,1.6441116,-0.31735158,0.6689152,-1.1380967,0.75015545,1.3562256583333332,-0.48524,4.2144,3h_SI5,3h,SI5,6h_ce,6h,ce,4.6996400000000005,1
N900_RS04745,TRAP transporter small permease,1.1634904,2.2454627,-3.722513,-0.42321777,-1.182883,-3.506504,0.027779453,1.7215964,0.47295777833333336,-0.9926,3.0021,12h_SI1,12h,SI1,3h_SI1,3h,SI1,3.9947,0
N900_RS04750,dctM_1,3.8870087,1.8904186,-1.5204662,0.14492324,-1.227253,-2.4043074,0.19508407,3.5961263,1.1430141666666667,-0.69967,5.1172,6h_st,6h,st,3h_st,3h,st,5.816870000000001,0
N900_RS04755,dctD,4.524124,2.9778373,-2.0125353,-1.2655115,0.028642967,-1.2604505,0.591711,0.30611226,0.44922901666666665,-1.6974,3.8993,6h_ce,6h,ce,1h_ce,1h,ce,5.5967,0
N900_RS04760,dctB,1.6594397,1.762804,-4.1196814,-0.98698133,-0.116588846,-2.830071,0.8145004,2.448216,0.59748443,-0.74389,4.242,12h_SI1,12h,SI1,3h_SI1,3h,SI1,4.98589,0
N900_RS04765,VC_1924,3.029166,2.8729556,-1.1510297,-1.4291209,-1.3270869,-0.27530685,0.5787113,1.6346229,0.9600014783333334,-0.71843,5.0535,6h_SI4,6h,SI4,6h_SI1,6h,SI1,5.771929999999999,0
N900_RS04770,tig,2.003011,3.462479,-0.057115294,-1.6286867,-1.3342452,1.1725287,0.594942,0.46486953,-0.035672316666666634,-1.9277,4.084,6h_SI5,6h,SI5,3h_SI3,3h,SI3,6.011699999999999,1
N900_RS04775,clpP,5.9194055,1.0753136,-1.4137384,-0.81750655,0.35282484,-1.8032767,-0.14828566,0.4355125,0.9659701166666667,-1.2151,6.2538,12h_SI9,12h,SI9,3h_SI1,3h,SI1,7.4689,0
N900_RS04780,clpx,6.487159,1.5924817,0.22151026,-0.2903184,0.35105973,-0.31787485,0.054750018,-0.3134649,2.0810109999999997,0.12159,4.2838,6h_SI9,6h,SI9,12h_st,12h,st,4.16221,0
N900_RS04785,lon_1,3.1929803,2.9584396,-2.58563,-1.4303474,0.45570496,-1.6103724,0.22336021,1.3971071,1.1185565199999996,-0.33776,5.1015,6h_SI9,6h,SI9,1h_ce,1h,ce,5.43926,0
N900_RS04795,ppiD,0.8288927,1.9280491,-1.0954541,-2.5665674,1.0874169,0.490195,1.2172862,1.2781811,-0.4451896,-1.8149,3.2382,12h_SI2,12h,SI2,3h_SI2,3h,SI2,5.0531,1
N900_RS04800,ComEA family DNA-binding protein,3.8469725,3.1684313,-0.8656341,0.47046232,-1.1203132,-0.2250098,0.862387,2.4451973,1.4630636166666666,-0.010489,4.0108,3h_SI4,3h,SI4,6h_SI2,6h,SI2,4.0212889999999994,0
N900_RS04815,ihfB,6.092539,1.0985421,0.25178528,-0.54922485,0.4750246,-0.22590476,0.010450736,-0.42880806,-1.1307439,-3.3025,0.79774,12h_SI7,12h,SI7,12h_st,12h,st,4.10024,0
N900_RS04820,lapa,4.564638,2.8791485,-0.92265224,-1.4861666,-1.7691255,-0.53706545,-0.005772479,0.5520825,0.21944670666666663,-2.1475,4.3015,12h_ce,12h,ce,12h_SI1,12h,SI1,6.449,0
N900_RS04830,pyrF,4.7122855,1.409118,0.21564206,-1.9664372,-0.29047048,0.11242051,-0.4069955,0.8391247,-0.02949454999999996,-3.7276,4.5978,6h_SI7,6h,SI7,6h_ce,6h,ce,8.3254,1
N900_RS04835,MiaE,4.498744,2.6219573,-1.1912385,-0.97538006,0.5245571,-2.497909,0.48532972,1.4663314,1.1661746166666664,-0.42889,4.5921,3h_ce,3h,ce,3h_st,3h,st,5.02099,0
N900_RS04840,motV,5.571872,2.8288426,-0.6465985,1.6824493,-0.6089685,-1.1632674,0.03586085,0.6501731,2.7984921883333334,-1.4682,6.4085,1h_SI6,1h,SI6,12h_SI1,12h,SI1,7.8767,0
N900_RS04845,cysB,6.4247,2.0573516,-0.044312887,0.24244913,0.24533859,-0.7473907,0.048184477,-0.1105142,0.3927544633333333,-1.711,2.4006,6h_SI9,6h,SI9,12h_st,12h,st,4.1116,0
N900_RS04850,methyltransferase,1.000744,0.2691376,0.1335446,-2.9815285,-1.5963389,1.2549024,0.3468301,0.77407116,-0.7035764666666665,-1.9415,2.0266,6h_SI1,6h,SI1,1h_st,1h,st,3.9681,1
N900_RS04855,ald,2.6718109,1.5085801,-4.0666494,-0.61722445,-1.5932585,-2.931733,0.47273794,2.826341,1.0358829416666666,-0.56041,5.2295,3h_SI7,3h,SI7,3h_SI1,3h,SI1,5.78991,0
N900_RS04860,lrp_1,6.7132254,1.6798378,0.13204521,0.10065242,0.42614904,-0.50341773,0.07154446,-0.26565683,1.8453204500000002,-0.056183,4.0561,6h_SI9,6h,SI9,12h_st,12h,st,4.112283,0
N900_RS04870,dsbB,4.071554,3.3316875,-3.0603912,-2.2132404,-0.6877179,-2.2549436,0.4805136,1.0894784,-0.33072121666666665,-2.7609,4.1369,6h_SI9,6h,SI9,1h_SI1,1h,SI1,6.8978,0
N900_RS04875,nhaB,2.1917236,1.4962789,-3.248124,0.5556844,-1.0057162,-0.77742964,0.41505125,2.5465848,1.04811315,-0.54017,4.356,6h_SI1,6h,SI1,6h_SI4,6h,SI4,4.89617,0
N900_RS04880,fadR,3.0737827,3.1688168,-1.1312973,-1.9783747,0.32383552,-0.9660438,0.558396,0.8576842,1.1680233833333333,-1.5989,4.8608,6h_SI7,6h,SI7,3h_SI2,3h,SI2,6.4597,0
N900_RS04885,VC_1899,4.7124057,1.9180822,-1.0859329,0.57745063,0.8152628,-1.3559952,0.45418498,2.467335,1.4193907666666665,-0.34057,4.4853,6h_ce,6h,ce,3h_SI1,3h,SI1,4.825869999999999,0
N900_RS04890,methyl-accepting chemotaxis protein_3,3.1786134,-0.15335076,1.2500633,-0.57239324,-0.46189934,2.5182095,0.3878189,-0.36471114,0.0999043,-2.7012,5.5509,6h_SI5,6h,SI5,6h_SI1,6h,SI1,8.2521,1
N900_RS04895,hinT,-2.3898911,-1.0505247,-0.36650443,2.4288237,0.8794596,-0.90879244,0.23727307,0.16441026,0.5871952666666667,-1.2797,4.2602,6h_SI8,6h,SI8,6h_SI5,6h,SI5,5.5399,1
N900_RS04900,VC_1896,2.3244174,3.1464016,-0.9000735,-0.14712048,-1.0301461,1.4423438,0.4393907,0.949002,0.8011507333333334,-0.44888,3.1939,3h_SI1,3h,SI1,12h_SI2,12h,SI2,3.64278,1
N900_RS04905,VC_1895,4.8405614,2.775147,-1.5879487,-0.71738124,-0.8508326,-2.4698968,0.58691436,2.4579866,1.0987852999999999,-0.40268,4.1136,6h_SI6,6h,SI6,6h_SI2,6h,SI2,4.51628,0
N900_RS04910,lpoB,1.8385817,2.3062875,-3.01889,-0.35176355,0.18751219,-3.0548668,1.044281,2.5395436,0.5405676666666667,-1.5165,3.918,3h_SI8,3h,SI8,6h_ce,6h,ce,5.4345,0
N900_RS04915,thiK,2.9733906,2.6049829,-1.6746445,-0.18521592,-1.9526759,-1.008251,0.5820826,0.78340214,0.006151574999999981,-1.0764,4.0298,3h_SI9,3h,SI9,1h_SI1,1h,SI1,5.106199999999999,0
N900_RS04920,ycfP,1.5394694,2.709151,-1.7329569,-0.015359828,-2.0231159,-1.9008697,-0.41886234,0.9199133,1.2990930166666665,-0.01142,4.645,1h_SI7,1h,SI7,3h_SI4,3h,SI4,4.65642,0
N900_RS04925,ndh,3.663504,3.0658457,-1.0358864,0.095409326,0.51515913,-0.92236876,-0.19683781,0.12259277,0.7569319833333332,-0.98594,4.2302,1h_SI7,1h,SI7,3h_SI3,3h,SI3,5.21614,0
N900_RS04930,rimL,1.214046,1.4552832,-1.7299178,-0.0737807,-0.17985481,-0.568321,0.47341278,2.2369895,0.57774305,-0.77205,4.8024,6h_st,6h,st,6h_SI3,6h,SI3,5.57445,1
N900_RS04935,hemolysin_2,2.1316133,4.0952935,-2.6155407,-0.6491784,-2.5405385,-0.9850342,0.22018483,1.9519497,0.9041604833333333,-0.7179,3.457,1h_ce,1h,ce,12h_SI1,12h,SI1,4.1749,0
N900_RS04940,VC_1887,6.168322,1.5119807,0.07630439,-0.86684334,0.5732839,-0.5175288,0.12840223,-0.25277066,-0.9503314654999999,-2.9729,1.0611,12h_ce,12h,ce,3h_SI2,3h,SI2,4.034,0
N900_RS04945,mfd,0.06318592,0.8536219,1.6177695,-3.0777957,-0.3443189,2.9490483,-0.09619172,-1.0700728,-0.8932257000000001,-3.2265,3.1501,6h_SI5,6h,SI5,3h_SI3,3h,SI3,6.3766,1
N900_RS04950,pilz_2,0.6668209,1.8524089,-1.5847423,-3.4367583,-3.0047808,-0.37461674,-0.50473094,1.0092804,-0.8508710999999999,-3.5076,2.7429,3h_SI7,3h,SI7,1h_co,1h,co,6.250500000000001,1
N900_RS04970,VC_1880,3.584499,1.6527512,-0.21293706,-1.7959411,-0.5071622,0.27669126,0.57964253,-1.3085907,0.003914749999999987,-2.3189,4.9494,12h_SI6,12h,SI6,6h_st,6h,st,7.2683,1
N900_RS04975,DNA internalization-related competence protein ComEC/Rec2,3.5092738,1.9021477,-2.3976073,-0.21085936,0.0989691,-0.9097712,0.2391572,3.5094562,0.34371430166666667,-1.3296,3.3754,6h_SI1,6h,SI1,6h_SI2,6h,SI2,4.705,0
N900_RS04990,VC0395_A1467_BLAST,3.4856935,-0.8527439,1.175529,-1.5078672,0.4972414,0.58974725,-0.30323827,-1.1812905,-1.5325226666666665,-4.6134,0.10543,6h_SI9,6h,SI9,3h_SI7,3h,SI7,4.7188300000000005,1
N900_RS05000,ycgB_BLAST,4.145822,2.507523,-2.706196,-0.61961603,-0.33927488,-1.766311,1.3701808,3.6945834,0.6673474613333334,-1.0142,4.31,12h_st,12h,st,6h_SI3,6h,SI3,5.324199999999999,0
N900_RS05005,yeah,4.7480173,3.1461096,-2.3234622,0.13343036,-1.0124087,-0.9166652,0.82905775,2.3931367,0.8586386833333333,-0.67557,4.093,1h_SI6,1h,SI6,6h_SI3,6h,SI3,4.76857,0
N900_RS05010,yeaG_BLAST,2.8338802,2.8902047,0.5078211,-1.3386939,-0.40616375,1.755572,-0.6071779,0.3805131,0.8201259883333333,-0.98471,4.9614,3h_SI1,3h,SI1,1h_st,1h,st,5.94611,1
N900_RS05015,yfbu,1.3435488,0.5916578,1.2456372,0.76905805,1.3105357,1.4723836,-0.30320102,1.7483071,1.0036552116666666,-0.40912,4.0658,12h_SI2,12h,SI2,3h_SI2,3h,SI2,4.47492,1
N900_RS05020,membrane protein_3,1.1557605,1.6110541,-2.5096855,-1.1680833,-0.04238416,-2.6794822,-0.4950648,0.8885765,1.2045267166666667,-0.26847,5.6165,1h_SI8,1h,SI8,3h_SI1,3h,SI1,5.88497,0
N900_RS05025,pflA,1.0207177,0.8289391,-1.568937,0.05771251,-2.419774,0.41043955,-0.70121634,0.26216024,0.40198466000000005,-0.93053,4.3825,24h_SI1,24h,SI1,12h_SI2,12h,SI2,5.31303,1
N900_RS05030,methyl-accepting chemotaxis protein_7,3.908714,2.8429177,-2.7113762,1.7955303,0.21695271,-2.1393862,0.53338265,1.0728445,1.1064064333333332,-1.197,4.5076,1h_co,1h,co,3h_SI5,3h,SI5,5.7046,0
N900_RS05035,lpxR,4.5260386,3.6223292,-1.2864715,0.6017466,-0.64865875,-1.8564091,0.3727798,1.1518426,0.9605232000000001,-0.40591,3.731,1h_SI8,1h,SI8,6h_SI4,6h,SI4,4.13691,0
N900_RS05040,pflB,2.5667064,-0.13566327,-0.50659883,0.75864595,0.79238546,-2.6031837,-0.63012016,0.7903378,0.5588561116666665,-1.6752,4.7134,6h_SI6,6h,SI6,3h_st,3h,st,6.3886,1
N900_RS05045,VC_1865,2.223712,2.56111,-0.9190053,0.8403709,0.9895203,0.27909663,1.3276865,1.2070627,0.5992606766666666,-1.2144,4.2496,12h_co,12h,co,6h_SI1,6h,SI1,5.464,1
N900_RS05050,occP,1.6326741,1.6494582,-1.1703345,-0.33869824,-2.4032726,-0.2653804,0.14860603,0.37338197,1.3571637000000003,-0.21443,4.2764,1h_SI7,1h,SI7,3h_SI5,3h,SI5,4.49083,1
N900_RS05055,argT,6.0645227,3.071533,-0.53203696,-0.25388935,-0.08105406,-1.1507673,0.02321677,0.8865969,1.1644249333333332,-0.35046,3.5794,12h_co,12h,co,1h_SI1,1h,SI1,3.92986,0
N900_RS05060,hisQ,3.9308116,2.663976,-1.9357618,-0.8349024,0.21600693,-1.943889,0.6049452,0.26950637,0.6654580666666667,-0.58338,3.5209,12h_SI9,12h,SI9,6h_st,6h,st,4.10428,0
N900_RS05065,hisM,4.578785,2.1282883,-2.665535,-0.68360454,-1.587808,-2.3698475,0.7309864,1.5326207,0.8958732666666667,-0.47761,3.7407,3h_SI4,3h,SI4,3h_SI1,3h,SI1,4.21831,0
N900_RS05070,xthA,3.6581213,1.7204471,-1.4515994,0.750367,0.0980057,0.60652316,0.5838363,1.4769722,1.779389166666667,0.12341,4.8797,1h_SI1,1h,SI1,6h_SI3,6h,SI3,4.75629,0
N900_RS05075,pctC_1,4.8659363,2.7756438,-1.8854694,-0.4811999,-0.6205734,-0.94410545,0.52145606,3.1032147,1.1042378666666666,-0.23737,3.5909,1h_SI4,1h,SI4,12h_SI2,12h,SI2,3.82827,0
N900_RS05080,rsmS,4.9884653,2.6177735,-3.7973495,-0.8601949,-0.7389709,-2.4717965,0.79990923,2.8704236,0.10816503333333331,-1.2773,3.4677,3h_SI5,3h,SI5,3h_SI1,3h,SI1,4.745,0
N900_RS05085,prepilin peptidase_2,0.89763,0.63016313,-0.5570556,0.50036025,-2.908957,1.2848678,-0.2949762,0.82103384,0.26324856166666666,-0.83559,3.9948,3h_SI3,3h,SI3,12h_SI2,12h,SI2,4.83039,1
N900_RS05090,yfcA_2,3.381351,1.0533905,-3.2804227,-2.0788164,-0.6477778,-1.5771056,0.6142662,2.3096967,-0.10433206666666668,-1.2816,3.9033,6h_SI4,6h,SI4,3h_SI1,3h,SI1,5.184900000000001,0
N900_RS05095,dinG,3.8034182,3.4120438,-3.158021,-1.6539537,-1.4357551,-2.0313675,0.5954042,0.76407343,0.7030367666666667,-0.75055,3.2753,24h_ce,24h,ce,3h_SI4,3h,SI4,4.02585,0
N900_RS05100,ompT,3.3495958,4.727475,-1.7745566,-0.9269567,-1.5192965,0.19407162,0.35382158,1.4822446,0.98246435,-0.50573,3.8587,12h_st,12h,st,3h_SI3,3h,SI3,4.36443,0
N900_RS05105,VC_1853_BLAST,0.6601031,2.3862684,-0.1553433,1.1221548,-0.3828345,2.4258828,0.5812512,1.0539874,0.6540752166666665,-1.2414,3.8658,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.107200000000001,1
N900_RS05110,VC0395_A1443_BLAST,2.4153962,2.9765503,-2.6903172,-1.2470492,-0.005309321,-1.3329251,1.1057376,1.4389514,0.6346777500000002,-1.0232,5.0956,24h_SI1,24h,SI1,6h_ce,6h,ce,6.1188,0
N900_RS05115,cdgJ_2,4.1086097,2.3702848,-0.6751932,0.68108857,-1.3810717,1.9945525,0.6974469,2.0479023,0.537821,-1.547,3.6109,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.1579,0
N900_RS05135,ruvC,2.2091126,2.5940201,-0.12671572,-1.6745031,1.0727099,0.6495734,0.73232055,0.56523246,-0.106628365,-2.3451,3.1281,12h_SI4,12h,SI4,3h_SI3,3h,SI3,5.4732,1
N900_RS05140,ruvA,2.269222,1.775509,-1.1985068,-0.8729726,0.5057461,0.11605125,-0.16510396,1.5365245,-0.05279776666666668,-2.1637,3.4884,12h_co,12h,co,3h_SI3,3h,SI3,5.6521,1
N900_RS05145,ruvB,4.5017667,1.679793,-0.27987516,0.0028754547,-0.24246655,-0.88884294,1.2716695,-0.6246426,0.6450091583333334,-1.361,4.8952,6h_SI9,6h,SI9,6h_st,6h,st,6.2562,0
N900_RS05150,cydA,6.331381,1.7767208,0.17380893,0.33668047,0.37111694,-0.45984894,0.057573453,-0.24520451,0.7195319666666666,-1.0978,2.7945,6h_co,6h,co,12h_st,12h,st,3.8923000000000005,0
N900_RS05155,cydB_1,6.2722054,1.5967516,0.13267756,0.3496438,0.41152778,-0.40361252,0.051334493,-0.2736737,0.7098292166666665,-1.3807,2.7311,6h_SI9,6h,SI9,12h_st,12h,st,4.111800000000001,0
N900_RS05165,ybgE,2.3312864,2.499875,-0.5900621,0.37636852,-0.34880605,-1.3318989,0.87304413,-0.48347208,1.1787482833333334,-0.4938,4.8888,1h_co,1h,co,6h_st,6h,st,5.3826,1
N900_RS05170,ybgC,2.6303413,4.026885,-1.0939093,-0.69777805,-1.8628596,0.38541725,0.9872748,1.6931176,0.7459370066666666,-0.80087,2.8581,3h_SI1,3h,SI1,12h_SI2,12h,SI2,3.65897,0
N900_RS05175,tolQ,6.45665,1.6805125,0.07061952,0.0892695,0.5119586,-0.6207653,0.10689699,-0.23648441,0.798336155,-1.1942,2.9061,12h_SI7,12h,SI7,12h_st,12h,st,4.1003,0
N900_RS05180,tolr,6.28829,1.3772533,0.21200293,-0.14341517,0.3629098,-0.2748993,0.02581136,-0.2638232,-0.7088125000000001,-2.8131,1.7784,6h_SI9,6h,SI9,3h_SI9,3h,SI9,4.5915,0
N900_RS05185,tolA,4.5522428,2.1033463,-0.5577456,-0.92593545,0.2061089,-1.3766738,0.3365862,0.27162564,-0.07284683333333333,-2.4399,3.8827,12h_ce,12h,ce,1h_SI1,1h,SI1,6.3225999999999996,0
N900_RS05190,tolB,6.264774,1.7958022,0.14050713,-0.7341487,0.34818554,0.20987825,0.69647986,0.20587325,-0.026892466666666667,-2.2054,4.3082,12h_ce,12h,ce,6h_SI2,6h,SI2,6.5136,0
N900_RS05195,pal_1,6.568748,1.5208728,0.10128127,0.06374568,0.2805073,-0.35328186,0.012105703,-0.27900174,1.3740060666666665,-0.61176,3.4948,6h_SI9,6h,SI9,12h_st,12h,st,4.10656,0
N900_RS05200,ybgF,2.8836117,3.045744,-2.3087513,-1.7204446,0.13361515,-1.2718943,0.1410492,1.7395802,0.2541345833333333,-1.6242,4.3142,12h_SI8,12h,SI8,3h_SI5,3h,SI5,5.9384,0
N900_RS05205,nadA,1.1010318,3.4980366,-2.1599445,-1.1800855,-0.5255469,-0.8551553,0.74101794,1.6194834,0.5824090333333333,-2.0491,3.5819,6h_SI1,6h,SI1,3h_SI2,3h,SI2,5.631,0
N900_RS05210,yeca,4.644145,3.470843,-2.130918,-0.5426391,-0.21514976,-1.9903587,0.19009706,2.3930476,1.33919295,0.020125,4.3372,1h_SI8,1h,SI8,3h_SI1,3h,SI1,4.317075,0
N900_RS05215,cqsR,3.6472604,3.2406378,-1.3767812,-0.2538515,-0.45829323,-2.7103784,0.34939748,1.4752585,0.8180943,-0.75728,3.3084,3h_SI3,3h,SI3,3h_st,3h,st,4.0656799999999995,0
N900_RS05220,alae,3.4348018,2.759394,-2.3526273,-1.7368556,0.68937695,-0.66276973,1.1170595,2.4168491,0.11534756666666666,-1.642,2.6789,12h_SI8,12h,SI8,1h_SI1,1h,SI1,4.3209,0
N900_RS05225,manA_2,4.1455727,2.0045912,-0.38484067,-1.5051659,-0.47617278,2.0248108,0.83215505,1.2232444,-0.013051666666666663,-1.3305,3.6735,12h_SI4,12h,SI4,6h_SI1,6h,SI1,5.0040000000000004,1
N900_RS05230,PTS fructose transporter subunit IIC_1,5.3230214,2.7383196,-0.8969373,-1.3260103,-1.11955,0.8600255,-0.39180845,0.32876432,0.28519082,-1.2882,3.9525,6h_SI4,6h,SI4,6h_SI1,6h,SI1,5.2407,0
N900_RS05235,rhaR_2,4.3229856,3.1201584,-3.0201635,-0.52842087,-1.0023446,-0.20060264,0.22625646,2.635495,1.1426662336666666,-0.34484,4.3471,6h_SI1,6h,SI1,3h_SI2,3h,SI2,4.69194,0
N900_RS05240,PTS fructose transporter subunit IIA_2,4.396171,2.9502656,-3.073046,-1.0962873,-0.5040298,-1.9911281,1.2348387,2.6374795,-0.37278711666666664,-3.3449,2.3735,3h_SI8,3h,SI8,6h_SI4,6h,SI4,5.7184,0
N900_RS05245,manP_1,2.2197516,2.1509228,0.95180446,0.36767185,0.108562514,-0.3840832,-0.1467272,-1.5951098,1.0140252666666665,-0.54062,4.318,6h_SI2,6h,SI2,6h_st,6h,st,4.858619999999999,1
N900_RS05250,PTS fructose transporter subunit IIA_1,3.615247,3.4575474,-2.9802701,-1.1176276,0.5774745,-1.2403239,0.68196297,2.3069613,0.5363983500000001,-0.82667,3.2566,6h_st,6h,st,6h_SI2,6h,SI2,4.083270000000001,0
