k,silhouette_score
2,0.27777933913176023
3,0.2188432419028537
4,0.18695324682616019
5,0.1723472897760343
6,0.17644149585379157
7,0.1612575477872974
8,0.15755713970924745
9,0.15980143240115915
10,0.1541613207980554
