Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
VC_2008	GO:0000287; GO:0004743; GO:0005524; GO:0005737; GO:0005829; GO:0006096; GO:0016301; GO:0030955	glycolytic process [GO:0006096]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]
msrB VC_1998	GO:0005737; GO:0006979; GO:0008270; GO:0030091; GO:0033743	protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]	peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]
VC_1978	GO:0000166; GO:0002953; GO:0005737; GO:0046872		cytoplasm [GO:0005737]	5'-deoxynucleotidase activity [GO:0002953]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]
menF VC_1976	GO:0000287; GO:0008909; GO:0009234	menaquinone biosynthetic process [GO:0009234]		isochorismate synthase activity [GO:0008909]; magnesium ion binding [GO:0000287]
menD VC_1975	GO:0000287; GO:0009234; GO:0030145; GO:0030976; GO:0070204	menaquinone biosynthetic process [GO:0009234]		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976]
menB VC_1973	GO:0005829; GO:0008935; GO:0009234; GO:0016853	menaquinone biosynthetic process [GO:0009234]	cytosol [GO:0005829]	1,4-dihydroxy-2-naphthoyl-CoA synthase activity [GO:0008935]; isomerase activity [GO:0016853]
menC VC_1972	GO:0000287; GO:0009234; GO:0016836; GO:0043748	menaquinone biosynthetic process [GO:0009234]		hydro-lyase activity [GO:0016836]; magnesium ion binding [GO:0000287]; O-succinylbenzoate synthase activity [GO:0043748]
folD VC_1942	GO:0000105; GO:0004477; GO:0004488; GO:0005829; GO:0006164; GO:0009086; GO:0035999	L-histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]	cytosol [GO:0005829]	methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]
dctP VC_1929	GO:0015740; GO:0030288; GO:0055085	C4-dicarboxylate transport [GO:0015740]; transmembrane transport [GO:0055085]	outer membrane-bounded periplasmic space [GO:0030288]	
tig VC_1923	GO:0003755; GO:0005737; GO:0015031; GO:0043022; GO:0043335; GO:0044183; GO:0051083; GO:0051301; GO:0061077	'de novo' cotranslational protein folding [GO:0051083]; cell division [GO:0051301]; chaperone-mediated protein folding [GO:0061077]; protein transport [GO:0015031]; protein unfolding [GO:0043335]	cytoplasm [GO:0005737]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]
