Model,Rank,Program,Time,Space,Value,Requested_rank
PCA,10,PC1,1h,st,0.0014188885755935,3
PCA,10,PC1,1h,SI1,0.6352595715396835,3
PCA,10,PC1,1h,SI2,-0.1499479198212338,3
PCA,10,PC1,1h,SI3,-0.7051152524446802,3
PCA,10,PC1,1h,SI4,-0.8505379156377997,3
PCA,10,PC1,1h,SI5,-0.9249141140593282,3
PCA,10,PC1,1h,SI6,-0.9660468893425526,3
PCA,10,PC1,1h,SI7,-0.8938967439015617,3
PCA,10,PC1,1h,SI8,-0.8633925737000834,3
PCA,10,PC1,1h,SI9,-0.6954921881402194,3
PCA,10,PC1,1h,ce,0.0372157832271869,3
PCA,10,PC1,1h,co,0.1427549978715273,3
PCA,10,PC1,3h,st,0.3583928077866459,3
PCA,10,PC1,3h,SI1,1.413369777184731,3
PCA,10,PC1,3h,SI2,1.3822606098079246,3
PCA,10,PC1,3h,SI3,1.3632421176407474,3
PCA,10,PC1,3h,SI4,1.1358973266459376,3
PCA,10,PC1,3h,SI5,1.1798689824679416,3
PCA,10,PC1,3h,SI6,0.1246091232133697,3
PCA,10,PC1,3h,SI7,0.2425411902491444,3
PCA,10,PC1,3h,SI8,0.0936049503062583,3
PCA,10,PC1,3h,SI9,-0.0530293080862068,3
PCA,10,PC1,3h,ce,-0.7237235816434522,3
PCA,10,PC1,3h,co,-0.810990899794297,3
PCA,10,PC1,6h,st,0.4999326085572768,3
PCA,10,PC1,6h,SI1,1.1169829077599474,3
PCA,10,PC1,6h,SI2,1.4033571210670317,3
PCA,10,PC1,6h,SI3,1.4016330241761226,3
PCA,10,PC1,6h,SI4,1.346742126233821,3
PCA,10,PC1,6h,SI5,0.4867973050942246,3
PCA,10,PC1,6h,SI6,-0.6253955239407365,3
PCA,10,PC1,6h,SI7,-0.7148684485051171,3
PCA,10,PC1,6h,SI8,-0.6393840059842055,3
PCA,10,PC1,6h,SI9,-0.6968989724321479,3
PCA,10,PC1,6h,ce,-0.2507666038030498,3
PCA,10,PC1,6h,co,-0.5137431824669247,3
PCA,10,PC1,12h,st,0.2844938293761437,3
PCA,10,PC1,12h,SI1,1.395599762428187,3
PCA,10,PC1,12h,SI2,1.3432675509484269,3
PCA,10,PC1,12h,SI3,1.113667575046009,3
PCA,10,PC1,12h,SI4,0.4032377791037874,3
PCA,10,PC1,12h,SI5,-0.4295880833868826,3
PCA,10,PC1,12h,SI6,-0.7272644914412737,3
PCA,10,PC1,12h,SI7,-0.8131624449004536,3
PCA,10,PC1,12h,SI8,-0.5837612241026043,3
PCA,10,PC1,12h,SI9,-0.6459003426072047,3
PCA,10,PC1,12h,ce,-0.4568201330949941,3
PCA,10,PC1,12h,co,-0.5374444264777755,3
PCA,10,PC1,24h,st,0.1585200267073536,3
PCA,10,PC1,24h,SI1,0.2625032942592638,3
PCA,10,PC1,24h,SI2,-0.0357143429165126,3
PCA,10,PC1,24h,SI3,-0.1368841281790396,3
PCA,10,PC1,24h,SI4,-0.339045179275614,3
PCA,10,PC1,24h,SI5,-0.4241859336250472,3
PCA,10,PC1,24h,SI6,-0.5146821539828991,3
PCA,10,PC1,24h,SI7,-0.5646686136400146,3
PCA,10,PC1,24h,SI8,-0.5719128770057188,3
PCA,10,PC1,24h,SI9,-0.4858492281659724,3
PCA,10,PC1,24h,ce,-0.532043458564394,3
PCA,10,PC1,24h,co,-0.4500998522042895,3
CP,10,CP1,1h,st,0.0156884299029289,3
CP,10,CP1,1h,SI1,0.0148233990977139,3
CP,10,CP1,1h,SI2,0.0118443733274861,3
CP,10,CP1,1h,SI3,0.0131104591083009,3
CP,10,CP1,1h,SI4,0.0030304884662523,3
CP,10,CP1,1h,SI5,-0.0046123482662561,3
CP,10,CP1,1h,SI6,-0.0114645451724564,3
CP,10,CP1,1h,SI7,-0.0112015155298874,3
CP,10,CP1,1h,SI8,-0.0091623435562882,3
CP,10,CP1,1h,SI9,-0.0084808158263834,3
CP,10,CP1,1h,ce,-0.0067259623253841,3
CP,10,CP1,1h,co,-0.0058949854112486,3
CP,10,CP1,3h,st,0.2646273887940125,3
CP,10,CP1,3h,SI1,0.2500363274432725,3
CP,10,CP1,3h,SI2,0.199787079073409,3
CP,10,CP1,3h,SI3,0.2211430067372539,3
CP,10,CP1,3h,SI4,0.0511173045713782,3
CP,10,CP1,3h,SI5,-0.0777996068096064,3
CP,10,CP1,3h,SI6,-0.19338025994123,3
CP,10,CP1,3h,SI7,-0.1889435605443397,3
CP,10,CP1,3h,SI8,-0.1545474636745867,3
CP,10,CP1,3h,SI9,-0.1430516731671018,3
CP,10,CP1,3h,ce,-0.1134513688307984,3
CP,10,CP1,3h,co,-0.0994347175599952,3
CP,10,CP1,6h,st,0.2576756147839071,3
CP,10,CP1,6h,SI1,0.2434678613044354,3
CP,10,CP1,6h,SI2,0.194538663064065,3
CP,10,CP1,6h,SI3,0.2153335694988838,3
CP,10,CP1,6h,SI4,0.0497744505644463,3
