Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8
PCA,N900_RS00015,mnmE,2.262020321602928,2.7392140886208036,0.8643737526530417,-0.6165420635864081,0.33061651579401413,-0.32374421020080724,0.1529709914330587,0.46422226111730414
PCA,N900_RS00025,yidD,-0.13595842485937926,1.6097785974579393,-2.284935891080729,0.3720727237827779,-0.07127347579479784,2.8088696730401694,-1.2021016588177875,-0.7069727114429247
PCA,N900_RS00040,yxeO,-4.661771888394779,-1.8875546908466152,-0.4240427790547636,-1.876576856644939,1.1146737333516916,-0.8275281658826881,-1.0957707617168977,-2.020644908643554
PCA,N900_RS00045,patM,-0.22898986510043917,0.8889085950187348,-0.9982957818653799,-0.9570971062759586,2.4024522581634735,3.956860043546209,0.24401991791778077,0.05478498417313693
PCA,N900_RS00050,patH,1.5765784871881205,0.5106248991269217,-0.16393040367690065,1.2624348331393653,0.22564937855366612,0.045507393196005386,-1.732697854685694,-1.5780874709786505
PCA,N900_RS00065,recF,0.0634896857630225,-0.7415416670740014,-0.6722171065575195,-0.49658047997433163,1.8539702452417735,-1.2992432573800534,1.638051427494128,-0.33591379675625616
PCA,N900_RS00075,VC_0016,1.8851666993261231,0.24712861656087223,-0.697565771407184,1.8380950053585314,-0.18081173874739406,-0.4697423518600039,0.9900943189081359,1.2460078972846311
PCA,N900_RS00085,ibpA,-1.8133674333163656,-0.6047105330426061,-0.9938696345969458,0.32072721778022073,-1.6366874455525697,-0.9590426394581881,-1.0198102721148885,2.1089217820488755
PCA,N900_RS00090,avtA,-1.5471654223993987,-0.7781854371877133,-1.1376936137079365,-1.4406746903600958,1.4361371601907165,-3.029590944542787,-0.827411795918295,0.8817524555373659
PCA,N900_RS00105,mneA,1.876957676644623,-0.9988497731366854,-0.9702932391297132,1.2260413958677572,0.16113786142622374,1.9088851877091275,0.3770081232191267,1.1636783716180228
PCA,N900_RS00110,NADH dehydrogenase subunit II-related protein,-5.312911451936007,-0.09421553901509211,-0.8474589109993231,-0.9772846282616107,0.28422450323945325,0.6980363576161843,-1.2794843487415433,-1.0885201194047405
PCA,N900_RS00120,VC_0025,-0.5579216752630001,-0.6605814844263133,1.7913055193962324,2.2762191528585047,1.8228690770746152,-0.0072740007969915865,0.09478700225140879,0.5152284511163938
PCA,N900_RS00125,acuI,0.8849048091575042,0.9192614233651302,0.9520185212145816,1.9627263583243608,0.30663468099977126,0.3050928295423594,-1.0742779622432777,-1.2385562036989302
PCA,N900_RS00130,ilvA,2.8703514529101684,0.08564338193173793,-0.4460223347584077,0.143353405930716,0.122991669496236,0.17631940940732505,-0.2522532819905696,0.6107345823774761
PCA,N900_RS00135,ilvD,1.4963588546096087,0.5536555935836791,-2.1966259314263143,0.46703460012719367,-2.706274081593723,-0.30358684488948184,-0.6176122099587673,0.9232753919692633
PCA,N900_RS00140,ilvE,0.9015138626333217,0.5458007616809659,-2.7567467734561037,-1.450400389615933,-1.3448525548759003,0.6177896041768098,-0.9375316800029836,-1.912916310827948
PCA,N900_RS00145,ilvM,1.8507962831443505,-0.15337757416962,0.5589829429243365,-1.2614220566575116,1.8325573141674667,0.05729547260991341,1.2063161165195289,-1.9161169456099139
PCA,N900_RS00150,ilvG,2.1557365292499577,0.022478120251866185,-0.6119182707690918,0.19663221515535012,0.5645127893171868,0.9604023474599332,-1.5644356207592243,2.0273966734958515
PCA,N900_RS00155,yifb,-2.447977120284796,-1.1574276222359001,-1.614988473303021,0.19940798720725406,-1.2026821859856203,0.16858199233307858,2.1899552776434428,-1.8792125803220119
PCA,N900_RS00160,yihG,1.9724418829749633,-0.5116966923756099,-1.804191935667021,0.7086186018036975,-0.02170551387784747,1.0878007966737897,-0.10170211605423907,-1.5413729582648978
PCA,N900_RS00165,dsba,-0.44842557777170144,1.5866342330990413,0.03902678215018506,3.41518036001989,1.0012639157341505,-0.4106227415974484,-0.7990419943427076,0.5367510932527634
PCA,N900_RS00170,serine/threonine protein kinase,1.7820906199635633,-2.191260403932112,-0.35034158530706494,1.695428077551898,-0.5439762765959735,0.5450694279951618,0.6516957336293017,0.4804526541716084
PCA,N900_RS00175,ccoG,0.4013480075323588,-3.339206341390389,0.4376825415568233,-1.9665403730152846,-2.1553691004821234,-0.7212132624097618,-2.0247415294905835,1.1636787425492454
PCA,N900_RS00180,yihD,-0.7332869798541277,1.0657952556529833,2.153256577588784,0.6616757304343053,-3.0432677705256426,1.8539864479832804,1.49973737782721,2.746506253678023
PCA,N900_RS00185,VC_0038,1.0542696275949144,2.150241112916045,-3.033788819802089,-2.4860426352729563,1.8343925293533612,1.414375606718569,0.43757974229357866,0.9219767196844875
PCA,N900_RS00190,SpoOM-related protein,1.8984041547078885,-0.6875783750687188,-0.8907597430618874,-0.34874197392808126,2.499719342895349,-0.7785619770668859,1.8266874215110096,1.4413503619316514
PCA,N900_RS00195,yqfA,-0.6442183113325735,-0.1643556151591964,3.053320040883006,0.23059913053913839,-2.2853361443018283,-1.1701906025164952,-0.03518956607829882,0.8696272735779635
PCA,N900_RS00200,VC_0041,1.0902272411462448,-1.8519434989445918,1.9024490501522446,-1.6296589336968932,0.775630682855301,0.38200099751297956,0.27162303522759346,-2.405204816083882
PCA,N900_RS00205,trkI,2.3015444968003225,-0.7914304367711587,-0.9162516106848354,-0.7408312689266789,1.1378887570418879,0.14160899208754318,-0.6092230538686554,1.3004250251632368
PCA,N900_RS00215,rsmB,-0.417293321633859,-3.0801802959854876,0.5231984722293047,0.2911007297766872,0.11195600749125548,-0.9949740160582539,-2.04996032955904,-0.7576205564599165
PCA,N900_RS00225,def1,-2.078490195570925,-1.7831296020022154,1.675642489289275,-1.2060415970437703,1.9796549247661166,2.566961306669895,2.1370268576489124,0.22701399732933028
PCA,N900_RS00230,VC_0047,0.4690421121819863,-2.0911742533786573,0.706654564155817,0.5363472426657148,2.4773839019500707,0.3035345532051916,0.6410511255304465,1.0213033545105707
PCA,N900_RS00235,dprA,1.9876887430360206,0.20008032986528815,1.4683442040153571,-0.07210241041456644,-0.4114182569362774,-0.7038281575980601,0.27949379813330116,0.05619277892202085
PCA,N900_RS00240,smg,-2.144357355768262,-1.3937171502603707,1.230375262700942,-0.8383818737675395,2.1568461989578216,3.482427405093903,0.15061468372724196,1.1146905812688344
PCA,N900_RS00245,topA_1,3.273101616078396,-0.6014389510809465,-0.5690851461347449,-1.1343883014098488,1.9483280594425305,0.5344447454129726,1.402030839799675,1.121596755422999
PCA,N900_RS00250,purK,-2.246124894862888,2.1081408929613374,-2.0079307198145835,0.796244925147048,1.9444385541560405,-2.8651885305854403,-1.7642138082381222,-0.49098863228840955
PCA,N900_RS00255,purE,-3.46739401655046,4.745833225440771,0.1077547291546608,2.015376407254428,0.8608970188014261,-1.5882241685527765,-0.8641219630697419,0.012061741964205841
PCA,N900_RS00260,tsaC,1.356316652762124,0.040995302219500984,2.963954007044018,1.4568499577668548,-1.5091467381834665,0.5313969739329503,-1.52343526441807,-0.3461763600075473
PCA,N900_RS00265,hemF,-3.468405466597694,-0.9477800104894658,1.3487088907637355,-1.1164619193418062,2.6637252450016695,-2.6133252162020773,-1.5612291758987815,-1.7431780308695262
PCA,N900_RS00270,aroE,-1.358894678477898,-0.07108597984405157,-0.06642478169402222,3.2289163743291223,-0.5851419596576676,-2.7166010948063386,-0.12594543739797137,-0.016510113833831552
PCA,N900_RS00275,VC_0057,3.033372854314046,-0.19714488955553144,0.6507472102250522,0.42178528433082896,0.08865060137203604,0.13503369115669128,-0.012354810499816127,1.1411018612401989
PCA,N900_RS00280,yrdA,1.1355082391580744,-0.4888634057930953,-0.9298985140905025,1.75184779963501,-1.5220365783471743,2.7767110226280964,1.3446168149103053,0.9865271620728209
PCA,N900_RS00320,crcB,2.9225830036403977,0.44056313199185626,1.3421368737625194,-0.6077828843673765,-0.9938432728655661,-0.2877747304903431,-0.15497593786260122,-0.7558647687560467
PCA,N900_RS00325,thiC,1.2686576920943295,0.12564267722113068,-2.8505579922292377,-0.6870891194049671,-0.24632280799343206,1.4883077603792212,-1.8839241554914106,-0.9700089056660632
PCA,N900_RS00330,thiE,-4.253531174563277,0.47856419537102934,-2.649019278622938,-0.9473527261218568,-0.372511486682389,-0.20857199605375354,-0.5572201599512197,-1.1208508254446539
PCA,N900_RS00335,thiF,-2.7698767032400378,-0.1463830006118686,0.6352464692997541,2.4735541697065075,1.0490229154893191,-0.2917532452205607,2.4160368493519204,1.8547133747256994
PCA,N900_RS00340,thiS,1.3501561288928885,-0.45753080777549193,2.333688586700801,0.45946681385862753,-2.120482870999649,1.4122154434784535,-1.5223465056324896,1.5785706618035646
PCA,N900_RS00345,thiG,-0.48058364856304125,1.3979403002474526,-0.4404106635020758,-1.8235014822389037,0.1660683290413845,-0.06073688693869772,-2.821008139337498,-2.0217401059976607
PCA,N900_RS00350,thiH,2.714935002079905,-2.345176620058348,-0.9564539444067908,0.4140956590793823,0.31482129222308847,-0.20627014777867725,-0.18579062280739855,0.516909371602155
PCA,N900_RS00355,aminopeptidase P,0.6443335542302648,-2.2914340656379775,3.5462438801929443,-1.4207760781141057,-1.0298235278179135,-0.07609814156391881,-1.9691058633974208,-0.3236532845949253
PCA,N900_RS00360,LysR family transcriptional regulator_1,-0.9090746135000596,-1.3029392152049095,1.2142644361360209,0.4029185798144903,-0.5145228858878365,0.26111311564443573,1.7735030767757824,0.02146529568026137
PCA,N900_RS00365,mdtL_1,-0.45348478913463985,-1.621838740292319,-1.0020115955248983,-0.7748155718002505,1.86752188243229,2.3562983378290077,-0.6787892791325618,-1.9473337641436241
PCA,N900_RS00370,VC_0070,-3.156575059933434,-3.2017507894369723,2.9218245336439543,-2.8371916904400125,1.9901148174425876,2.8581320821998397,2.6541939361951874,1.301483553326202
PCA,N900_RS00375,asnC,-3.6624096187218527,-0.308902975848103,-0.6744636008395886,0.5105046940652564,-3.297074426605258,0.18190705432053011,1.2388226907091338,0.07531902940707919
PCA,N900_RS00380,VC_0072,1.3171352285055224,-0.18055954966891408,1.8789120974867815,2.0587934069932916,-0.4334697813556979,-0.3711047318640468,0.41409131813817557,-1.0767541430954886
PCA,N900_RS00385,rsmJ,2.4256195789755672,-0.08807444496662176,1.39169038824517,0.8494749883303658,0.15977914940020782,-0.2391788576375029,-1.2298690804279269,0.8832415023801103
PCA,N900_RS00390,VC_0074,-2.1819408735523806,-0.5469685623096657,-0.08401260362043667,3.167258949808506,-1.020372574084669,0.7413699307190669,0.5738463439533257,-0.7406358951158885
PCA,N900_RS00395,eamA_2,0.3507430902994848,1.766210354901673,-2.047077325891655,-0.9376547969340111,-0.6170097273920048,0.15108948523334398,2.1878584912684924,-0.26785375867334654
PCA,N900_RS00400,uspA_1,-2.539458872751171,-2.882167185664328,-0.42088381436645095,-2.5327343037081165,-1.4218938413007771,2.2711931132600833,2.110770402651858,-0.15539660588101645
PCA,N900_RS00410,ftnA,-1.9274901905045767,0.46072105305913,-2.7267216070551417,-1.1251965987302,-0.7089835864683238,-0.6090973451461648,-0.2942138712736375,1.6221613457470345
PCA,N900_RS00415,uspB,2.1120002156400144,2.0543101743816123,0.15584284795934072,-2.60823844295804,0.7840512353508922,1.2024611539861318,-0.8567516240129389,-0.7109358288043148
PCA,N900_RS00420,rdsA_BLAST,-2.1275832149264167,0.06995237052883957,0.6394898997703679,1.24456049149331,-0.10940839687520795,-0.01533663059655399,2.719558176555455,0.05462080332766853
