Model,Program,Component,Direction,Gene,Gene_display,Loading,Abs_loading,Driver_category
PCA,PCA3,3,Negative,N900_RS18620,VC_A1035,-3.3934184703124983,3.3934184703124983,Uncategorized
PCA,PCA3,3,Negative,N900_RS06680,btuD_1,-3.3445737126263055,3.3445737126263055,Transporters / nutrient uptake systems
PCA,PCA3,3,Negative,N900_RS08470,DNA transformation protein,-3.340898522123597,3.340898522123597,Uncategorized
PCA,PCA3,3,Negative,N900_RS05085,prepilin peptidase_2,-3.3212968687779885,3.3212968687779885,Uncategorized
PCA,PCA4,4,Positive,N900_RS09930,recN,3.6217687200320583,3.6217687200320583,Uncategorized
PCA,PCA4,4,Positive,N900_RS12500,VC_0420,3.53869013983197,3.53869013983197,Uncategorized
PCA,PCA4,4,Positive,N900_RS08645,"transcriptional regulator, putative",3.449637860246302,3.449637860246302,Transcription factors / DNA-binding regulators
PCA,PCA4,4,Positive,N900_RS19965,Pseudogene_N900_RS19965,3.425117891722131,3.425117891722131,Metabolic bottleneck enzymes
PCA,PCA4,4,Positive,N900_RS01235,VC_2662,3.4170801459258087,3.4170801459258087,Uncategorized
PCA,PCA4,4,Positive,N900_RS12280,VC_0458_BLAST,3.416357281506153,3.416357281506153,Uncategorized
PCA,PCA4,4,Positive,N900_RS00165,dsba,3.41518036001989,3.41518036001989,Uncategorized
PCA,PCA4,4,Positive,N900_RS08705,dusC,3.410989135519663,3.410989135519663,Uncategorized
PCA,PCA4,4,Positive,N900_RS07770,sdaA_1,3.372084983978514,3.372084983978514,Metabolic bottleneck enzymes
PCA,PCA4,4,Positive,N900_RS13420,wbeK,3.330656452036891,3.330656452036891,Uncategorized
PCA,PCA4,4,Negative,N900_RS19435,VC_A0325,-4.985717687701125,4.985717687701125,Uncategorized
PCA,PCA4,4,Negative,N900_RS04895,hinT,-4.8258110158602,4.8258110158602,Uncategorized
PCA,PCA4,4,Negative,N900_RS11325,VC_1785,-4.587157333577724,4.587157333577724,Uncategorized
PCA,PCA4,4,Negative,N900_RS11710,rsmI,-4.55698291382361,4.55698291382361,Uncategorized
PCA,PCA4,4,Negative,N900_RS18055,TonB_2,-4.509459107923424,4.509459107923424,Transporters / nutrient uptake systems
PCA,PCA4,4,Negative,N900_RS06610,CPXCG motif-containing cysteine-rich protein,-4.387876848570722,4.387876848570722,Uncategorized
PCA,PCA4,4,Negative,N900_RS09250,nagA_1,-4.216314789081939,4.216314789081939,Uncategorized
PCA,PCA4,4,Negative,N900_RS11605,amtB,-4.083636105916355,4.083636105916355,Transporters / nutrient uptake systems
PCA,PCA4,4,Negative,N900_RS18370,VC_A0980,-4.082841446014946,4.082841446014946,Uncategorized
PCA,PCA4,4,Negative,N900_RS14150,chiA,-4.07297012204425,4.07297012204425,Uncategorized
PCA,PCA5,5,Positive,N900_RS01885,kdsC,4.6098471681780975,4.6098471681780975,Uncategorized
PCA,PCA5,5,Positive,N900_RS14675,VC_A0139,4.526460753198716,4.526460753198716,Uncategorized
PCA,PCA5,5,Positive,N900_RS07705,methyl-accepting chemotaxis protein_14,4.370407672304604,4.370407672304604,Chemotaxis / motility regulators
PCA,PCA5,5,Positive,N900_RS18705,VC_A1052,4.20573118650037,4.20573118650037,Uncategorized
PCA,PCA5,5,Positive,N900_RS14260,VC_A0052,4.122255448046739,4.122255448046739,Uncategorized
PCA,PCA5,5,Positive,N900_RS03240,rnhB,4.038700619862062,4.038700619862062,Uncategorized
PCA,PCA5,5,Positive,N900_RS01100,cpxR,4.01476962592782,4.01476962592782,Response regulators
PCA,PCA5,5,Positive,N900_RS05455,siaQ,4.008178976351548,4.008178976351548,Transporters / nutrient uptake systems
PCA,PCA5,5,Positive,N900_RS15910,VC_A0452,3.9314875794126003,3.9314875794126003,Uncategorized
PCA,PCA5,5,Positive,N900_RS00540,ypeA_1,3.8900879754139637,3.8900879754139637,Metabolic bottleneck enzymes
PCA,PCA5,5,Negative,N900_RS18125,AraC family transcriptional regulator_4,-4.397305287290312,4.397305287290312,Transcription factors / DNA-binding regulators
PCA,PCA5,5,Negative,N900_RS04180,fabG_1,-4.067503315596792,4.067503315596792,Metabolic bottleneck enzymes
PCA,PCA5,5,Negative,N900_RS03395,Fe3+-citrate ABC transporter substrate-binding protein,-4.061904685126784,4.061904685126784,Transporters / nutrient uptake systems
PCA,PCA5,5,Negative,N900_RS05775,VC_1708,-3.955200910321757,3.955200910321757,Uncategorized
PCA,PCA5,5,Negative,N900_RS09075,inosine monophosphate dehydrogenase-related protein,-3.824622246049179,3.824622246049179,Metabolic bottleneck enzymes
PCA,PCA5,5,Negative,N900_RS04620,VC_1957_BLAST,-3.7730531632255313,3.7730531632255313,Uncategorized
PCA,PCA5,5,Negative,N900_RS18930,ABC transporter ATP-binding protein_4,-3.5846109240798545,3.5846109240798545,Transporters / nutrient uptake systems
PCA,PCA5,5,Negative,N900_RS12840,fkpA,-3.5786067601277587,3.5786067601277587,Uncategorized
PCA,PCA5,5,Negative,N900_RS12150,oxidative stress defense protein,-3.544969184762021,3.544969184762021,Stress-response regulators
PCA,PCA5,5,Negative,N900_RS18140,rlmC,-3.527085527549313,3.527085527549313,Uncategorized
PCA,PCA6,6,Positive,N900_RS01325,argH,4.881633872979391,4.881633872979391,Uncategorized
PCA,PCA6,6,Positive,N900_RS00650,VC_0131,4.870443670296415,4.870443670296415,Metabolic bottleneck enzymes
PCA,PCA6,6,Positive,N900_RS09100,moaB,4.747154048828866,4.747154048828866,Uncategorized
PCA,PCA6,6,Positive,N900_RS06265,ABC transporter permease_4,4.685305208796842,4.685305208796842,Transporters / nutrient uptake systems
PCA,PCA6,6,Positive,N900_RS13340,VC_0268,4.680425568819357,4.680425568819357,Transcription factors / DNA-binding regulators
PCA,PCA6,6,Positive,N900_RS05340,IclR family transcriptional regulator,4.667656271938467,4.667656271938467,Transcription factors / DNA-binding regulators
PCA,PCA6,6,Positive,N900_RS11625,VC_0603,4.638024592261565,4.638024592261565,Uncategorized
PCA,PCA6,6,Positive,N900_RS06225,LysR family transcriptional regulator_5,4.566734567197561,4.566734567197561,Transcription factors / DNA-binding regulators
PCA,PCA6,6,Positive,N900_RS06510,katG,4.55816533265385,4.55816533265385,Stress-response regulators
PCA,PCA6,6,Positive,N900_RS16750,antibiotic biosynthesis monooxygenase,4.285161646709401,4.285161646709401,Uncategorized
PCA,PCA6,6,Negative,N900_RS11295,umuC,-3.5570612113354927,3.5570612113354927,Uncategorized
PCA,PCA6,6,Negative,N900_RS12870,hflX,-3.51393161450507,3.51393161450507,Uncategorized
PCA,PCA6,6,Negative,N900_RS05790,metE,-3.5124229180199555,3.5124229180199555,Uncategorized
PCA,PCA6,6,Negative,N900_RS07210,VC_1420,-3.33150406317108,3.33150406317108,Uncategorized
PCA,PCA6,6,Negative,N900_RS09555,VC_0929,-3.3153183733253138,3.3153183733253138,Uncategorized
PCA,PCA6,6,Negative,N900_RS07080,rcsC_3,-3.3109578168860057,3.3109578168860057,Response regulators
PCA,PCA6,6,Negative,N900_RS07190,chromosome segregation ATPase_1,-3.2965711796478305,3.2965711796478305,Uncategorized
PCA,PCA6,6,Negative,N900_RS19860,VC_0621,-3.2593082658925563,3.2593082658925563,Uncategorized
PCA,PCA6,6,Negative,N900_RS05890,sapF,-3.193296999219298,3.193296999219298,Uncategorized
PCA,PCA6,6,Negative,N900_RS06805,ABC transporter ATP-binding protein_2,-3.1746221535396564,3.1746221535396564,Transporters / nutrient uptake systems
PCA,PCA7,7,Positive,N900_RS00730,ftsE,5.211085611002515,5.211085611002515,Uncategorized
PCA,PCA7,7,Positive,N900_RS14405,soxR,4.935282883483913,4.935282883483913,Stress-response regulators
PCA,PCA7,7,Positive,N900_RS01530,rlmB,4.199512598256245,4.199512598256245,Uncategorized
PCA,PCA7,7,Positive,N900_RS16675,sseA,4.104961256851799,4.104961256851799,Uncategorized
PCA,PCA7,7,Positive,N900_RS12730,zur,4.003213523992234,4.003213523992234,Transcription factors / DNA-binding regulators
PCA,PCA7,7,Positive,N900_RS11070,traC,3.9678594560248577,3.9678594560248577,Uncategorized
PCA,PCA7,7,Positive,N900_RS06865,uup,3.9230007224770747,3.9230007224770747,Transporters / nutrient uptake systems
PCA,PCA7,7,Positive,N900_RS17005,VC_A0689,3.878476832530568,3.878476832530568,Uncategorized
PCA,PCA7,7,Positive,N900_RS09650,treC,3.845655380906271,3.845655380906271,Uncategorized
PCA,PCA7,7,Positive,N900_RS18815,PAS domain S-box protein_2,3.842777927090154,3.842777927090154,Transcription factors / DNA-binding regulators
PCA,PCA7,7,Negative,N900_RS19030,VC_0729,-4.21189267553746,4.21189267553746,Uncategorized
PCA,PCA7,7,Negative,N900_RS16790,cdr,-4.036283504232635,4.036283504232635,Metabolic bottleneck enzymes
