Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8
N900_RS00355,aminopeptidase P,2.4779942,3.475975,-1.403729,0.38248694,0.4183559,-2.9434955,0.7765495,2.9535959
N900_RS00360,LysR family transcriptional regulator_1,1.4532875,2.1710434,-1.9360985,-0.7409967,-0.18332228,-0.58797145,-0.17623268,2.0596256
N900_RS00365,mdtL_1,2.7521265,1.4584001,-2.4965055,-0.06612283,-0.6485435,-1.582877,0.9835625,1.9400805
N900_RS00370,VC_0070,-2.2268624,0.999849,-2.6172695,0.98407346,0.70653975,-3.7006004,-0.09178015,1.1560988
N900_RS00375,asnC,-0.3922065,1.8765218,0.85903955,-1.5591586,-0.3317992,2.8228397,-0.29354423,-0.052565284
N900_RS00380,VC_0072,4.3860354,3.1893208,-1.3321851,-1.0844078,0.418058,-0.57765806,0.16927734,1.953022
N900_RS00385,rsmJ,4.946742,4.16643,-2.498682,-0.91918314,-0.63705945,-3.647363,0.3894957,2.1759715
N900_RS00390,VC_0074,2.411133,1.7191911,-2.141272,-2.7560122,-1.4771721,0.43588862,-0.63283736,2.5491655
N900_RS00395,eamA_2,3.3490844,2.0756667,-0.5814054,-0.3827507,-0.78564954,-0.39419928,0.08627913,-1.0519736
N900_RS00400,uspA_1,-1.1311709,1.2301922,-0.49039528,0.3865348,-1.5167475,0.2793265,-0.4733903,0.39134547
N900_RS00410,ftnA,1.0156106,2.8942046,-0.48178515,-1.5110935,-2.2779849,-0.47328827,0.34431446,-1.3278375
N900_RS00415,uspB,4.878766,1.8399718,-0.3892546,0.52341074,-0.70496607,-2.2710683,0.372793,0.78459877
N900_RS00420,rdsA_BLAST,1.197479,1.6395646,-1.5131637,-1.5194815,-0.22135805,-0.33254427,-0.43154326,0.92482555
N900_RS00425,eamA_1,3.0610678,3.3743486,-0.5775968,-0.847169,-0.4793237,0.6051349,1.7135236,0.051973034
N900_RS00430,rmuC,4.341326,1.4214045,-1.5827297,-2.238155,-1.8203439,0.8445462,-0.12976567,2.275177
N900_RS00440,ubiJ,1.945024,3.234881,-2.7904787,0.12777472,-1.2185751,-1.7218002,-0.48252133,1.2871112
N900_RS00450,tatA,0.6357076,2.9219682,-1.2536825,-0.60083365,0.044176698,-1.9544457,0.78977126,0.75555784
N900_RS00455,tatB,4.757195,3.5088184,-2.6571295,0.46801192,-1.3108327,-0.58171636,0.47772714,1.9008505
N900_RS00460,tatC,2.2775974,2.2659328,-2.9320865,0.58855176,1.5907055,-2.4125645,0.84049505,1.9374212
N900_RS00465,ccp,3.6754045,4.2706704,-1.924216,-0.5757143,-1.738528,0.6487884,0.37236372,2.0369916
N900_RS00470,dinF,3.678162,2.5226357,-2.9189188,0.010936163,-0.8335167,-2.4960153,0.7149057,0.4370684
N900_RS00475,class I SAM-dependent methyltransferase_2,2.7744472,0.8668328,1.1775006,0.28870782,0.6066419,1.8675314,0.6777997,-0.5173698
N900_RS00480,lexA,3.2442315,1.3860317,0.19848967,-0.40725604,0.43251416,0.37269098,1.1112307,0.48507157
N900_RS00485,plsB,3.0178227,0.53469086,0.8382377,0.91818154,-0.15859593,1.3652593,-0.099558115,-0.65352046
N900_RS00490,ubiA,6.737317,1.6303635,0.140975,-0.0475161,0.43586287,-0.44787714,0.082828395,-0.27082142
N900_RS00495,chorismate lyase,2.048965,4.2039433,-3.8065875,-0.72319376,-0.78330135,-2.873059,0.347314,2.2715018
N900_RS00505,fliL_2,-0.16282389,1.0698173,1.0254683,-0.8009252,0.09668267,2.1047888,-0.4248874,0.40216973
