Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8
N900_RS03845,smrB,2.7960305,0.03985312,-0.9776328,-1.5377634,-1.9724989,-0.69715005,-1.2531357,-0.18948844
N900_RS03850,prmB,4.747482,0.60153455,-1.3496072,0.38925603,1.0097424,-0.987633,-0.11709868,2.0252995
N900_RS03855,VC_2117,1.5347426,2.2406847,0.6003633,-1.1894153,-0.53145075,0.5067864,1.0948055,-0.90179926
N900_RS03860,aroC,4.7856846,1.5818712,0.0853992,-1.7893313,0.102158904,-0.41255304,0.16373092,-0.29208928
N900_RS03865,UPF0126 membrane protein HI_1240_BLAST,1.3036486,1.3444989,-2.956309,0.2950881,-0.74406743,-3.8664799,0.6535714,-0.06439408
N900_RS03870,epmC,4.924686,3.5561006,-3.912307,-0.3723648,-1.2732273,-2.824647,0.36316505,1.4259158
N900_RS03875,yfcl,3.5030832,2.3651996,-2.192891,-0.9912764,0.92734957,-0.5419285,0.12301438,1.9035305
N900_RS03880,NAD(P)H-dependent oxidoreductase,3.0825074,1.5758268,-2.7936926,0.14498171,0.73260236,-2.609721,-0.29773298,1.1437858
N900_RS03885,mnmC,1.9480625,2.721344,-1.9621798,-1.755794,-1.9571962,-0.9232175,1.4248415,2.5140307
N900_RS03890,fabB,6.0761175,1.4046798,0.28305385,-0.7773601,0.35299745,-0.19734167,0.10913762,-0.40134487
N900_RS03900,asd2,1.0575446,2.8881433,-1.7530954,-0.37568846,-2.2445495,-2.270256,0.80520606,-0.48255387
N900_RS03905,fur,6.558061,1.3705238,0.26917735,0.37426588,0.47079793,-0.24636379,0.016321972,-0.4198732
N900_RS03910,VC_2105,4.4939733,2.6885169,-2.6225607,-1.6341238,-0.84581244,-1.0771989,-0.17132819,1.5297332
N900_RS03915,gltC,4.9718037,3.6230702,-2.9585032,-0.44247553,-0.8353151,-2.110039,0.6046577,0.5827032
N900_RS03920,cida,3.1621087,3.0891898,-3.4983218,-1.2015733,-0.5597913,-3.3425267,0.8432052,0.5990988
N900_RS03925,yohK_1,3.4999793,2.4882264,0.08889971,-1.2576511,-0.67561424,2.4213061,0.58291066,0.32521275
N900_RS03935,VC_2098,4.791585,3.6341653,-2.706223,1.151313,-0.50172174,-1.8201905,0.40362835,1.081593
N900_RS03940,ybfF,1.1355963,0.27743748,1.318724,-4.3523574,-0.07710445,2.1416461,-0.3554179,-0.6211327
N900_RS03950,pgm_1,5.0940332,1.093411,0.62033266,0.5413445,0.18464303,2.8490372,0.1675455,-0.11786047
N900_RS03955,VC_2094,2.7217722,2.50927,-2.9166408,-0.2570628,-1.261783,-3.3163693,1.6673309,1.1910621
N900_RS03960,Nif3-like dinuclear metal center hexameric protein,3.6703596,3.2140386,-1.6074413,-0.77106005,0.21399438,-2.1092863,-0.21747267,2.9644043
N900_RS03965,gltA,2.6200724,4.235514,-3.0017955,-1.3532618,-1.1060765,-1.7102093,0.7965438,2.8146095
N900_RS03970,sdhC,1.6790898,2.5833542,-0.85812986,-1.3494006,-2.869813,0.8535128,-0.34908703,1.0930281
N900_RS03975,sdhD,0.85467464,2.6146777,-0.9520467,-1.1722316,-0.89382625,-1.5275755,-0.5905749,0.28127238
N900_RS03980,sdhA,0.8085171,3.325794,-3.267932,-1.4752777,-0.9594629,-3.4047377,0.69411635,1.8391805
N900_RS03985,sdhB,0.37154293,2.7578678,-1.5054508,-0.59392554,0.7658825,-2.190933,-0.03402146,1.1526091
N900_RS03990,sucA,6.3584285,1.71914,0.17085457,-0.060062177,0.16853464,-0.3310532,-0.016536053,-0.23858798
N900_RS03995,odhB,6.672582,1.6362817,0.21791688,0.19190574,0.45485094,-0.49622238,0.050840475,-0.250315
N900_RS04000,sucC,0.02968062,0.9104195,-0.58500075,-0.7019691,-0.29584333,-0.3224996,1.0301275,1.1081214
N900_RS04005,sucD,0.6477594,1.1521401,-2.292522,-0.9084809,0.50390434,-1.935128,0.41533056,0.98317784
N900_RS04010,znuB,3.2182703,0.7234961,0.03277939,0.34727615,-0.7881297,0.44271767,-0.6961805,0.42843154
N900_RS04015,znuC,4.49729,2.5341449,-2.0864277,-1.4152045,-2.7483263,-0.24016616,-0.6139386,1.9313788
N900_RS04020,znuA,3.387533,2.5848637,-1.3911539,-1.3255937,-0.051804967,-1.6596842,0.717162,-0.065321274
N900_RS04025,AraC family transcriptional regulator_1,4.902068,3.6002798,-1.9073566,-0.589009,-1.9587904,-0.66636956,0.5094874,0.90233505
N900_RS04030,ferrous iron transport protein A,1.8558444,2.6485696,-3.7656038,0.033675455,0.62767494,-4.1875157,0.95973235,2.6990507
N900_RS04035,feoB,4.4663005,2.871471,-0.42721137,-1.5641038,-0.21799582,-2.722201,-0.17757262,0.81515664
N900_RS04040,feoc,4.8344,3.6803021,-1.9026688,-1.4106709,-0.80820143,-0.9127,0.84261245,1.4266928
N900_RS04045,VC_2075,1.9703481,2.6322784,-0.40148994,0.2855751,-1.2561997,0.48569047,0.967938,1.7884561
N900_RS04055,yecM,3.6544309,2.4155467,-0.05655197,-0.23263165,-1.7916912,1.373208,0.55010456,0.75357497
N900_RS04060,"peptidase, insulinase family",4.6824274,4.067044,-2.158169,-0.9116993,-0.37991002,-3.191716,0.6748448,1.4397932
N900_RS04065,sixA,1.185259,-0.7370517,0.72333074,0.7513516,-0.2880435,1.3012663,-0.37751144,-1.2444328
N900_RS04070,flhA,1.1460139,1.6927651,0.065247044,-3.7911062,-1.2248051,-0.42136076,0.4832838,-1.0678749
N900_RS04075,flhF,-1.893857,1.1997074,-0.6552485,0.2252335,1.2737546,-0.8151565,1.4942795,1.147713
N900_RS04080,MinD-related protein,3.2330744,0.5638842,0.56230557,-0.52813476,0.3522202,0.14557333,-0.08317169,-0.7363626
N900_RS04085,flia,-3.2575362,2.1214592,-1.3073757,-3.530075,-0.95279884,-1.2198805,0.769686,0.83677405
N900_RS04090,cheY3,6.517757,2.4122756,-0.44643977,-0.40312207,-0.7361275,0.1661017,-0.18055081,0.8273625
N900_RS04095,cheZ,2.3524942,1.8713394,-0.6642648,0.13771522,-1.3321956,0.9143553,1.5293121,1.0083946
N900_RS04100,cheA2,6.141746,2.7959895,-1.1305035,0.93834704,-0.521049,-0.53233796,0.10044686,1.1857889
N900_RS04105,cheB2,3.7156086,-0.063835196,-0.464592,1.4745425,-0.19072098,0.63891447,-0.4727919,0.14991659
N900_RS04110,parP,4.5035996,1.0039858,0.38069174,-1.8145416,-1.8436601,1.723868,-0.06356303,0.20770586
N900_RS04115,parC,5.598653,3.637797,-1.1306818,-0.122052446,-0.5690783,-0.8481397,-0.04595214,2.2409286
N900_RS04120,cheW1,5.843467,2.875464,-0.7236536,0.8139193,-0.44651908,-0.68160415,0.08748118,1.1566354
N900_RS04125,VC_2058,-1.5042473,1.397591,0.7673836,-2.510946,-1.4750745,1.6595199,-1.0220672,-0.27799785
N900_RS04130,ccmA,1.0317347,1.6651145,-0.6222378,-1.0201513,-1.3151977,0.8334974,0.8987123,0.37802416
N900_RS04135,ccmB,2.4269974,1.9663248,-1.0940812,-0.37520307,-0.56901807,-0.7415788,1.2617428,0.10711474
N900_RS04140,ccmC,-1.1415484,3.2513146,-1.8898556,-0.41628048,0.26097608,-2.3439205,0.7904248,2.053548
N900_RS04145,ccmD,-0.84498656,2.6522253,-1.8220903,0.5575726,0.15189122,-2.308655,1.3889004,1.6293753
N900_RS04150,ccmE_1,3.8234065,3.169166,-2.12411,-0.2801506,0.042184994,-1.894071,0.44940385,2.428898
N900_RS04155,ccmf,3.0899596,2.6511574,-3.6916642,-0.3803259,-0.46161795,-1.9837843,0.83491904,2.8623796
N900_RS04160,dsbe,1.0303859,2.8138645,-2.6042295,-1.5058522,0.875335,-3.2434387,0.8159526,2.1424537
N900_RS04165,CcmH,2.5705862,2.1522858,-0.26737687,0.11910499,0.59254694,0.6030175,-0.43406242,0.7221256
N900_RS04170,ccmI,2.7130542,2.8761692,-2.7584405,0.16758433,-0.84807396,-2.4958696,-0.2632382,1.7985121
N900_RS04175,mlaA,3.0042963,3.0277915,-1.8071265,0.73328733,-0.8967236,-2.0459673,0.24347138,0.56574845
N900_RS04180,fabG_1,3.5494425,1.3570844,-0.10221321,0.41198042,-1.5077477,2.8550482,-0.8559358,1.2023567
N900_RS04185,VC_2046,1.393805,1.4103135,-1.5415003,-1.7938865,-0.44511738,-1.5576234,-1.1081711,0.3029771
N900_RS04190,sodB,6.582161,1.6339371,0.10200249,0.13213041,0.4504613,-0.58341527,0.056274414,-0.27785665
N900_RS04195,grxD,1.3755027,3.363449,-0.249551,-1.2485807,-1.2366009,1.3338354,1.3728737,1.5182894
N900_RS04200,topB,4.203002,3.2981644,-1.8494453,-0.042637024,-0.46105623,0.9477886,0.18444896,1.6425407
N900_RS04205,acuC,3.8922637,2.9604437,-1.8293521,-0.55179,0.17295226,-0.6917182,0.13125256,3.5579312
N900_RS04225,VC0395_A1625_BLAST,-1.2307397,1.6221726,-3.880415,-0.6823333,-0.03197844,-3.7400465,0.15564096,3.0492988
N900_RS04230,yejk,1.304685,3.031632,-2.2873645,-0.88612396,-0.600075,0.036389828,1.2976534,2.6650932
N900_RS04235,sensor histidine kinase_2,2.7570095,4.0938406,0.7640832,-0.5319968,0.11447509,-1.7741015,0.85415614,-0.08887521
N900_RS04240,nhaC,0.7052147,1.4256415,-0.03783091,1.1551408,0.8822305,0.7975504,1.9145498,0.77175415
N900_RS04245,asd1,4.843317,3.2244782,-0.6571525,-0.7254754,-0.10359352,-2.0123003,-0.0013880543,1.0791003
N900_RS04250,ychE_BLAST,3.9909036,4.215173,-0.77753925,-0.59760964,-0.7114693,0.4032138,0.86760265,-0.283985
N900_RS04255,adhE,3.2231576,2.2511923,-0.85989296,-0.15531348,-0.40953064,-0.09257797,-0.52985454,0.55220455
N900_RS04260,eamA_4,5.961762,3.6252768,-1.3656349,-0.6965684,-1.1390609,-0.44130486,0.2365624,0.4942544
N900_RS04265,SulP family inorganic anion transporter_1,1.4590253,1.0648775,1.0641946,1.180745,0.5236721,3.0451155,-0.9569211,-0.98202235
N900_RS04270,rne,5.634186,0.92617506,0.19748226,-1.1395936,0.3292683,-0.1680499,-0.04940326,-0.34931114
N900_RS04275,VC_2373,-3.433396,2.2095997,-1.5532753,-0.6246721,-0.94837666,-2.399659,0.6120633,0.92944914
N900_RS04285,rluC,4.9162464,1.807543,-0.42854643,-0.5902098,-0.16319875,2.0633905,-0.16029662,0.12954605
N900_RS04290,yceF,0.83590555,0.84504366,-0.25892416,0.7847583,0.70061326,-0.41206285,1.3337774,0.8532587
N900_RS04295,yceD,5.6746397,1.5005294,0.45763764,-1.4195638,-0.09994373,-0.20785497,0.15686303,-0.43628547
N900_RS04300,rpmF,3.1362996,1.2163417,0.22184786,-2.183677,-0.008101314,-0.38383615,0.10197521,-0.09599676
N900_RS04305,plsX,6.2710123,1.3797203,0.2486811,-0.19440201,0.29225707,-0.31114674,-0.007208515,-0.28940088
N900_RS04310,fabH1,6.617276,1.4945422,0.2743116,-0.25160745,0.455075,-0.36340615,0.043889172,-0.37973046
N900_RS04330,fabF,3.1317244,2.2440581,-1.8090317,-1.5873958,-2.1835442,-0.90824705,-0.24691439,0.24594837
N900_RS04335,pabC,2.5240207,1.1869496,-0.18121907,0.04370998,-0.94050443,-1.1362997,-1.4029595,0.4916948
N900_RS04340,mltG,4.7429,3.9423788,-2.1885602,-1.5491267,-0.79175925,-1.0299889,0.7830704,1.2544525
N900_RS04350,holB,6.511351,1.7022959,0.16935757,0.26937535,0.3894892,-0.43399104,0.051434852,-0.24650621
N900_RS04355,ycfH,5.6260304,3.4501555,-1.1324887,0.45997784,-0.45635453,-2.042618,0.108599134,1.459717
N900_RS04360,ptsG,4.1888604,3.8250418,-0.23740637,-0.24991909,-1.3130265,-0.09714077,0.66424525,-0.20461738
N900_RS04365,sodium-dependent transporter_1,1.0419096,2.5390346,-2.7396452,-2.4313354,-0.8500477,-3.2707968,-0.030107915,1.4241947
N900_RS04370,VC_2011,1.1288455,1.195212,-0.9692816,-0.5345994,-0.16497858,0.9265324,0.08835832,0.29940128
N900_RS04375,VC_2009,1.6132582,2.42829,-4.0012655,-1.147368,-1.8131615,-2.7705438,0.61810553,2.5890799
N900_RS04380,pykA_1,2.0520322,3.5460885,-4.082346,-0.35496637,-0.5081464,-2.303172,1.126176,3.1103
N900_RS04385,mlc,2.9209983,2.9674418,-0.7896101,0.2522888,0.4242951,-2.5547092,-0.4310525,0.8408949
N900_RS04390,chev_2,3.9448783,3.049271,-0.28740683,-0.0011983961,-0.047101207,-2.1090534,-0.54351425,0.6588376
N900_RS04395,VC_2005,3.4795291,1.7082385,-1.2199383,-2.8594081,-1.1614763,-2.4979293,-0.55841047,1.0156813
N900_RS04400,ChaN family lipoprotein,4.940555,3.7860136,-1.5424385,0.59798044,-0.3285041,-2.7758873,0.30852076,1.6429071
N900_RS04405,rlmA,1.8288769,1.7964162,-3.4830775,0.37501663,1.1508378,-2.5136268,0.7748605,2.808337
N900_RS04410,VC_2002,2.8374617,2.2271795,-3.1221101,-1.0742756,-0.26946974,-3.44827,0.56284195,0.45516744
N900_RS04415,yeaD,3.2921402,2.8250415,-3.1469693,-1.6592903,-1.5040762,-2.1943932,0.07154795,1.9658562
N900_RS04425,msrB_2,3.9300196,3.5651648,-3.1753695,-0.17420766,0.25504118,-2.2430408,0.78124183,2.5521905
N900_RS04430,VC_1997,4.247106,3.3699408,-3.1176286,-0.9042325,-1.6242472,-1.5908703,0.4902111,2.8717842
N900_RS04435,VC_1996,4.6633797,3.3488767,-1.2604632,-0.4792954,0.18809536,-3.6085165,0.2966509,1.3475455
N900_RS04440,ansA,3.1204934,3.3870347,-2.1658697,-0.9886557,-0.64235044,-2.3752882,1.134865,1.038522
N900_RS04445,sppA,2.880493,3.6886277,-3.742451,1.1190182,0.2800833,-2.8729482,0.89056414,3.1259327
N900_RS04450,fadH,5.33281,3.3092554,-1.5628569,-0.5306423,-0.22023332,-3.3853166,0.752049,1.1837382
N900_RS04455,purU,4.17252,2.2120442,0.031936612,-0.6346337,0.23701432,-1.2790818,0.93640774,0.48581085
N900_RS04465,ATP-dependent DNA helicase,2.2308118,4.012118,-2.470635,-1.9749993,-1.0410181,-1.6795964,1.4652141,2.2687197
N900_RS04480,starvation lipoprotein Slp,3.0936165,2.8254585,-1.6281244,-1.0791829,-0.13983595,-3.4680998,0.5351762,2.6259105
N900_RS04485,menH_1,3.8927937,1.265535,-2.089521,-0.747083,-0.86586726,-0.29341444,-0.082900725,1.7671126
N900_RS04490,fadD,3.698172,2.9371488,-0.43904445,-0.7990373,-0.46543086,-2.6312072,1.4913964,0.5616208
N900_RS04495,rnd,2.1571577,2.9439,-1.306703,-1.9654857,0.34670514,0.14638415,1.5908356,1.9675362
N900_RS04500,peptidase_1,4.188232,1.630824,-2.0459116,-0.6308814,-0.034840234,-0.977055,0.29227176,2.1646614
N900_RS04505,rrtA,6.4783998,1.8844101,-0.053862512,0.10530274,0.3613604,-0.6924085,0.112143435,-0.13900337
N900_RS04510,VC_1980,1.5300031,1.1767925,-0.00719817,-2.8281777,-0.19833118,2.9246604,0.1236772,0.24895597
N900_RS04515,dgt,1.8038714,2.8792927,-1.5136299,-0.20439881,-0.13314211,1.2711908,0.8376324,2.2528355
N900_RS04520,yfbR,3.9550335,2.3184948,-2.3551562,-1.1799176,-1.4726821,0.10553134,-0.45835453,1.8930291
N900_RS04525,alaA,0.979121,0.69607073,0.36467838,-0.07180848,-1.1447529,-0.34128028,-0.60631114,-0.23745072
N900_RS04530,menf,3.0725853,3.6891732,-2.725826,-0.29047796,-1.4348927,-1.6097528,0.03287778,2.070007
N900_RS04535,menD,4.5285907,3.9687908,-2.6774385,-1.3662032,-0.53489244,-0.835601,0.60097015,1.9179418
N900_RS04540,menH,4.5722013,3.5027604,-1.0736481,-0.1087383,-0.7657453,-0.0797193,0.65960413,-0.0055469424
N900_RS04545,menB,0.93951404,2.0624857,-0.8060119,-1.087643,-2.1259315,-0.7542017,-0.45423615,0.5439583
N900_RS04550,menC,3.0568953,3.9482,0.031706493,0.6790809,-0.27726215,-1.4993315,0.5465884,0.24993107
N900_RS04555,menE,3.6992757,3.0858064,-0.6524474,-0.874091,-0.038205057,-2.0757828,0.32693586,0.96071804
N900_RS04560,ydcO,2.221468,3.092507,-1.4708978,-0.30305794,-0.023219407,0.059818722,1.2529614,1.4474008
N900_RS04565,sutR,2.9794674,3.7435837,-4.3346324,-0.30942258,-2.451939,-3.415661,0.6740844,2.9546304
N900_RS04570,methyl-accepting chemotaxis protein_1,2.5891001,2.5118563,-3.246769,-0.58527035,-2.0201614,-3.9129262,0.38173053,0.65115136
N900_RS04580,lplT,2.570577,1.7058504,-1.8669733,-0.07298292,-0.30808917,-1.6616946,-0.13797127,-0.47369495
N900_RS04585,TetR/AcrR family transcriptional regulator_4,2.8041637,4.2008433,-0.0041699633,-1.5655203,-1.5575646,0.9962769,0.13638255,0.5245563
N900_RS04590,VC_1964,2.4782662,2.04863,-2.344377,-1.2001317,-0.16456866,-1.2055618,-0.0994511,1.475556
N900_RS04595,VC_1963,2.7633498,1.8211633,0.1748592,-0.74248314,-1.8370051,1.8564122,-0.7891398,0.6882833
N900_RS04600,nlpE_1,1.4343963,0.95885247,-0.42440093,1.3088381,-1.7595942,-1.3646204,-0.27286828,-1.395558
N900_RS04605,minE,2.174281,0.26169056,0.2124852,-3.6242793,0.20868069,0.032455996,0.12381465,-0.22522694
N900_RS04610,minD,3.1674674,2.416857,-2.6872187,-0.6460683,-1.5178034,-3.0144308,1.4613528,0.8734066
N900_RS04615,minC,3.0439272,0.7171088,-1.1232697,-1.5185211,0.3290101,-0.28249997,-0.14373422,2.1347816
N900_RS04620,VC_1957_BLAST,3.8969648,2.3465,0.35755712,-1.9157668,-1.6665864,0.5680467,-1.2182211,1.2914624
N900_RS04625,lytic murein transglycosylase,3.2007594,2.7631502,-2.9670603,0.44785428,-0.98778045,-1.5203375,1.3706821,0.50281674
N900_RS04630,lysr_2,4.6379204,3.4265413,-1.9850878,-0.6070687,-0.6307647,-2.2213924,0.48649678,1.0209284
N900_RS04635,NupC/NupG family nucleoside CNT transporter,3.3134344,3.2390485,-1.9877831,-0.8632766,0.5029043,-2.6406763,0.47425696,2.810297
N900_RS04640,chitinase_2,5.9890885,3.1758687,-1.0533458,-0.36622614,-0.15574628,-1.2862463,0.6013602,1.3649805
N900_RS04645,cytochrome c_1,1.0197877,3.8379414,-0.88327706,-1.8435234,-0.31567466,-0.8672519,1.3213491,1.4438992
N900_RS04650,torZ,5.0135674,3.121283,-0.53801495,0.034431428,-0.4422767,0.15434587,-0.37586975,0.6590789
N900_RS04655,pvcA,1.4004338,-0.6391682,-1.3619486,-0.25245124,1.3701816,0.5352338,0.50264853,0.52316153
N900_RS04660,LysR family transcriptional regulator_2,2.975944,2.5327737,-2.4771593,-1.5572103,-1.4965267,-1.8699793,-0.3584836,1.2218338
N900_RS04665,mhpA,3.1006753,1.0160875,-2.3464715,-0.7760697,-0.5565089,-1.656573,0.8613733,0.45994237
N900_RS04670,TauD/TfdA family dioxygenase,4.864384,3.322918,-1.9922799,-0.51378566,0.19781858,-2.267163,0.18433604,0.9087741
N900_RS04675,folD,6.2691474,1.4561093,0.45772132,-0.177616,0.35907328,-0.2748016,0.081803925,-0.5201239
N900_RS04685,opgC,2.8289473,2.803844,-3.6386473,-0.50694895,-0.9433547,-1.7402949,0.45710018,2.0744483
N900_RS04690,HAD-IB family hydrolase,4.4527164,2.365866,0.4217108,-0.35511765,0.3409658,-1.3702614,-0.07577947,-0.18734387
N900_RS04695,lyse_1,3.0659802,2.2011876,-0.980025,-1.0239823,0.6891445,-3.383176,0.36135724,1.0757498
N900_RS04700,acyl-CoA thioesterase,1.237474,2.6645014,-2.0344808,-0.253025,-0.5645834,0.18389633,0.797744,2.085119
N900_RS04705,1-acyl-sn-glycerol-3-phosphate acyltransferase,3.957092,2.936659,-1.7526605,-0.8652937,-0.27008557,-3.1461103,-0.39157215,-0.42261437
N900_RS04715,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase-related protein,2.5686903,2.0405688,-2.1994996,0.0066048168,0.469386,-1.0178185,-0.11847472,1.5704771
N900_RS04720,bifunctional diguanylate cyclase/phosphodiesterase_2,2.7532108,2.3815846,-2.5105865,-0.9486344,0.5246228,-3.0741982,1.130381,0.617713
N900_RS04725,VC_1933,-0.08250484,0.54957277,0.11424899,-0.06346447,-0.28344482,0.96782285,0.12736747,0.15074694
N900_RS04730,VC_1932,2.8762772,0.8066223,-2.8117962,-0.20052299,-0.6306683,-2.1415446,0.969518,1.6938541
N900_RS04735,ydiU_BLAST,2.7108042,2.7775009,-0.28694683,-1.7867969,-0.8084475,0.7132993,1.8788362,1.8057128
N900_RS04740,dctp,2.6014767,0.5323917,-1.0688357,1.6441116,-0.31735158,0.6689152,-1.1380967,0.75015545
N900_RS04745,TRAP transporter small permease,1.1634904,2.2454627,-3.722513,-0.42321777,-1.182883,-3.506504,0.027779453,1.7215964
N900_RS04750,dctM_1,3.8870087,1.8904186,-1.5204662,0.14492324,-1.227253,-2.4043074,0.19508407,3.5961263
N900_RS04755,dctD,4.524124,2.9778373,-2.0125353,-1.2655115,0.028642967,-1.2604505,0.591711,0.30611226
N900_RS04760,dctB,1.6594397,1.762804,-4.1196814,-0.98698133,-0.116588846,-2.830071,0.8145004,2.448216
N900_RS04765,VC_1924,3.029166,2.8729556,-1.1510297,-1.4291209,-1.3270869,-0.27530685,0.5787113,1.6346229
N900_RS04770,tig,2.003011,3.462479,-0.057115294,-1.6286867,-1.3342452,1.1725287,0.594942,0.46486953
N900_RS04775,clpP,5.9194055,1.0753136,-1.4137384,-0.81750655,0.35282484,-1.8032767,-0.14828566,0.4355125
N900_RS04780,clpx,6.487159,1.5924817,0.22151026,-0.2903184,0.35105973,-0.31787485,0.054750018,-0.3134649
N900_RS04785,lon_1,3.1929803,2.9584396,-2.58563,-1.4303474,0.45570496,-1.6103724,0.22336021,1.3971071
N900_RS04795,ppiD,0.8288927,1.9280491,-1.0954541,-2.5665674,1.0874169,0.490195,1.2172862,1.2781811
N900_RS04800,ComEA family DNA-binding protein,3.8469725,3.1684313,-0.8656341,0.47046232,-1.1203132,-0.2250098,0.862387,2.4451973
N900_RS04815,ihfB,6.092539,1.0985421,0.25178528,-0.54922485,0.4750246,-0.22590476,0.010450736,-0.42880806
N900_RS04820,lapa,4.564638,2.8791485,-0.92265224,-1.4861666,-1.7691255,-0.53706545,-0.005772479,0.5520825
N900_RS04830,pyrF,4.7122855,1.409118,0.21564206,-1.9664372,-0.29047048,0.11242051,-0.4069955,0.8391247
N900_RS04835,MiaE,4.498744,2.6219573,-1.1912385,-0.97538006,0.5245571,-2.497909,0.48532972,1.4663314
N900_RS04840,motV,5.571872,2.8288426,-0.6465985,1.6824493,-0.6089685,-1.1632674,0.03586085,0.6501731
N900_RS04845,cysB,6.4247,2.0573516,-0.044312887,0.24244913,0.24533859,-0.7473907,0.048184477,-0.1105142
N900_RS04850,methyltransferase,1.000744,0.2691376,0.1335446,-2.9815285,-1.5963389,1.2549024,0.3468301,0.77407116
N900_RS04855,ald,2.6718109,1.5085801,-4.0666494,-0.61722445,-1.5932585,-2.931733,0.47273794,2.826341
N900_RS04860,lrp_1,6.7132254,1.6798378,0.13204521,0.10065242,0.42614904,-0.50341773,0.07154446,-0.26565683
N900_RS04870,dsbB,4.071554,3.3316875,-3.0603912,-2.2132404,-0.6877179,-2.2549436,0.4805136,1.0894784
N900_RS04875,nhaB,2.1917236,1.4962789,-3.248124,0.5556844,-1.0057162,-0.77742964,0.41505125,2.5465848
N900_RS04880,fadR,3.0737827,3.1688168,-1.1312973,-1.9783747,0.32383552,-0.9660438,0.558396,0.8576842
N900_RS04885,VC_1899,4.7124057,1.9180822,-1.0859329,0.57745063,0.8152628,-1.3559952,0.45418498,2.467335
N900_RS04890,methyl-accepting chemotaxis protein_3,3.1786134,-0.15335076,1.2500633,-0.57239324,-0.46189934,2.5182095,0.3878189,-0.36471114
N900_RS04895,hinT,-2.3898911,-1.0505247,-0.36650443,2.4288237,0.8794596,-0.90879244,0.23727307,0.16441026
N900_RS04900,VC_1896,2.3244174,3.1464016,-0.9000735,-0.14712048,-1.0301461,1.4423438,0.4393907,0.949002
N900_RS04905,VC_1895,4.8405614,2.775147,-1.5879487,-0.71738124,-0.8508326,-2.4698968,0.58691436,2.4579866
N900_RS04910,lpoB,1.8385817,2.3062875,-3.01889,-0.35176355,0.18751219,-3.0548668,1.044281,2.5395436
N900_RS04915,thiK,2.9733906,2.6049829,-1.6746445,-0.18521592,-1.9526759,-1.008251,0.5820826,0.78340214
N900_RS04920,ycfP,1.5394694,2.709151,-1.7329569,-0.015359828,-2.0231159,-1.9008697,-0.41886234,0.9199133
N900_RS04925,ndh,3.663504,3.0658457,-1.0358864,0.095409326,0.51515913,-0.92236876,-0.19683781,0.12259277
N900_RS04930,rimL,1.214046,1.4552832,-1.7299178,-0.0737807,-0.17985481,-0.568321,0.47341278,2.2369895
N900_RS04935,hemolysin_2,2.1316133,4.0952935,-2.6155407,-0.6491784,-2.5405385,-0.9850342,0.22018483,1.9519497
N900_RS04940,VC_1887,6.168322,1.5119807,0.07630439,-0.86684334,0.5732839,-0.5175288,0.12840223,-0.25277066
N900_RS04945,mfd,0.06318592,0.8536219,1.6177695,-3.0777957,-0.3443189,2.9490483,-0.09619172,-1.0700728
N900_RS04950,pilz_2,0.6668209,1.8524089,-1.5847423,-3.4367583,-3.0047808,-0.37461674,-0.50473094,1.0092804
N900_RS04970,VC_1880,3.584499,1.6527512,-0.21293706,-1.7959411,-0.5071622,0.27669126,0.57964253,-1.3085907
N900_RS04975,DNA internalization-related competence protein ComEC/Rec2,3.5092738,1.9021477,-2.3976073,-0.21085936,0.0989691,-0.9097712,0.2391572,3.5094562
N900_RS04990,VC0395_A1467_BLAST,3.4856935,-0.8527439,1.175529,-1.5078672,0.4972414,0.58974725,-0.30323827,-1.1812905
N900_RS05000,ycgB_BLAST,4.145822,2.507523,-2.706196,-0.61961603,-0.33927488,-1.766311,1.3701808,3.6945834
N900_RS05005,yeah,4.7480173,3.1461096,-2.3234622,0.13343036,-1.0124087,-0.9166652,0.82905775,2.3931367
N900_RS05010,yeaG_BLAST,2.8338802,2.8902047,0.5078211,-1.3386939,-0.40616375,1.755572,-0.6071779,0.3805131
N900_RS05015,yfbu,1.3435488,0.5916578,1.2456372,0.76905805,1.3105357,1.4723836,-0.30320102,1.7483071
N900_RS05020,membrane protein_3,1.1557605,1.6110541,-2.5096855,-1.1680833,-0.04238416,-2.6794822,-0.4950648,0.8885765
N900_RS05025,pflA,1.0207177,0.8289391,-1.568937,0.05771251,-2.419774,0.41043955,-0.70121634,0.26216024
N900_RS05030,methyl-accepting chemotaxis protein_7,3.908714,2.8429177,-2.7113762,1.7955303,0.21695271,-2.1393862,0.53338265,1.0728445
N900_RS05035,lpxR,4.5260386,3.6223292,-1.2864715,0.6017466,-0.64865875,-1.8564091,0.3727798,1.1518426
N900_RS05040,pflB,2.5667064,-0.13566327,-0.50659883,0.75864595,0.79238546,-2.6031837,-0.63012016,0.7903378
N900_RS05045,VC_1865,2.223712,2.56111,-0.9190053,0.8403709,0.9895203,0.27909663,1.3276865,1.2070627
N900_RS05050,occP,1.6326741,1.6494582,-1.1703345,-0.33869824,-2.4032726,-0.2653804,0.14860603,0.37338197
N900_RS05055,argT,6.0645227,3.071533,-0.53203696,-0.25388935,-0.08105406,-1.1507673,0.02321677,0.8865969
N900_RS05060,hisQ,3.9308116,2.663976,-1.9357618,-0.8349024,0.21600693,-1.943889,0.6049452,0.26950637
