Model,Rank,Program,Time,Space,Value,Requested_rank
PCA,10,PC1,1h,st,0.0014188885755935,6
PCA,10,PC1,1h,SI1,0.6352595715396835,6
PCA,10,PC1,1h,SI2,-0.1499479198212338,6
PCA,10,PC1,1h,SI3,-0.7051152524446802,6
PCA,10,PC1,1h,SI4,-0.8505379156377997,6
PCA,10,PC1,1h,SI5,-0.9249141140593282,6
PCA,10,PC1,1h,SI6,-0.9660468893425526,6
PCA,10,PC1,1h,SI7,-0.8938967439015617,6
PCA,10,PC1,1h,SI8,-0.8633925737000834,6
PCA,10,PC1,1h,SI9,-0.6954921881402194,6
PCA,10,PC1,1h,ce,0.0372157832271869,6
PCA,10,PC1,1h,co,0.1427549978715273,6
PCA,10,PC1,3h,st,0.3583928077866459,6
PCA,10,PC1,3h,SI1,1.413369777184731,6
PCA,10,PC1,3h,SI2,1.3822606098079246,6
PCA,10,PC1,3h,SI3,1.3632421176407474,6
PCA,10,PC1,3h,SI4,1.1358973266459376,6
PCA,10,PC1,3h,SI5,1.1798689824679416,6
PCA,10,PC1,3h,SI6,0.1246091232133697,6
PCA,10,PC1,3h,SI7,0.2425411902491444,6
PCA,10,PC1,3h,SI8,0.0936049503062583,6
PCA,10,PC1,3h,SI9,-0.0530293080862068,6
PCA,10,PC1,3h,ce,-0.7237235816434522,6
PCA,10,PC1,3h,co,-0.810990899794297,6
PCA,10,PC1,6h,st,0.4999326085572768,6
PCA,10,PC1,6h,SI1,1.1169829077599474,6
PCA,10,PC1,6h,SI2,1.4033571210670317,6
PCA,10,PC1,6h,SI3,1.4016330241761226,6
PCA,10,PC1,6h,SI4,1.346742126233821,6
PCA,10,PC1,6h,SI5,0.4867973050942246,6
PCA,10,PC1,6h,SI6,-0.6253955239407365,6
PCA,10,PC1,6h,SI7,-0.7148684485051171,6
PCA,10,PC1,6h,SI8,-0.6393840059842055,6
PCA,10,PC1,6h,SI9,-0.6968989724321479,6
PCA,10,PC1,6h,ce,-0.2507666038030498,6
PCA,10,PC1,6h,co,-0.5137431824669247,6
PCA,10,PC1,12h,st,0.2844938293761437,6
PCA,10,PC1,12h,SI1,1.395599762428187,6
PCA,10,PC1,12h,SI2,1.3432675509484269,6
PCA,10,PC1,12h,SI3,1.113667575046009,6
PCA,10,PC1,12h,SI4,0.4032377791037874,6
PCA,10,PC1,12h,SI5,-0.4295880833868826,6
PCA,10,PC1,12h,SI6,-0.7272644914412737,6
PCA,10,PC1,12h,SI7,-0.8131624449004536,6
PCA,10,PC1,12h,SI8,-0.5837612241026043,6
PCA,10,PC1,12h,SI9,-0.6459003426072047,6
PCA,10,PC1,12h,ce,-0.4568201330949941,6
PCA,10,PC1,12h,co,-0.5374444264777755,6
PCA,10,PC1,24h,st,0.1585200267073536,6
