Model,Rank,Program,Time,Space,Value,Requested_rank
CP,10,CP1,24h,SI7,-0.0435929152051557,4
CP,10,CP1,24h,SI8,-0.0356570737829253,4
CP,10,CP1,24h,SI9,-0.0330047737025983,4
CP,10,CP1,24h,ce,-0.0261754139019161,4
CP,10,CP1,24h,co,-0.0229415027352798,4
VAE,10,VAE1,1h,st,-0.0866248235106468,4
VAE,10,VAE1,1h,SI1,0.006779134273529,4
VAE,10,VAE1,1h,SI2,-0.0238719768822193,4
VAE,10,VAE1,1h,SI3,-0.0275807976722717,4
VAE,10,VAE1,1h,SI4,-0.0145439505577087,4
VAE,10,VAE1,1h,SI5,-0.0305772423744201,4
VAE,10,VAE1,1h,SI6,-0.0386187434196472,4
VAE,10,VAE1,1h,SI7,-0.0131158828735351,4
VAE,10,VAE1,1h,SI8,-0.0522310137748718,4
VAE,10,VAE1,1h,SI9,-0.0487549602985382,4
VAE,10,VAE1,1h,ce,-0.0262136459350585,4
VAE,10,VAE1,1h,co,-0.0223386883735656,4
VAE,10,VAE1,3h,st,-0.1137933582067489,4
VAE,10,VAE1,3h,SI1,0.091382086277008,4
VAE,10,VAE1,3h,SI2,0.0152189135551452,4
VAE,10,VAE1,3h,SI3,-0.0359326601028442,4
VAE,10,VAE1,3h,SI4,0.0362125635147094,4
VAE,10,VAE1,3h,SI5,0.0609353780746459,4
VAE,10,VAE1,3h,SI6,0.0389963686466217,4
VAE,10,VAE1,3h,SI7,0.0337461233139038,4
VAE,10,VAE1,3h,SI8,-0.000204399228096,4
VAE,10,VAE1,3h,SI9,-0.0406164601445198,4
VAE,10,VAE1,3h,ce,-0.0207009613513946,4
VAE,10,VAE1,3h,co,-0.0422625839710235,4
VAE,10,VAE1,6h,st,-0.0577945858240127,4
VAE,10,VAE1,6h,SI1,0.0153931379318237,4
VAE,10,VAE1,6h,SI2,0.0040894746780395,4
VAE,10,VAE1,6h,SI3,-0.0015455484390258,4
VAE,10,VAE1,6h,SI4,0.0798786878585815,4
VAE,10,VAE1,6h,SI5,0.0745840966701507,4
VAE,10,VAE1,6h,SI6,0.0298443138599395,4
VAE,10,VAE1,6h,SI7,0.0269343256950378,4
VAE,10,VAE1,6h,SI8,0.00625541806221,4
VAE,10,VAE1,6h,SI9,0.0205958485603332,4
VAE,10,VAE1,6h,ce,0.0667992681264877,4
VAE,10,VAE1,6h,co,0.0277512520551681,4
VAE,10,VAE1,12h,st,-0.0854242891073226,4
VAE,10,VAE1,12h,SI1,0.0065711736679077,4
VAE,10,VAE1,12h,SI2,0.0381177067756652,4
VAE,10,VAE1,12h,SI3,0.0118666887283325,4
VAE,10,VAE1,12h,SI4,0.0406217128038406,4
VAE,10,VAE1,12h,SI5,0.0266030430793762,4
VAE,10,VAE1,12h,SI6,0.0175963640213012,4
VAE,10,VAE1,12h,SI7,0.0005058050155639,4
VAE,10,VAE1,12h,SI8,0.0269337892532348,4
VAE,10,VAE1,12h,SI9,0.028369128704071,4
VAE,10,VAE1,12h,ce,0.0141260027885437,4
VAE,10,VAE1,12h,co,0.0031193196773529,4
VAE,10,VAE1,24h,st,-0.008195161819458,4
VAE,10,VAE1,24h,SI1,0.002468891441822,4
VAE,10,VAE1,24h,SI2,-0.0012495517730712,4
VAE,10,VAE1,24h,SI3,0.0016501545906066,4
VAE,10,VAE1,24h,SI4,-0.0049097537994384,4
VAE,10,VAE1,24h,SI5,0.0034508407115936,4
VAE,10,VAE1,24h,SI6,0.0077490210533142,4
VAE,10,VAE1,24h,SI7,0.0011890232563018,4
VAE,10,VAE1,24h,SI8,-0.0161422789096832,4
VAE,10,VAE1,24h,SI9,0.0014634728431701,4
VAE,10,VAE1,24h,ce,-0.0163569450378417,4
VAE,10,VAE1,24h,co,-0.0012235939502716,4
weighted_CPVAE,10,CPVAE1,1h,st,-0.0705973953008651,4
weighted_CPVAE,10,CPVAE1,1h,SI1,-0.0957277342677116,4
weighted_CPVAE,10,CPVAE1,1h,SI2,-0.0728497430682182,4
weighted_CPVAE,10,CPVAE1,1h,SI3,-0.0342803969979286,4
weighted_CPVAE,10,CPVAE1,1h,SI4,-0.0617671534419059,4
weighted_CPVAE,10,CPVAE1,1h,SI5,-0.0575726926326751,4
weighted_CPVAE,10,CPVAE1,1h,SI6,-0.038183569908142,4
weighted_CPVAE,10,CPVAE1,1h,SI7,-0.0455694086849689,4
weighted_CPVAE,10,CPVAE1,1h,SI8,-0.0293011255562305,4
weighted_CPVAE,10,CPVAE1,1h,SI9,-0.0357569195330143,4
weighted_CPVAE,10,CPVAE1,1h,ce,-0.0556652285158634,4
weighted_CPVAE,10,CPVAE1,1h,co,-0.0394787974655628,4
weighted_CPVAE,10,CPVAE1,3h,st,-0.0587570518255233,4
weighted_CPVAE,10,CPVAE1,3h,SI1,-0.0796726197004318,4
weighted_CPVAE,10,CPVAE1,3h,SI2,-0.0606316439807415,4
weighted_CPVAE,10,CPVAE1,3h,SI3,-0.0285310111939907,4
weighted_CPVAE,10,CPVAE1,3h,SI4,-0.0514077842235565,4
weighted_CPVAE,10,CPVAE1,3h,SI5,-0.0479168072342872,4
weighted_CPVAE,10,CPVAE1,3h,SI6,-0.0317795574665069,4
weighted_CPVAE,10,CPVAE1,3h,SI7,-0.0379266664385795,4
weighted_CPVAE,10,CPVAE1,3h,SI8,-0.0243868436664342,4
weighted_CPVAE,10,CPVAE1,3h,SI9,-0.0297598969191312,4
weighted_CPVAE,10,CPVAE1,3h,ce,-0.0463292524218559,4
weighted_CPVAE,10,CPVAE1,3h,co,-0.0328575521707534,4
weighted_CPVAE,10,CPVAE1,6h,st,0.0116925630718469,4
weighted_CPVAE,10,CPVAE1,6h,SI1,0.0158547293394804,4
weighted_CPVAE,10,CPVAE1,6h,SI2,0.0120656043291091,4
weighted_CPVAE,10,CPVAE1,6h,SI3,0.0056776273995637,4
weighted_CPVAE,10,CPVAE1,6h,SI4,0.0102300709113478,4
weighted_CPVAE,10,CPVAE1,6h,SI5,0.00953537132591,4
weighted_CPVAE,10,CPVAE1,6h,SI6,0.0063240830786526,4
