Model,Rank,Program,Time,Space,Value,Requested_rank
PCA,10,PC1,1h,st,0.0014188885755935,9
PCA,10,PC1,1h,SI1,0.6352595715396835,9
PCA,10,PC1,1h,SI2,-0.1499479198212338,9
PCA,10,PC1,1h,SI3,-0.7051152524446802,9
PCA,10,PC1,1h,SI4,-0.8505379156377997,9
PCA,10,PC1,1h,SI5,-0.9249141140593282,9
PCA,10,PC1,1h,SI6,-0.9660468893425526,9
PCA,10,PC1,1h,SI7,-0.8938967439015617,9
PCA,10,PC1,1h,SI8,-0.8633925737000834,9
PCA,10,PC1,1h,SI9,-0.6954921881402194,9
PCA,10,PC1,1h,ce,0.0372157832271869,9
PCA,10,PC1,1h,co,0.1427549978715273,9
PCA,10,PC1,3h,st,0.3583928077866459,9
PCA,10,PC1,3h,SI1,1.413369777184731,9
PCA,10,PC1,3h,SI2,1.3822606098079246,9
PCA,10,PC1,3h,SI3,1.3632421176407474,9
PCA,10,PC1,3h,SI4,1.1358973266459376,9
PCA,10,PC1,3h,SI5,1.1798689824679416,9
PCA,10,PC1,3h,SI6,0.1246091232133697,9
PCA,10,PC1,3h,SI7,0.2425411902491444,9
PCA,10,PC1,3h,SI8,0.0936049503062583,9
PCA,10,PC1,3h,SI9,-0.0530293080862068,9
PCA,10,PC1,3h,ce,-0.7237235816434522,9
PCA,10,PC1,3h,co,-0.810990899794297,9
PCA,10,PC1,6h,st,0.4999326085572768,9
PCA,10,PC1,6h,SI1,1.1169829077599474,9
PCA,10,PC1,6h,SI2,1.4033571210670317,9
PCA,10,PC1,6h,SI3,1.4016330241761226,9
PCA,10,PC1,6h,SI4,1.346742126233821,9
PCA,10,PC1,6h,SI5,0.4867973050942246,9
PCA,10,PC1,6h,SI6,-0.6253955239407365,9
PCA,10,PC1,6h,SI7,-0.7148684485051171,9
PCA,10,PC1,6h,SI8,-0.6393840059842055,9
PCA,10,PC1,6h,SI9,-0.6968989724321479,9
PCA,10,PC1,6h,ce,-0.2507666038030498,9
PCA,10,PC1,6h,co,-0.5137431824669247,9
PCA,10,PC1,12h,st,0.2844938293761437,9
PCA,10,PC1,12h,SI1,1.395599762428187,9
PCA,10,PC1,12h,SI2,1.3432675509484269,9
PCA,10,PC1,12h,SI3,1.113667575046009,9
PCA,10,PC1,12h,SI4,0.4032377791037874,9
PCA,10,PC1,12h,SI5,-0.4295880833868826,9
PCA,10,PC1,12h,SI6,-0.7272644914412737,9
PCA,10,PC1,12h,SI7,-0.8131624449004536,9
PCA,10,PC1,12h,SI8,-0.5837612241026043,9
PCA,10,PC1,12h,SI9,-0.6459003426072047,9
PCA,10,PC1,12h,ce,-0.4568201330949941,9
PCA,10,PC1,12h,co,-0.5374444264777755,9
PCA,10,PC1,24h,st,0.1585200267073536,9
PCA,10,PC1,24h,SI1,0.2625032942592638,9
PCA,10,PC1,24h,SI2,-0.0357143429165126,9
PCA,10,PC1,24h,SI3,-0.1368841281790396,9
PCA,10,PC1,24h,SI4,-0.339045179275614,9
PCA,10,PC1,24h,SI5,-0.4241859336250472,9
PCA,10,PC1,24h,SI6,-0.5146821539828991,9
PCA,10,PC1,24h,SI7,-0.5646686136400146,9
PCA,10,PC1,24h,SI8,-0.5719128770057188,9
PCA,10,PC1,24h,SI9,-0.4858492281659724,9
PCA,10,PC1,24h,ce,-0.532043458564394,9
PCA,10,PC1,24h,co,-0.4500998522042895,9
CP,10,CP1,1h,st,0.0156884299029289,9
CP,10,CP1,1h,SI1,0.0148233990977139,9
CP,10,CP1,1h,SI2,0.0118443733274861,9
CP,10,CP1,1h,SI3,0.0131104591083009,9
CP,10,CP1,1h,SI4,0.0030304884662523,9
CP,10,CP1,1h,SI5,-0.0046123482662561,9
CP,10,CP1,1h,SI6,-0.0114645451724564,9
CP,10,CP1,1h,SI7,-0.0112015155298874,9
CP,10,CP1,1h,SI8,-0.0091623435562882,9
CP,10,CP1,1h,SI9,-0.0084808158263834,9
CP,10,CP1,1h,ce,-0.0067259623253841,9
CP,10,CP1,1h,co,-0.0058949854112486,9
CP,10,CP1,3h,st,0.2646273887940125,9
CP,10,CP1,3h,SI1,0.2500363274432725,9
CP,10,CP1,3h,SI2,0.199787079073409,9
CP,10,CP1,3h,SI3,0.2211430067372539,9
CP,10,CP1,3h,SI4,0.0511173045713782,9
CP,10,CP1,3h,SI5,-0.0777996068096064,9
CP,10,CP1,3h,SI6,-0.19338025994123,9
CP,10,CP1,3h,SI7,-0.1889435605443397,9
CP,10,CP1,3h,SI8,-0.1545474636745867,9
CP,10,CP1,3h,SI9,-0.1430516731671018,9
CP,10,CP1,3h,ce,-0.1134513688307984,9
CP,10,CP1,3h,co,-0.0994347175599952,9
CP,10,CP1,6h,st,0.2576756147839071,9
CP,10,CP1,6h,SI1,0.2434678613044354,9
CP,10,CP1,6h,SI2,0.194538663064065,9
CP,10,CP1,6h,SI3,0.2153335694988838,9
CP,10,CP1,6h,SI4,0.0497744505644463,9
CP,10,CP1,6h,SI5,-0.0757558074618509,9
CP,10,CP1,6h,SI6,-0.1883001513732794,9
CP,10,CP1,6h,SI7,-0.1839800042792271,9
CP,10,CP1,6h,SI8,-0.1504874944998275,9
CP,10,CP1,6h,SI9,-0.1392936989522739,9
CP,10,CP1,6h,ce,-0.1104709960098175,9
CP,10,CP1,6h,co,-0.0968225628303356,9
CP,10,CP1,12h,st,0.1876010990609545,9
CP,10,CP1,12h,SI1,0.1772571238649653,9
CP,10,CP1,12h,SI2,0.1416341512613579,9
CP,10,CP1,12h,SI3,0.1567739125667236,9
CP,10,CP1,12h,SI4,0.0362383597643732,9
CP,10,CP1,12h,SI5,-0.0551541237303797,9
CP,10,CP1,12h,SI6,-0.137092193922176,9
CP,10,CP1,12h,SI7,-0.1339469046652594,9
CP,10,CP1,12h,SI8,-0.1095626351246806,9
CP,10,CP1,12h,SI9,-0.1014129763021111,9
CP,10,CP1,12h,ce,-0.0804285662932448,9
CP,10,CP1,12h,co,-0.0704918050398446,9
CP,10,CP1,24h,st,0.0610546307448886,9
CP,10,CP1,24h,SI1,0.0576881921195999,9
CP,10,CP1,24h,SI2,0.0460947235885768,9
CP,10,CP1,24h,SI3,0.0510219470467108,9
CP,10,CP1,24h,SI4,0.0117937458004729,9
CP,10,CP1,24h,SI5,-0.0179498663668388,9
CP,10,CP1,24h,SI6,-0.0446165471301719,9
CP,10,CP1,24h,SI7,-0.0435929152051557,9
CP,10,CP1,24h,SI8,-0.0356570737829253,9
CP,10,CP1,24h,SI9,-0.0330047737025983,9
CP,10,CP1,24h,ce,-0.0261754139019161,9
CP,10,CP1,24h,co,-0.0229415027352798,9
VAE,10,VAE1,1h,st,-0.0866248235106468,9
VAE,10,VAE1,1h,SI1,0.006779134273529,9
VAE,10,VAE1,1h,SI2,-0.0238719768822193,9
VAE,10,VAE1,1h,SI3,-0.0275807976722717,9
VAE,10,VAE1,1h,SI4,-0.0145439505577087,9
VAE,10,VAE1,1h,SI5,-0.0305772423744201,9
VAE,10,VAE1,1h,SI6,-0.0386187434196472,9
VAE,10,VAE1,1h,SI7,-0.0131158828735351,9
VAE,10,VAE1,1h,SI8,-0.0522310137748718,9
VAE,10,VAE1,1h,SI9,-0.0487549602985382,9
VAE,10,VAE1,1h,ce,-0.0262136459350585,9
