PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
2.262020321602928,2.7392140886208036,0.8643737526530417,-0.6165420635864081,0.33061651579401413,-0.32374421020080724,0.1529709914330587,0.46422226111730414,0.2939978907525758,-0.3198443454054366,N900_RS00015,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
-0.13595842485937926,1.6097785974579393,-2.284935891080729,0.3720727237827779,-0.07127347579479784,2.8088696730401694,-1.2021016588177875,-0.7069727114429247,0.583244113423269,-0.017673294003416995,N900_RS00025,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
-4.661771888394779,-1.8875546908466152,-0.4240427790547636,-1.876576856644939,1.1146737333516916,-0.8275281658826881,-1.0957707617168977,-2.020644908643554,0.7530395760629449,-1.141999525688605,N900_RS00040,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
-0.22898986510043917,0.8889085950187348,-0.9982957818653799,-0.9570971062759586,2.4024522581634735,3.956860043546209,0.24401991791778077,0.05478498417313693,2.000642777367087,-1.3355197653949822,N900_RS00045,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
1.5765784871881205,0.5106248991269217,-0.16393040367690065,1.2624348331393653,0.22564937855366612,0.045507393196005386,-1.732697854685694,-1.5780874709786505,0.07411564904283968,1.9222781874615664,N900_RS00050,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
0.0634896857630225,-0.7415416670740014,-0.6722171065575195,-0.49658047997433163,1.8539702452417735,-1.2992432573800534,1.638051427494128,-0.33591379675625616,0.1517519893852744,1.6199378612659665,N900_RS00065,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
1.8851666993261231,0.24712861656087223,-0.697565771407184,1.8380950053585314,-0.18081173874739406,-0.4697423518600039,0.9900943189081359,1.2460078972846311,0.16965950468126145,0.2615616833908925,N900_RS00075,N900_RS00075,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
-1.8133674333163656,-0.6047105330426061,-0.9938696345969458,0.32072721778022073,-1.6366874455525697,-0.9590426394581881,-1.0198102721148885,2.1089217820488755,1.8153028265694005,-0.5927899191396062,N900_RS00085,ibpA,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
-1.5471654223993987,-0.7781854371877133,-1.1376936137079365,-1.4406746903600958,1.4361371601907165,-3.029590944542787,-0.827411795918295,0.8817524555373659,0.9279769673886842,1.3933405017404887,N900_RS00090,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
1.876957676644623,-0.9988497731366854,-0.9702932391297132,1.2260413958677572,0.16113786142622374,1.9088851877091275,0.3770081232191267,1.1636783716180228,-0.8630564980108201,-0.4584106223012712,N900_RS00105,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
