Gene,Component,Gene_loading,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,abs_loading,abs_rank
N900_RS09995,TensorComp4,-4.141015729198287,tcpJ,-2.3957258,-5.3424,1.6028,12h_SI6,12h,SI6,1h_ce,1h,ce,6.9452,4.141015729198287,5.0
N900_RS09205,TensorComp4,-4.139447960296647,purF,-2.03226245,-5.1351,2.6569,12h_SI6,12h,SI6,1h_st,1h,st,7.792,4.139447960296647,6.0
N900_RS00255,TensorComp4,-4.049334815251978,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378,4.049334815251978,7.0
N900_RS03420,TensorComp4,-4.0292880335376005,flgO,-0.7477126166666667,-2.6831,2.936,24h_SI4,24h,SI4,3h_SI6,3h,SI6,5.6190999999999995,4.0292880335376005,8.0
N900_RS03940,TensorComp4,-3.986173109420553,ybfF,-1.5442316166666665,-3.4541,2.6309,24h_co,24h,co,3h_SI3,3h,SI3,6.085,3.986173109420553,9.0
N900_RS10545,TensorComp4,-3.9719502023794018,ppx,-0.7627546066666666,-2.6007,2.5628,6h_SI5,6h,SI5,1h_ce,1h,ce,5.1635,3.9719502023794018,10.0
N900_RS03785,TensorComp4,-3.8838550358550683,fliH,-0.6827772483333334,-2.7364,2.1816,24h_st,24h,st,1h_ce,1h,ce,4.918,3.8838550358550683,11.0
N900_RS03465,TensorComp4,-3.867120687576453,flgD,-1.0865150800000003,-3.1374,2.58,12h_SI5,12h,SI5,1h_co,1h,co,5.7174,3.867120687576453,12.0
N900_RS04070,TensorComp4,-3.843905590872024,flhA,-0.4610293333333333,-2.2731,2.152,24h_st,24h,st,1h_SI1,1h,SI1,4.4251000000000005,3.843905590872024,13.0
N900_RS09210,TensorComp4,-3.842222897157239,cvpA,-2.3630791666666666,-5.6924,2.1232,12h_SI6,12h,SI6,3h_st,3h,st,7.8156,3.842222897157239,14.0
N900_RS10560,TensorComp4,-3.8081523122077283,phoB,-1.8571527500000002,-5.4058,3.2188,12h_SI6,12h,SI6,3h_SI4,3h,SI4,8.624600000000001,3.8081523122077283,15.0
N900_RS09740,TensorComp4,-3.790143549393156,motb,-1.347178383333333,-3.6124,0.51511,24h_SI4,24h,SI4,3h_SI7,3h,SI7,4.12751,3.790143549393156,16.0
N900_RS10035,TensorComp4,-3.7522119154781053,tcpC,-0.9827866,-3.9376,4.404,6h_SI6,6h,SI6,1h_SI1,1h,SI1,8.3416,3.7522119154781053,17.0
N900_RS08465,TensorComp4,-3.7467906432860265,N900_RS08465,-1.9702411166666667,-5.149,2.1107,12h_SI5,12h,SI5,1h_co,1h,co,7.2597000000000005,3.7467906432860265,18.0
N900_RS00270,TensorComp4,-3.70256659759992,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155,3.70256659759992,19.0
N900_RS10335,TensorComp4,-3.6848106611973233,guaA,-2.461274333333334,-5.1525,0.92829,12h_ce,12h,ce,1h_ce,1h,ce,6.0807899999999995,3.6848106611973233,20.0
N900_RS00525,TensorComp4,-3.678443928311133,N900_RS00525,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833,3.678443928311133,21.0
N900_RS04605,TensorComp4,-3.6561861168896277,minE,-2.3172268666666667,-4.7812,1.1327,12h_SI8,12h,SI8,3h_SI9,3h,SI9,5.9139,3.6561861168896277,22.0
N900_RS03330,TensorComp4,-3.645921862481291,purM,-0.5873585233333333,-3.6829,4.5548,12h_SI9,12h,SI9,6h_st,6h,st,8.2377,3.645921862481291,23.0
N900_RS03765,TensorComp4,-3.6446829661274847,flrC,-0.8707446933333334,-2.6561,2.3086,6h_SI7,6h,SI7,1h_co,1h,co,4.964700000000001,3.6446829661274847,24.0
N900_RS15415,TensorComp4,-3.6033281626779368,N900_RS15415,-1.0176916666666667,-2.9248,3.0967,24h_co,24h,co,1h_SI1,1h,SI1,6.0215,3.6033281626779368,25.0
N900_RS15460,TensorComp4,-3.5783572812394295,rppH_2,-0.5848261983333334,-2.4371,3.5886,24h_SI5,24h,SI5,12h_SI2,12h,SI2,6.0257000000000005,3.5783572812394295,26.0
N900_RS14945,TensorComp4,-3.576056577084771,DNA cytosine methyltransferase,-2.1396211666666667,-5.1845,2.9562,12h_SI5,12h,SI5,1h_st,1h,st,8.140699999999999,3.576056577084771,27.0
N900_RS10340,TensorComp4,-3.573968951117339,guaB,-2.5002714999999993,-5.2413,0.43624,12h_ce,12h,ce,1h_SI2,1h,SI2,5.67754,3.573968951117339,28.0
N900_RS06535,TensorComp4,-3.565731875180068,glpQ_1,-0.6283875833333333,-3.2997,3.3835,24h_ce,24h,ce,1h_SI1,1h,SI1,6.6832,3.565731875180068,29.0
N900_RS10960,TensorComp4,-3.5339861408966424,N900_RS10960,-0.44036805833333337,-1.7118,2.7622,24h_SI8,24h,SI8,3h_SI1,3h,SI1,4.474,3.5339861408966424,30.0
N900_RS13420,TensorComp4,-3.5326530746920786,wbeK,-2.5773265000000003,-5.442,4.5768,6h_SI9,6h,SI9,3h_SI3,3h,SI3,10.0188,3.5326530746920786,31.0
N900_RS08505,TensorComp4,-3.527780049866963,grxa,-2.188486333333333,-5.3571,2.7597,12h_SI9,12h,SI9,3h_SI9,3h,SI9,8.1168,3.527780049866963,32.0
