Gene,Component,Gene_loading,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,abs_loading,abs_rank
N900_RS16725,TensorComp1,6.584605007761913,GNAT family acetyltransferase,1.179908833333333,-0.16635,4.7237,6h_co,6h,co,3h_SI1,3h,SI1,4.8900500000000005,6.584605007761913,14.0
N900_RS12225,TensorComp1,6.580751261001053,rsmE,1.0057010160000002,-0.35504,3.3369,12h_SI7,12h,SI7,12h_SI2,12h,SI2,3.6919399999999998,6.580751261001053,15.0
N900_RS07270,TensorComp1,6.568453941710208,rhlE_1,0.62821655,-0.8934,3.5773,6h_ce,6h,ce,3h_SI2,3h,SI2,4.4707,6.568453941710208,16.0
N900_RS12580,TensorComp1,6.56453826419528,MSHA biogenesis protein MshN,1.1088379333333331,-0.40777,3.6304,3h_SI4,3h,SI4,12h_SI2,12h,SI2,4.03817,6.56453826419528,17.0
N900_RS01360,TensorComp1,6.542430120260881,pilus assembly protein PilN,1.1552278166666663,-0.41744,3.5303,1h_st,1h,st,6h_SI2,6h,SI2,3.94774,6.542430120260881,18.0
N900_RS03270,TensorComp1,6.508602130483236,glnB,1.2820225333333333,-0.37078,4.1463,3h_SI6,3h,SI6,3h_st,3h,st,4.51708,6.508602130483236,19.0
N900_RS14265,TensorComp1,6.500887273821135,deoD_2,1.0826106466666665,-0.30296,3.7815,12h_SI7,12h,SI7,3h_st,3h,st,4.08446,6.500887273821135,20.0
N900_RS07880,TensorComp1,6.49308216981502,DNA-binding response regulator_1,0.7648298166666668,-0.91705,3.3324,1h_st,1h,st,3h_SI2,3h,SI2,4.2494499999999995,6.49308216981502,21.0
N900_RS02975,TensorComp1,6.48914122988549,"lipoprotein, putative",1.38081945,-0.25722,4.7706,1h_SI8,1h,SI8,3h_SI1,3h,SI1,5.02782,6.48914122988549,22.0
N900_RS11850,TensorComp1,6.487499896562654,qorA,0.8281166333333333,-0.76929,3.9372,6h_SI9,6h,SI9,1h_SI1,1h,SI1,4.70649,6.487499896562654,23.0
N900_RS06575,TensorComp1,6.485299918753873,tolQ_3,1.0613484833333333,-0.39571,4.9052,1h_st,1h,st,12h_SI1,12h,SI1,5.30091,6.485299918753873,24.0
N900_RS16735,TensorComp1,6.484270029255725,glpm,0.6334879999999999,-0.9542,4.6787,1h_SI3,1h,SI3,6h_SI2,6h,SI2,5.6329,6.484270029255725,25.0
N900_RS03915,TensorComp1,6.47851414922895,gltC,1.3515615,-0.22479,3.753,3h_st,3h,st,6h_st,6h,st,3.97779,6.47851414922895,26.0
N900_RS13490,TensorComp1,6.477792383723726,wavI,1.2794988166666668,-0.12819,4.0571,6h_ce,6h,ce,6h_SI3,6h,SI3,4.18529,6.477792383723726,27.0
N900_RS10825,TensorComp1,6.475519295909066,vpsR,1.4516895,0.13202,4.0584,1h_SI7,1h,SI7,3h_SI1,3h,SI1,3.92638,6.475519295909066,28.0
N900_RS04450,TensorComp1,6.446762681743956,fadH,1.1646299833333333,-0.26653,3.811,24h_SI7,24h,SI7,6h_st,6h,st,4.07753,6.446762681743956,29.0
N900_RS14095,TensorComp1,6.4317801733764535,glgB,0.15731536666666665,-1.5922,3.868,12h_SI8,12h,SI8,12h_SI1,12h,SI1,5.4602,6.4317801733764535,30.0
N900_RS16480,TensorComp1,6.426029013724616,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,0.43546566666666664,-1.2188,2.8525,1h_SI7,1h,SI7,3h_SI1,3h,SI1,4.0713,6.426029013724616,31.0
N900_RS18910,TensorComp1,6.424697891629436,N900_RS18910,1.1945625649999998,-0.21988,4.4357,12h_st,12h,st,12h_SI2,12h,SI2,4.65558,6.424697891629436,32.0
N900_RS00710,TensorComp1,6.420026287625656,lysoplasmalogenase_1,1.4763866666666665,0.18203,4.2859,6h_ce,6h,ce,6h_st,6h,st,4.10387,6.420026287625656,33.0
N900_RS11345,TensorComp1,6.409669877839858,N-acetyltransferase_2,0.6777983716666667,-0.76552,2.5645,3h_st,3h,st,6h_st,6h,st,3.3300199999999998,6.409669877839858,34.0
N900_RS02695,TensorComp1,6.404897473787871,thrA,1.3559940116666667,-0.31452,4.1366,1h_st,1h,st,3h_SI1,3h,SI1,4.4511199999999995,6.404897473787871,35.0
N900_RS15255,TensorComp1,6.402032766470801,emrD3,0.759544055,-0.64658,3.2808,12h_st,12h,st,3h_SI1,3h,SI1,3.9273800000000003,6.402032766470801,36.0
N900_RS08660,TensorComp1,6.401254014789201,bioD,0.89199252,-1.4831,4.018,12h_SI8,12h,SI8,12h_SI1,12h,SI1,5.5011,6.401254014789201,37.0
N900_RS12995,TensorComp1,6.399853609481547,nudC,1.1268217166666668,-0.24359,3.297,3h_SI9,3h,SI9,12h_SI1,12h,SI1,3.5405900000000003,6.399853609481547,38.0
N900_RS11560,TensorComp1,6.3997258190840105,oppF_2,1.0883238000000002,-0.51393,3.626,3h_st,3h,st,6h_ce,6h,ce,4.13993,6.3997258190840105,39.0
N900_RS13135,TensorComp1,6.397882974088358,paaE,1.2817756833333331,-0.14881,3.8272,1h_SI3,1h,SI3,3h_SI3,3h,SI3,3.97601,6.397882974088358,40.0
N900_RS16095,TensorComp1,6.389297052470917,N900_RS16095,0.4014964,-1.1377,3.7977,12h_SI8,12h,SI8,3h_st,3h,st,4.9354,6.389297052470917,41.0
N900_RS05240,TensorComp1,6.386670597146465,PTS fructose transporter subunit IIA_2,-0.37278711666666664,-3.3449,2.3735,3h_SI8,3h,SI8,6h_SI4,6h,SI4,5.7184,6.386670597146465,42.0
N900_RS06145,TensorComp1,6.385419202796853,Putative NAD(P)-binding protein YbjT_BLAST,1.2660860333333332,-0.30178,4.3368,1h_SI6,1h,SI6,6h_SI4,6h,SI4,4.63858,6.385419202796853,43.0
N900_RS05490,TensorComp1,6.383370313170202,N900_RS05490,1.1188048650000002,-0.65037,3.9243,12h_SI8,12h,SI8,3h_SI2,3h,SI2,4.57467,6.383370313170202,44.0
N900_RS01820,TensorComp1,6.381840364836395,thiP,0.40782968666666675,-1.1774,3.6386,3h_ce,3h,ce,12h_SI2,12h,SI2,4.816,6.381840364836395,45.0
N900_RS10130,TensorComp1,6.381725924874485,uvrB_2,1.5001344000000003,0.076314,4.4841,1h_SI8,1h,SI8,6h_SI4,6h,SI4,4.407786,6.381725924874485,46.0
N900_RS07890,TensorComp1,6.380639762373314,dctM_2,0.578338605,-0.85087,3.569,6h_SI7,6h,SI7,3h_SI3,3h,SI3,4.4198699999999995,6.380639762373314,47.0
N900_RS18710,TensorComp1,6.379489245946824,N900_RS18710,1.4617749166666667,-0.026851,4.8523,1h_SI8,1h,SI8,6h_SI1,6h,SI1,4.879150999999999,6.379489245946824,48.0
N900_RS17640,TensorComp1,6.368795363246308,ectC,1.6218537166666671,-0.078765,4.1303,1h_SI8,1h,SI8,6h_SI1,6h,SI1,4.209065,6.368795363246308,49.0
N900_RS10675,TensorComp1,6.362777956948306,N900_RS10675,1.0039942966666666,-0.4473,3.4993,3h_st,3h,st,6h_SI2,6h,SI2,3.9465999999999997,6.362777956948306,50.0
N900_RS14570,TensorComp2,4.826901416226767,tagO,1.0331540333333333,-0.47112,3.5782,12h_st,12h,st,3h_SI5,3h,SI5,4.04932,4.826901416226767,1.0
N900_RS14475,TensorComp2,4.777273193799812,ydgJ,0.7585031666666667,-0.89777,3.7676,6h_st,6h,st,3h_SI3,3h,SI3,4.665369999999999,4.777273193799812,2.0
N900_RS06810,TensorComp2,4.753759424292175,msrC_BLAST,0.8131330200000001,-0.61003,4.5476,1h_st,1h,st,3h_SI3,3h,SI3,5.15763,4.753759424292175,3.0
N900_RS02655,TensorComp2,4.690541830302208,gltB_1,0.940928,-0.34789,3.2615,6h_st,6h,st,1h_SI1,1h,SI1,3.60939,4.690541830302208,4.0
N900_RS10665,TensorComp2,4.670161930950176,sltY,1.2524905166666664,-0.26201,4.4344,1h_st,1h,st,3h_SI3,3h,SI3,4.69641,4.670161930950176,5.0
N900_RS13310,TensorComp2,4.663141158091217,N900_RS13310,0.439226475,-1.1918,3.122,6h_st,6h,st,3h_SI3,3h,SI3,4.3138,4.663141158091217,6.0
N900_RS10565,TensorComp2,4.6251932658947155,rdgC,1.1877280799999999,-0.16884,4.4638,6h_st,6h,st,3h_SI2,3h,SI2,4.63264,4.6251932658947155,7.0
N900_RS00170,TensorComp2,4.616530136868594,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417,4.616530136868594,8.0
N900_RS08820,TensorComp2,4.605520878538232,response regulator,1.4910591166666667,-0.13847,4.7419,1h_SI6,1h,SI6,3h_SI4,3h,SI4,4.88037,4.605520878538232,9.0
N900_RS10265,TensorComp2,4.602491274864779,yjcS,0.855433515,-0.62998,3.6278,3h_ce,3h,ce,3h_SI2,3h,SI2,4.25778,4.602491274864779,10.0
N900_RS19185,TensorComp2,4.598776314412123,N900_RS19185,0.9914399666666667,-0.78349,3.2763,6h_st,6h,st,12h_SI3,12h,SI3,4.05979,4.598776314412123,11.0
N900_RS02935,TensorComp2,4.5465185560736305,4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis enzyme,1.0250198833333333,-0.59836,3.6007,6h_st,6h,st,3h_SI2,3h,SI2,4.199059999999999,4.5465185560736305,12.0
N900_RS04445,TensorComp2,4.54312059252303,sppA,1.7334983000000002,-0.32443,5.3733,3h_co,3h,co,3h_SI5,3h,SI5,5.69773,4.54312059252303,13.0
N900_RS14315,TensorComp2,4.537441758090537,tonb,0.9279087500000001,-0.55172,4.0346,6h_st,6h,st,1h_SI1,1h,SI1,4.586320000000001,4.537441758090537,14.0
N900_RS04535,TensorComp2,4.535550185436847,menD,0.7211290600000001,-0.58297,2.9033,3h_st,3h,st,3h_SI4,3h,SI4,3.48627,4.535550185436847,15.0
N900_RS18680,TensorComp2,4.521932972182142,MltR family transcriptional regulator,0.5647306150000001,-0.84684,3.3964,1h_st,1h,st,6h_SI4,6h,SI4,4.24324,4.521932972182142,16.0
N900_RS01040,TensorComp2,4.509269778520326,nhaP2,1.139512368333333,-0.49865,3.465,6h_st,6h,st,6h_SI4,6h,SI4,3.96365,4.509269778520326,17.0
N900_RS04380,TensorComp2,4.506097838474371,pykA_1,0.8676892666666667,-0.73358,3.9536,12h_st,12h,st,6h_SI4,6h,SI4,4.68718,4.506097838474371,18.0
N900_RS10705,TensorComp2,4.493139691878801,anmK,0.8871709581666667,-0.79866,3.4368,6h_st,6h,st,1h_SI1,1h,SI1,4.23546,4.493139691878801,19.0
N900_RS08230,TensorComp2,4.483674956585912,hutG,0.64989609,-0.8809,3.5459,6h_st,6h,st,3h_SI2,3h,SI2,4.4268,4.483674956585912,20.0
N900_RS18365,TensorComp2,4.480159655385595,mcpQ,1.0476492,-0.46607,4.335,3h_co,3h,co,3h_SI5,3h,SI5,4.80107,4.480159655385595,21.0
N900_RS17040,TensorComp2,4.473228315629988,diguanylate cyclase_5,1.2453789833333333,-0.3071,5.1603,1h_SI6,1h,SI6,3h_SI3,3h,SI3,5.4674000000000005,4.473228315629988,22.0
N900_RS06530,TensorComp2,4.4718679165931565,Toxin-antitoxin biofilm protein TabA homolog_BLAST,0.7889990166666667,-0.54007,3.4739,3h_st,3h,st,6h_SI1,6h,SI1,4.0139700000000005,4.4718679165931565,23.0
N900_RS08700,TensorComp2,4.469812309344304,prepilin peptidase_1,0.7370876483333332,-0.73322,4.3153,6h_st,6h,st,3h_SI4,3h,SI4,5.04852,4.469812309344304,24.0
N900_RS16505,TensorComp2,4.460753896897067,N900_RS16505,0.6978886499999999,-0.7216,4.636,6h_st,6h,st,3h_SI2,3h,SI2,5.3576,4.460753896897067,25.0
N900_RS17490,TensorComp2,4.456544092474414,N900_RS17490,1.3283790166666667,-0.35622,4.4181,12h_st,12h,st,3h_SI3,3h,SI3,4.7743199999999995,4.456544092474414,26.0
N900_RS05810,TensorComp2,4.449536279473803,yciB,1.0449707683333334,-0.21984,3.7696,3h_st,3h,st,3h_SI4,3h,SI4,3.98944,4.449536279473803,27.0
N900_RS07505,TensorComp2,4.442803451146337,acyP,0.6522378500000001,-0.76187,3.5309,6h_st,6h,st,3h_SI3,3h,SI3,4.29277,4.442803451146337,28.0
N900_RS01405,TensorComp2,4.440051662211758,gph,0.8096558,-0.85937,3.4672,12h_st,12h,st,6h_SI1,6h,SI1,4.32657,4.440051662211758,29.0
N900_RS18575,TensorComp2,4.4193447373304915,N900_RS18575,1.1693778750000001,-0.28541,4.5197,6h_st,6h,st,3h_SI2,3h,SI2,4.80511,4.4193447373304915,30.0
N900_RS13730,TensorComp2,4.4187104666106265,N900_RS13730,0.6004542133333335,-1.0513,3.8104,12h_st,12h,st,3h_SI1,3h,SI1,4.8617,4.4187104666106265,31.0
N900_RS09550,TensorComp2,4.405570623156682,hemolysin_1,0.4984524699999999,-0.85796,2.4637,3h_st,3h,st,3h_SI3,3h,SI3,3.3216599999999996,4.405570623156682,32.0
N900_RS17580,TensorComp2,4.403600886658688,phrB_1,0.9998710000000001,-0.26857,4.1433,1h_SI5,1h,SI5,3h_SI1,3h,SI1,4.41187,4.403600886658688,33.0
N900_RS17250,TensorComp2,4.391474735969464,N900_RS17250,1.2560773666666667,-0.47987,4.4691,3h_co,3h,co,3h_SI5,3h,SI5,4.94897,4.391474735969464,34.0
N900_RS08560,TensorComp2,4.390938339015792,hisB,0.7740042166666666,-0.66384,3.4869,3h_co,3h,co,3h_SI5,3h,SI5,4.15074,4.390938339015792,35.0
N900_RS18785,TensorComp2,4.388340900441872,putP,1.0645062,-0.53207,4.1169,12h_st,12h,st,6h_ce,6h,ce,4.64897,4.388340900441872,36.0
N900_RS13690,TensorComp2,4.3873155697822535,rhaS_2,1.3383161166666668,-0.081784,3.945,1h_SI1,1h,SI1,3h_SI4,3h,SI4,4.026784,4.3873155697822535,37.0
N900_RS17620,TensorComp2,4.386921904956365,groS_2,0.9049580516666667,-0.47564,4.331,6h_st,6h,st,6h_ce,6h,ce,4.806640000000001,4.386921904956365,38.0
N900_RS07335,TensorComp2,4.384950107767497,gdx,0.8789779936666666,-0.58326,4.2955,6h_SI1,6h,SI1,3h_SI5,3h,SI5,4.87876,4.384950107767497,39.0
N900_RS09905,TensorComp2,4.383045149363469,type IV pilin protein,1.4143810333333335,-0.17937,4.4726,3h_SI1,3h,SI1,3h_SI3,3h,SI3,4.6519699999999995,4.383045149363469,40.0
N900_RS18255,TensorComp2,4.381543988040848,marr_2,0.713241845,-0.91848,3.4133,12h_st,12h,st,6h_SI4,6h,SI4,4.33178,4.381543988040848,41.0
N900_RS16500,TensorComp2,4.366419948626107,bepA_3,0.5826428999999999,-1.0895,3.4383,6h_st,6h,st,3h_SI3,3h,SI3,4.5278,4.366419948626107,42.0
N900_RS10580,TensorComp2,4.364427651079073,nfsA,1.6759806666666668,0.13171,4.5403,1h_SI6,1h,SI6,3h_SI1,3h,SI1,4.40859,4.364427651079073,43.0
N900_RS18195,TensorComp2,4.359372631651487,N900_RS18195,0.9048698233333334,-0.65127,3.9226,3h_co,3h,co,12h_SI2,12h,SI2,4.57387,4.359372631651487,44.0
N900_RS01525,TensorComp2,4.356616837564197,rnr,1.1761258999999997,-0.88717,5.649,1h_SI7,1h,SI7,3h_SI5,3h,SI5,6.53617,4.356616837564197,45.0
N900_RS17785,TensorComp2,4.354260655099144,N900_RS17785,0.8527246999999999,-0.40066,3.4378,1h_st,1h,st,6h_SI1,6h,SI1,3.8384600000000004,4.354260655099144,46.0
N900_RS09680,TensorComp2,4.3482789848955195,metq,1.3567389333333333,-0.027598,3.7875,1h_st,1h,st,6h_SI2,6h,SI2,3.815098,4.3482789848955195,47.0
N900_RS13195,TensorComp2,4.341361855153745,acs_1,0.6116551833333334,-0.79391,3.4818,6h_st,6h,st,3h_SI2,3h,SI2,4.27571,4.341361855153745,48.0
N900_RS07845,TensorComp2,4.340523867402077,licH,1.2876851933333329,-0.11429,4.4205,6h_SI8,6h,SI8,3h_SI5,3h,SI5,4.534789999999999,4.340523867402077,49.0
N900_RS17830,TensorComp2,4.339269077173574,hapA,0.6224483216666667,-0.88243,3.2309,12h_st,12h,st,6h_ce,6h,ce,4.11333,4.339269077173574,50.0
N900_RS04565,TensorComp3,-4.242654215923553,sutR,1.0106300666666665,-0.47738,4.039,3h_SI3,3h,SI3,6h_SI3,6h,SI3,4.51638,4.242654215923553,1.0
N900_RS12765,TensorComp3,-4.1627207251460145,N900_RS12765,0.877642515,-0.69665,3.7281,3h_SI3,3h,SI3,12h_SI1,12h,SI1,4.4247499999999995,4.1627207251460145,2.0
N900_RS10885,TensorComp3,-4.117468264302483,flhD,0.7052683333333333,-1.2331,2.7638,3h_SI9,3h,SI9,3h_SI5,3h,SI5,3.9969,4.117468264302483,3.0
N900_RS18255,TensorComp3,-4.116577623485141,marr_2,0.713241845,-0.91848,3.4133,12h_st,12h,st,6h_SI4,6h,SI4,4.33178,4.116577623485141,4.0
N900_RS03055,TensorComp3,-4.105800201979098,diguanylate cyclase_4,0.7464228249999999,-0.75771,3.7322,3h_st,3h,st,6h_SI4,6h,SI4,4.48991,4.105800201979098,5.0
N900_RS01040,TensorComp3,-4.088056616368178,nhaP2,1.139512368333333,-0.49865,3.465,6h_st,6h,st,6h_SI4,6h,SI4,3.96365,4.088056616368178,6.0
N900_RS18065,TensorComp3,-4.08339392630019,exbD1,0.2369785333333333,-1.234,3.4798,3h_st,3h,st,6h_SI4,6h,SI4,4.7138,4.08339392630019,7.0
N900_RS16875,TensorComp3,-4.056770194450195,beta-phosphoglucomutase family hydrolase,0.43112399516666666,-1.1501,2.9659,12h_st,12h,st,3h_SI4,3h,SI4,4.116,4.056770194450195,8.0
N900_RS18340,TensorComp3,-4.040933563822423,methyl-accepting chemotaxis protein_25,0.6147865899999999,-0.93278,3.7644,3h_SI2,3h,SI2,3h_SI1,3h,SI1,4.69718,4.040933563822423,9.0
N900_RS07195,TensorComp3,-4.038505017177115,N900_RS07195,0.7000432833333333,-0.80146,3.5485,3h_st,3h,st,6h_SI4,6h,SI4,4.34996,4.038505017177115,10.0
N900_RS07250,TensorComp3,-4.036798774112151,vceB,0.7054589583333332,-0.8033,3.7177,12h_st,12h,st,12h_SI1,12h,SI1,4.521,4.036798774112151,11.0
N900_RS07150,TensorComp3,-4.016615883902369,N900_RS07150,0.8882288666666668,-0.58219,4.1202,3h_st,3h,st,6h_SI4,6h,SI4,4.702389999999999,4.016615883902369,12.0
N900_RS01715,TensorComp3,-4.0136289569421395,cobA,0.93742956,-1.1059,4.125,3h_ce,3h,ce,6h_SI3,6h,SI3,5.2309,4.0136289569421395,13.0
N900_RS05575,TensorComp3,-3.994999598823897,pqiB,0.5611877716666667,-1.1285,4.0344,12h_SI7,12h,SI7,6h_SI4,6h,SI4,5.1629,3.994999598823897,14.0
N900_RS13485,TensorComp3,-3.984948677976376,wavJ,1.6937460833333333,0.064504,4.5865,3h_SI2,3h,SI2,3h_SI1,3h,SI1,4.521996,3.984948677976376,15.0
N900_RS14860,TensorComp3,-3.9840900248739355,pepT,0.9717282,-0.9055,3.5006,12h_st,12h,st,3h_SI5,3h,SI5,4.4061,3.9840900248739355,16.0
N900_RS16375,TensorComp3,-3.973775787119973,N900_RS16375,0.362556495,-0.89203,3.8498,3h_SI3,3h,SI3,3h_SI1,3h,SI1,4.74183,3.973775787119973,17.0
N900_RS17665,TensorComp3,-3.9640469195113757,acs_2,0.13063101166666674,-1.1944,3.6812,1h_st,1h,st,6h_SI4,6h,SI4,4.8756,3.9640469195113757,18.0
N900_RS08230,TensorComp3,-3.943634213593153,hutG,0.64989609,-0.8809,3.5459,6h_st,6h,st,3h_SI2,3h,SI2,4.4268,3.943634213593153,19.0
N900_RS13265,TensorComp3,-3.937806429144516,peptidase_3,0.9794817666666666,-0.43693,4.2,3h_SI1,3h,SI1,6h_SI4,6h,SI4,4.63693,3.937806429144516,20.0
N900_RS10685,TensorComp3,-3.9308963348696264,aroF,1.2231554433333331,-0.30978,4.4271,12h_st,12h,st,3h_SI1,3h,SI1,4.73688,3.9308963348696264,21.0
N900_RS16535,TensorComp3,-3.9279106226788967,yejF,1.1135857333333334,-0.5661,4.5749,3h_SI2,3h,SI2,6h_SI3,6h,SI3,5.141,3.9279106226788967,22.0
