latent_dim,epoch,train_loss,val_loss
2,1,59.193472677831494,56.0095535947286
2,2,52.93242780991022,49.70992016244781
2,3,46.928158091620624,45.9188392973643
2,4,43.862967059449815,43.99388781967641
2,5,42.75579319175875,43.22703549060543
2,6,42.082401012891346,43.14057199243215
2,7,41.61675029494705,42.49244846033403
2,8,41.18094929788214,42.03799827113779
2,9,40.710031437039596,41.65131621868476
2,10,40.41830721972836,41.34304459159708
2,11,40.224806665803406,41.1322599980428
2,12,39.97254222778545,40.887273290709814
2,13,39.80954909069982,40.65060469402401
2,14,39.64370126179788,40.47073574504175
2,15,39.42268718347145,40.3482719532881
2,16,39.1913684823895,39.95606692001566
2,17,38.83672972059162,39.490941822155534
2,18,38.36407347059162,38.97570418515136
2,19,38.08267293968692,38.75483592118998
2,20,37.832548846109574,38.54481993736952
2,21,37.68678025725138,38.35557680388831
2,22,37.578808413904234,38.36229041623173
2,23,37.43231900322284,38.06342151617954
2,24,37.35803568859346,38.124969418710855
2,25,37.31551133747698,37.97928423473382
2,26,37.25357371518186,37.988617644180586
2,27,37.20520617518416,37.899285621085596
2,28,37.122447269221915,37.93914935086117
2,29,37.03458757769337,37.794799549843425
2,30,37.065147329650095,37.71766946111691
2,31,37.011420385877074,37.831941544885176
2,32,36.97425993468002,37.79073019963466
2,33,36.937335980662986,37.67348357580898
2,34,36.96585843980203,37.72676025900313
2,35,36.92751820039135,37.698921092119
2,36,36.85519376582643,37.82942164665971
2,37,36.81304241482505,37.8200576559238
2,38,36.80690535796501,37.72268887004175
2,39,36.78639161055479,37.79581892614823
2,40,36.82034415285451,37.65900843228079
2,41,36.81134718865101,37.67934906706681
2,42,36.69717714088398,37.622406706680586
2,43,36.72609256301796,37.7507421059499
2,44,36.74929572398711,37.63824577570459
2,45,36.71466084685773,37.614321013830896
2,46,36.70335628165285,37.53558234929541
2,47,36.63606878740792,37.690146300887264
2,48,36.69271768531308,37.64233347468685
2,49,36.65034494417588,37.50580025117432
2,50,36.64965901243094,37.70967551213466
2,51,36.61900592052256,37.49445051539666
2,52,36.617015387603594,37.51917854579854
2,53,36.607735346167125,37.5327790644572
2,54,36.58603461671271,37.53315419493737
2,55,36.58212854655847,37.54374551474426
2,56,36.574825549608654,37.4920814848643
2,57,36.52361482792357,37.5122712519572
2,58,36.510667191816296,37.56473855036534
2,59,36.54442765883978,37.49485214966075
2,60,36.4785206606814,37.48914568110647
3,1,58.53175069060774,55.42676392875783
3,2,52.3362903573895,48.97402425300104
3,3,46.67290425730893,45.20502919493737
3,4,43.43477659559162,43.586836589900834
3,5,42.10866317046501,42.71339623564718
3,6,41.42962563305709,42.349413654749476
3,7,40.93734892955801,41.81225331093424
3,8,40.498378870280845,41.17866404618998
3,9,40.135143121259205,40.83050422429541
3,10,39.789653653027166,40.59804361299582
3,11,39.479986043968694,40.16456607189457
3,12,39.04377553809853,39.615921434629435
3,13,38.54761560485728,39.26831003718685
3,14,38.04936118784531,38.73740050887265
3,15,37.73548878481814,38.371010161143005
3,16,37.5454504417012,38.024962486951985
3,17,37.31667296126842,37.92523690305324
3,18,37.187352886164824,37.742727769441544
3,19,37.11412220879374,37.663314277792274
3,20,37.045270416091164,37.75101122129436
3,21,36.956127704880295,37.7610826591858
3,22,36.88067521293738,37.49760854318894
3,23,36.80698754747928,37.50986144637265
3,24,36.745159810946134,37.523101105819414
3,25,36.677566758747695,37.40617660490605
3,26,36.67596757021179,37.29949479710334
3,27,36.63735324585635,37.21884174386743
3,28,36.51999705052947,37.29266293710856
3,29,36.483431888812156,37.2664527335595
3,30,36.465525365446595,37.058968880480165
3,31,36.42984162781998,37.11651267288622
3,32,36.36267337131676,37.06067123890919
3,33,36.313452463167586,37.17726138439457
3,34,36.313456239928634,37.078300332724424
3,35,36.28679158753453,37.0759374184499
3,36,36.17811097203039,37.038872896007305
3,37,36.17322941845074,36.923828125
3,38,36.14617360151934,36.90675764939979
3,39,36.09718127733655,36.88411322416493
3,40,36.05785152653085,36.86805600861169
3,41,36.01368500374079,36.99338220902923
3,42,35.98876737310083,36.89837225991649
3,43,35.93974645344153,36.8407346848904
3,44,35.9229844685198,36.66489431106472
3,45,35.862080959369244,36.77154553757829
3,46,35.91613738058241,36.746627903183715
3,47,35.8437575535221,36.77127438348121
3,48,35.83115270344153,36.57572742693111
3,49,35.79133233339088,36.77261996020355
3,50,35.74741255898941,36.81779464052714
3,51,35.72042166637891,36.607240426017746
3,52,35.68896754143646,36.64361381132568
3,53,35.70076902048803,36.68912896333507
3,54,35.7049653617058,36.67946731471816
3,55,35.67658623964088,36.58968268854384
3,56,35.720195240561694,36.76749861364823
4,1,59.15076146696593,55.88212951787578
4,2,52.8233524329535,49.47077448134134
4,3,46.739377589779004,45.616844989561585
4,4,43.60952571075046,44.0184282848382
4,5,42.43189456721915,43.11755243671712
4,6,41.73360669889503,42.56486087552192
4,7,41.212139589088395,42.016532244911275
4,8,40.85550615791897,41.578167813804804
4,9,40.63781490993324,41.47732907098121
4,10,40.33502766027855,41.27699104579854
4,11,40.16917065924263,41.06737057998434
4,12,39.96027279005525,40.84731170080898
4,13,39.75646167846455,40.88036599686848
4,14,39.584094440607736,40.7377511743215
4,15,39.47184964174724,40.47830767223382
4,16,39.34875330916206,40.42786893267223
4,17,39.23663548141114,40.14254346620564
4,18,39.06612065492634,40.03879746216075
4,19,38.87530861533149,39.76511938935282
4,20,38.67049216591851,39.732584975208766
4,21,38.427409573549724,39.29383114235386
4,22,38.0953371388697,38.95970813217641
4,23,37.62611756157919,38.442152433455114
4,24,37.24301712851059,38.126425088074114
4,25,36.91329671673573,37.87233331158664
4,26,36.70646977152394,37.49189391962422
4,27,36.4581729109116,37.227914192980165
4,28,36.30444902451657,37.121330245302715
4,29,36.15791573146869,37.13475135373173
4,30,35.974848929558014,36.88282065501044
4,31,35.890727871777166,36.89663932019833
4,32,35.80154451542357,36.610535050234866
4,33,35.7405701470419,36.6603478927453
4,34,35.57102414968923,36.615962209681626
4,35,35.5364333347721,36.69176507045929
4,36,35.52298428867403,36.61972982450418
4,37,35.40130460117403,36.5992485157881
4,38,35.3245595577233,36.48264613778706
4,39,35.337216922767034,36.478126223251564
4,40,35.3229416652279,36.44211573590814
4,41,35.250053234346225,36.282251027531316
4,42,35.16050766862339,36.360641065370565
4,43,35.1310773480663,36.399338628653446
4,44,35.07622295119705,36.32153371281315
4,45,35.05091397617403,36.130025525182674
4,46,34.995947355547884,36.1318359375
4,47,35.03776832988029,36.27691765070459
4,48,34.902488166148714,36.31337666362213
4,49,34.960521696593,36.35792952439979
4,50,34.83564794831952,36.213891652531316
4,51,34.849079189686925,36.15503286469207
4,52,34.81916040803407,36.219975290318374
4,53,34.80573887833794,36.11795814848643
4,54,34.73055291781768,36.10866143658664
4,55,34.7174205801105,36.01527535392745
4,56,34.71704722030387,36.14017239692067
4,57,34.71524066960175,35.99920386710595
4,58,34.69169616137201,36.03193196274791
4,59,34.67590948002993,36.12844141440501
4,60,34.59167745741252,36.01727435086117
5,1,58.23509905904696,55.041443763048015
5,2,51.8509236878453,48.842783631263046
5,3,46.35598670580111,45.49111715487996
5,4,43.693304881733425,43.98875220185282
5,5,42.65404473123849,43.34345845837683
5,6,42.02298968404696,42.89394205049582
5,7,41.616725476231586,42.21668270485386
5,8,41.28495320413214,41.988717543058456
5,9,40.941236115906996,41.72781021659708
5,10,40.68226145257827,41.68066814000522
5,11,40.400837541724215,41.35078981276096
