Program,Peak_time,Peak_space,Peak_abs_loading,Time_entropy_0_specific_1_diffuse,Space_entropy_0_specific_1_diffuse,Mean_abs_time_loading,Mean_abs_space_loading
CPVAE1,6h,st,0.1681976467370987,0.7938291018180424,0.804588354194709,0.17987792193889618,0.14300988614559174
CPVAE2,3h,st,0.14865829050540924,0.6560712767235589,0.8424649484122946,0.1470799744129181,0.10659828782081604
CPVAE3,3h,SI5,0.15154974162578583,0.8380332523128892,0.9052991236807573,0.20192547142505646,0.1396620124578476
CPVAE4,3h,SI1,0.19546563923358917,0.8079213680400164,0.7921510116723716,0.162393257021904,0.11747495085000992
CPVAE5,12h,SI1,0.13064247369766235,0.7760314694079697,0.9026704579028296,0.1518426388502121,0.1396975964307785
CPVAE6,6h,st,0.14324627816677094,0.787786563133403,0.8836564350497872,0.183157280087471,0.13580220937728882
