Program,Program_number,Time,mean_abs_loading,signed_mean_loading,max_abs_loading,Phase
CPVAE1,1,12h,0.043856535417338166,0.043856535417338166,0.0791196376085281,Middle
CPVAE1,1,1h,0.05306251378109053,-0.05306251378109053,0.0957277342677116,Early
CPVAE1,1,24h,0.03882429205502069,0.03882429205502069,0.070041187107563,Late
CPVAE1,1,3h,0.044163057270149346,-0.044163057270149346,0.0796726197004318,Early
CPVAE1,1,6h,0.008788380810680426,0.008788380810680426,0.0158547293394804,Middle
CPVAE10,10,12h,0.00889600791318416,-0.0009695651703320085,0.0244687292724847,Middle
CPVAE10,10,1h,0.015882726850880557,0.001731039592414142,0.0436859019100666,Early
CPVAE10,10,24h,0.0015637643100489577,0.00017043279088585893,0.0043011792004108,Late
CPVAE10,10,3h,0.06061552127357569,-0.0066064130126808835,0.166724756360054,Early
CPVAE10,10,6h,0.02375507253843044,-0.002589036632950091,0.065339021384716,Middle
CPVAE2,2,12h,0.002214629565059975,0.0018723289764844917,0.0055121425539255,Middle
CPVAE2,2,1h,0.05163241591071705,-0.043651935741460535,0.128511443734169,Early
CPVAE2,2,24h,0.01122482832094339,0.009489881078479775,0.0279382411390543,Late
CPVAE2,2,3h,0.030356101672320265,-0.025664160474358714,0.0755553767085075,Early
CPVAE2,2,6h,0.017892421460904435,-0.015126908668510882,0.0445336699485778,Middle
CPVAE3,3,12h,0.013512856518597448,-0.0024439746315086334,0.0325294621288776,Middle
CPVAE3,3,1h,0.0037524468498304014,-0.0006786784191111346,0.0090332552790641,Early
CPVAE3,3,24h,0.00014915822096855152,2.6977189691016146e-05,0.0003590681881178,Late
CPVAE3,3,3h,0.05923440720653158,-0.010713306236236023,0.1425948292016983,Early
CPVAE3,3,6h,0.01825849396603488,-0.0033022840798366663,0.0439536236226558,Middle
CPVAE4,4,12h,0.02307036992472902,0.015479919190208117,0.052327960729599,Middle
CPVAE4,4,1h,0.004042019463668059,-0.0027121426561885916,0.0091680642217397,Early
CPVAE4,4,24h,0.010016640459070858,-0.006721035941154692,0.0227196346968412,Late
CPVAE4,4,3h,0.030620892784402973,-0.020546222396660607,0.069453977048397,Early
CPVAE4,4,6h,0.055217273261708465,0.03705007501412182,0.1252432167530059,Middle
CPVAE5,5,12h,0.050380102009512436,0.008337076869793267,0.1523043811321258,Middle
CPVAE5,5,1h,0.008067338213246884,0.0013350114362159335,0.0243884176015853,Early
CPVAE5,5,24h,0.010366585571318818,0.0017154990152145506,0.0313392840325832,Late
CPVAE5,5,3h,0.052098397980444106,0.008621426648460342,0.1574989706277847,Early
CPVAE5,5,6h,0.021035644555619567,0.003481052369655433,0.0635929778218269,Middle
CPVAE6,6,12h,0.015809304711486484,-0.012279433654233183,0.0487051233649253,Middle
CPVAE6,6,1h,0.023912366925893946,0.018573259954185527,0.0736689418554306,Early
CPVAE6,6,24h,0.011313568179806026,-0.008787496558700992,0.0348547101020813,Late
CPVAE6,6,3h,0.04312253460132821,-0.03349421844662478,0.1328514069318771,Early
CPVAE6,6,6h,0.015989545771541658,-0.012419430965868125,0.0492604076862335,Middle
CPVAE7,7,12h,0.020512939804954496,-0.009105324361295639,0.0682326629757881,Middle
CPVAE7,7,1h,0.002835296910220071,0.0012585373263836294,0.0094311125576496,Early
CPVAE7,7,24h,0.0008833914970954086,-0.00039212156940726905,0.002938445424661,Late
CPVAE7,7,3h,0.054592877957626684,0.02423279598451698,0.1815935373306274,Early
CPVAE7,7,6h,0.05393307082294993,-0.023939919613591557,0.1793988049030304,Middle
CPVAE8,8,12h,0.0036233881764928338,-0.002924330874520783,0.0065543120726943,Middle
CPVAE8,8,1h,0.045086051822484735,-0.03638763712175808,0.0815557241439819,Early
CPVAE8,8,24h,0.014678389028025124,-0.011846499478754859,0.0265515968203544,Late
CPVAE8,8,3h,0.0015710345493667834,-0.0012679361510284167,0.0028418293222784,Early
CPVAE8,8,6h,0.016209043756437766,-0.013081846254256851,0.0293203834444284,Middle
CPVAE9,9,12h,0.0222957514536877,-0.007838091347366549,0.0638449192047119,Middle
CPVAE9,9,1h,0.020599025679985016,-0.00724160555788935,0.0589862689375877,Early
CPVAE9,9,24h,0.005098564450842442,0.0017924049000915415,0.0145999761298298,Late
CPVAE9,9,3h,0.009355846540226241,-0.003289056029946842,0.026790902018547,Early
CPVAE9,9,6h,0.049178678173727015,-0.017288807216876482,0.1408254355192184,Middle
