CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,Time
0.027637567,0.016711457,-0.07813398,0.14852054,-0.05134115,0.27893096,1h
-0.2927092,-0.355122,0.4694736,0.35845903,-0.03934809,0.27021012,3h
0.35336486,-0.29916537,0.27507588,0.22876264,-0.23555396,-0.31490144,6h
0.19894594,-0.053770863,0.088918485,0.05935417,-0.3727424,0.0043186084,12h
0.02673205,-0.010630254,-0.098025374,0.016869888,-0.060227554,-0.047425244,24h
