Rank,Model,Mean_abs_offdiagonal_correlation,Max_abs_offdiagonal_correlation,Distinctness_score_1_minus_mean_abs_corr,Basis_source
2,PCA,9.589302028364375e-17,9.589302028364375e-17,0.9999999999999999,first_2_programs_from_rank10_fit
2,CP,0.13850087059892208,0.13850087059892208,0.8614991294010779,first_2_programs_from_rank10_fit
2,VAE,0.2036426757592225,0.2036426757592225,0.7963573242407775,first_2_programs_from_rank10_fit
2,weighted CPVAE,0.3646520948161568,0.36465209481615685,0.6353479051838432,first_2_programs_from_rank10_fit
3,PCA,1.7219091631674303e-16,2.532982623454135e-16,0.9999999999999998,first_3_programs_from_rank10_fit
3,CP,0.13709567226897615,0.19093974304868813,0.8629043277310239,first_3_programs_from_rank10_fit
3,VAE,0.2483543961787372,0.32502206366698905,0.7516456038212628,first_3_programs_from_rank10_fit
3,weighted CPVAE,0.14970671231491328,0.36465209481615685,0.8502932876850867,first_3_programs_from_rank10_fit
4,PCA,2.3797146730905556e-16,6.258944227144384e-16,0.9999999999999998,first_4_programs_from_rank10_fit
4,CP,0.11812400034992289,0.279925413000421,0.8818759996500771,first_4_programs_from_rank10_fit
4,VAE,0.39405507396876865,0.8161392622627768,0.6059449260312313,first_4_programs_from_rank10_fit
4,weighted CPVAE,0.1356756319239951,0.36465209481615685,0.8643243680760049,first_4_programs_from_rank10_fit
5,PCA,1.4781043622773923e-16,6.258944227144384e-16,0.9999999999999999,first_5_programs_from_rank10_fit
5,CP,0.1171262851281337,0.279925413000421,0.8828737148718663,first_5_programs_from_rank10_fit
5,VAE,0.40977437956076657,0.8161392622627768,0.5902256204392334,first_5_programs_from_rank10_fit
5,weighted CPVAE,0.12266777729655476,0.36465209481615685,0.8773322227034452,first_5_programs_from_rank10_fit
6,PCA,1.8127547827127198e-16,6.258944227144384e-16,0.9999999999999998,first_6_programs_from_rank10_fit
6,CP,0.15179097908953934,0.640659460755557,0.8482090209104607,first_6_programs_from_rank10_fit
6,VAE,0.3397404312776745,0.8161392622627768,0.6602595687223255,first_6_programs_from_rank10_fit
6,weighted CPVAE,0.11677354347457618,0.36465209481615685,0.8832264565254239,first_6_programs_from_rank10_fit
7,PCA,1.4800806651001089e-16,6.258944227144384e-16,0.9999999999999999,first_7_programs_from_rank10_fit
7,CP,0.1711511461889044,0.640659460755557,0.8288488538110956,first_7_programs_from_rank10_fit
7,VAE,0.29987499332625883,0.8161392622627768,0.7001250066737412,first_7_programs_from_rank10_fit
7,weighted CPVAE,0.11720047092086465,0.36465209481615685,0.8827995290791354,first_7_programs_from_rank10_fit
8,PCA,1.403161888409558e-16,6.258944227144384e-16,0.9999999999999999,first_8_programs_from_rank10_fit
8,CP,0.18552577246733667,0.640659460755557,0.8144742275326633,first_8_programs_from_rank10_fit
8,VAE,0.3107215041641747,0.8161392622627768,0.6892784958358253,first_8_programs_from_rank10_fit
8,weighted CPVAE,0.12452755075372944,0.36465209481615685,0.8754724492462705,first_8_programs_from_rank10_fit
9,PCA,1.2864313589449062e-16,6.258944227144384e-16,0.9999999999999999,first_9_programs_from_rank10_fit
9,CP,0.17676506790805616,0.640659460755557,0.8232349320919439,first_9_programs_from_rank10_fit
9,VAE,0.3315216674275681,0.8249554177743148,0.6684783325724319,first_9_programs_from_rank10_fit
9,weighted CPVAE,0.14927241507510491,0.37027949941401406,0.8507275849248951,first_9_programs_from_rank10_fit
10,PCA,1.2198850866719362e-16,6.258944227144384e-16,0.9999999999999999,first_10_programs_from_rank10_fit
10,CP,0.1729187678690765,0.640659460755557,0.8270812321309235,first_10_programs_from_rank10_fit
10,VAE,0.34399485255665174,0.8610241077624207,0.6560051474433483,first_10_programs_from_rank10_fit
10,weighted CPVAE,0.13475994066450392,0.37027949941401406,0.8652400593354961,first_10_programs_from_rank10_fit
