Gene,PC,PC_score,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Abs_PC_score,Direction
N900_RS03500,PC1,-7.421552085842495,flgK,-0.37965105,-2.7052,2.176,24h_st,24h,st,3h_SI4,3h,SI4,4.8812,7.421552085842495,Negative
N900_RS13765,PC1,-7.381959872382984,vspR,-0.28234970000000004,-2.5439,3.4677,12h_SI2,12h,SI2,1h_SI1,1h,SI1,6.0116,7.381959872382984,Negative
N900_RS03425,PC1,-7.357215734081537,flgP,-1.4280121,-3.2313,0.98859,3h_SI6,3h,SI6,1h_co,1h,co,4.21989,7.357215734081537,Negative
N900_RS10905,PC1,-7.3210381347735485,trah,-0.6339289333333334,-2.5796,1.8534,6h_SI5,6h,SI5,1h_co,1h,co,4.433,7.3210381347735485,Negative
N900_RS03485,PC1,-7.270851628425484,flgH,-0.06573306666666665,-2.2189,3.5089,24h_st,24h,st,1h_co,1h,co,5.7278,7.270851628425484,Negative
N900_RS06440,PC1,-7.166056857510693,VCM66_1516_BLAST,-0.6578911000000001,-3.3508,1.5046,3h_SI9,3h,SI9,3h_SI7,3h,SI7,4.8553999999999995,7.166056857510693,Negative
N900_RS04085,PC1,-6.949289375010924,flia,-0.14443718333333333,-2.1923,2.7654,12h_SI3,12h,SI3,1h_ce,1h,ce,4.9577,6.949289375010924,Negative
N900_RS03815,PC1,-6.824888700461033,fliN,-0.8230109999999999,-2.809,2.6714,24h_SI2,24h,SI2,6h_SI5,6h,SI5,5.4804,6.824888700461033,Negative
N900_RS03740,PC1,-6.802592020819038,fliD,-0.33881431666666667,-2.6888,3.2234,24h_st,24h,st,1h_ce,1h,ce,5.9122,6.802592020819038,Negative
N900_RS00530,PC1,-6.75635542647596,tatd,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255,6.75635542647596,Negative
N900_RS03275,PC1,-6.558138194853866,VC0395_A1830_BLAST,-0.8288588166666668,-2.8774,2.8362,6h_SI6,6h,SI6,1h_ce,1h,ce,5.7136,6.558138194853866,Negative
N900_RS10910,PC1,-6.515089593712562,N900_RS10910,-0.5319431,-2.2409,2.2927,12h_SI1,12h,SI1,3h_SI5,3h,SI5,4.5336,6.515089593712562,Negative
N900_RS15780,PC1,-6.504742997736459,N900_RS15780,-0.06943324166666669,-2.2288,2.6148,12h_SI4,12h,SI4,6h_SI5,6h,SI5,4.8436,6.504742997736459,Negative
N900_RS03795,PC1,-6.4094131546497035,fliJ,-0.5623280166666668,-2.7639,3.963,24h_SI2,24h,SI2,1h_co,1h,co,6.7269000000000005,6.4094131546497035,Negative
N900_RS03765,PC1,-6.400881379093275,flrC,-0.8707446933333334,-2.6561,2.3086,6h_SI7,6h,SI7,1h_co,1h,co,4.964700000000001,6.400881379093275,Negative
N900_RS03495,PC1,-6.39870585107766,flgJ,-0.44742275000000004,-2.3395,1.8545,6h_SI3,6h,SI3,1h_co,1h,co,4.194,6.39870585107766,Negative
