Gene,PC,PC_score,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Abs_PC_score,Direction
N900_RS15245,PC3,-3.1034697671626312,N900_RS15245,0.5160328316666667,-2.2942,5.5445,6h_SI5,6h,SI5,6h_st,6h,st,7.8387,3.1034697671626312,Negative
N900_RS10625,PC3,-3.0991559617502196,rluD,-0.10167664999999998,-1.9778,4.9014,6h_SI6,6h,SI6,12h_SI2,12h,SI2,6.8792,3.0991559617502196,Negative
N900_RS09930,PC4,3.6217687200320583,recN,-0.30863290000000004,-1.9175,2.5027,6h_ce,6h,ce,3h_SI2,3h,SI2,4.4201999999999995,3.6217687200320583,Positive
N900_RS12500,PC4,3.53869013983197,N900_RS12500,0.21488250000000003,-1.334,3.0902,24h_SI4,24h,SI4,3h_SI1,3h,SI1,4.4242,3.53869013983197,Positive
N900_RS08645,PC4,3.449637860246302,"transcriptional regulator, putative",1.08680825,-0.36545,5.0672,6h_SI4,6h,SI4,3h_SI4,3h,SI4,5.43265,3.449637860246302,Positive
N900_RS19965,PC4,3.425117891722131,Pseudogene_N900_RS19965,-0.6027234333333332,-2.5225,2.1317,24h_st,24h,st,3h_SI1,3h,SI1,4.6541999999999994,3.425117891722131,Positive
N900_RS01235,PC4,3.4170801459258087,N900_RS01235,0.6819741,-0.69568,4.122,12h_st,12h,st,3h_SI1,3h,SI1,4.81768,3.4170801459258087,Positive
N900_RS12280,PC4,3.416357281506153,VC_0458_BLAST,-0.10090591666666665,-1.8121,2.9802,6h_SI1,6h,SI1,6h_ce,6h,ce,4.7923,3.416357281506153,Positive
N900_RS00165,PC4,3.41518036001989,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103,3.41518036001989,Positive
N900_RS08705,PC4,3.410989135519663,dusC,0.24892846166666663,-0.96694,2.9386,12h_st,12h,st,3h_SI1,3h,SI1,3.9055400000000002,3.410989135519663,Positive
N900_RS07770,PC4,3.372084983978514,sdaA_1,-0.23991559999999998,-1.7701,3.6309,12h_SI9,12h,SI9,3h_SI2,3h,SI2,5.401,3.372084983978514,Positive
N900_RS13420,PC4,3.330656452036891,wbeK,-2.5773265000000003,-5.442,4.5768,6h_SI9,6h,SI9,3h_SI3,3h,SI3,10.0188,3.330656452036891,Positive
N900_RS03730,PC4,3.285190754304261,flaB,0.1458025983333333,-1.2065,3.0556,24h_st,24h,st,3h_SI4,3h,SI4,4.2621,3.285190754304261,Positive
N900_RS13195,PC4,3.262145681898753,acs_1,0.6116551833333334,-0.79391,3.4818,6h_st,6h,st,3h_SI2,3h,SI2,4.27571,3.262145681898753,Positive
N900_RS08665,PC4,3.234591480590546,bioC,0.23052880000000003,-1.7296,3.9964,12h_SI6,12h,SI6,3h_SI4,3h,SI4,5.726,3.234591480590546,Positive
N900_RS02435,PC4,3.229383315678499,dsbC,-0.19421205166666666,-1.9863,3.1401,12h_SI5,12h,SI5,1h_ce,1h,ce,5.1264,3.229383315678499,Positive
N900_RS00270,PC4,3.2289163743291223,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155,3.2289163743291223,Positive
N900_RS16585,PC4,3.201322739012972,phnR,-0.3292854233333334,-2.9731,2.9314,12h_SI8,12h,SI8,3h_SI3,3h,SI3,5.9045000000000005,3.201322739012972,Positive
N900_RS02935,PC4,3.180910797121733,4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis enzyme,1.0250198833333333,-0.59836,3.6007,6h_st,6h,st,3h_SI2,3h,SI2,4.199059999999999,3.180910797121733,Positive
N900_RS00390,PC4,3.167258949808506,N900_RS00390,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143,3.167258949808506,Positive
N900_RS09860,PC4,3.157772943187748,mltF,-0.8599122216666667,-3.8311,2.6324,6h_SI7,6h,SI7,3h_SI2,3h,SI2,6.4635,3.157772943187748,Positive
N900_RS03910,PC4,3.1316579461982617,N900_RS03910,0.7460684583333334,-0.63054,4.1226,3h_SI5,3h,SI5,1h_SI1,1h,SI1,4.75314,3.1316579461982617,Positive
N900_RS13305,PC4,3.12407584639823,purD,-1.9242205666666667,-5.3124,3.3529,12h_SI7,12h,SI7,1h_SI1,1h,SI1,8.6653,3.12407584639823,Positive
N900_RS02300,PC4,3.0646558427467685,exeA,0.8416620833333333,-0.74753,3.8342,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.58173,3.0646558427467685,Positive
N900_RS01315,PC4,3.0462173390833174,argB,1.4612119833333337,-0.018999,5.2771,6h_st,6h,st,3h_SI1,3h,SI1,5.296099,3.0462173390833174,Positive
N900_RS13555,PC4,3.0260183349182688,N900_RS13555,0.4422515766666667,-1.4544,3.5515,6h_SI1,6h,SI1,3h_SI1,3h,SI1,5.0059,3.0260183349182688,Positive
N900_RS14080,PC4,3.002690249521394,malT,0.2650877533333333,-1.1062,3.4638,1h_st,1h,st,3h_SI1,3h,SI1,4.57,3.002690249521394,Positive
N900_RS19435,PC4,-4.985717687701125,N900_RS19435,0.6266744000000002,-1.4137,4.7133,12h_SI3,12h,SI3,6h_SI4,6h,SI4,6.127000000000001,4.985717687701125,Negative
N900_RS04895,PC4,-4.8258110158602,hinT,0.5871952666666667,-1.2797,4.2602,6h_SI8,6h,SI8,6h_SI5,6h,SI5,5.5399,4.8258110158602,Negative
N900_RS11325,PC4,-4.587157333577724,N900_RS11325,0.8329015333333334,-1.8112,3.0855,1h_SI3,1h,SI3,12h_ce,12h,ce,4.8967,4.587157333577724,Negative
N900_RS11710,PC4,-4.55698291382361,rsmI,1.0247642666666663,-1.9176,4.733,1h_SI2,1h,SI2,12h_SI2,12h,SI2,6.6506,4.55698291382361,Negative
N900_RS18055,PC4,-4.509459107923424,TonB_2,0.81090335,-1.2465,4.5803,1h_SI9,1h,SI9,6h_SI3,6h,SI3,5.8268,4.509459107923424,Negative
N900_RS06610,PC4,-4.387876848570722,CPXCG motif-containing cysteine-rich protein,1.3797458,-1.7883,6.0201,6h_SI7,6h,SI7,12h_SI1,12h,SI1,7.808400000000001,4.387876848570722,Negative
N900_RS09250,PC4,-4.216314789081939,nagA_1,0.3435591,-1.212,3.4747,1h_SI1,1h,SI1,6h_SI4,6h,SI4,4.6867,4.216314789081939,Negative
N900_RS11605,PC4,-4.083636105916355,amtB,0.7412594666666664,-0.90026,4.4851,1h_co,1h,co,6h_st,6h,st,5.38536,4.083636105916355,Negative
N900_RS18370,PC4,-4.082841446014946,N900_RS18370,0.99271789,-0.92994,5.7143,1h_SI2,1h,SI2,12h_SI2,12h,SI2,6.64424,4.082841446014946,Negative
N900_RS14150,PC4,-4.07297012204425,chiA,1.3953386833333332,-2.0236,6.5227,1h_SI9,1h,SI9,6h_SI2,6h,SI2,8.5463,4.07297012204425,Negative
N900_RS05300,PC4,-4.056310973337583,N900_RS05300,0.5883225166666667,-2.1083,3.4432,6h_SI6,6h,SI6,6h_SI2,6h,SI2,5.5515,4.056310973337583,Negative
N900_RS04600,PC4,-4.0284733751048725,nlpE_1,0.8834398833333333,-1.7963,4.5191,1h_SI4,1h,SI4,6h_st,6h,st,6.3154,4.0284733751048725,Negative
N900_RS06650,PC4,-3.975794941561399,N900_RS06650,0.009954808333333332,0.00012735,0.43711,1h_SI7,1h,SI7,3h_st,3h,st,0.43698265,3.975794941561399,Negative
N900_RS03430,PC4,-3.9588114799255427,flgN,0.0059134508333333335,0.00024007,0.2015,6h_SI3,6h,SI3,3h_st,3h,st,0.20125993,3.9588114799255427,Negative
N900_RS15445,PC4,-3.956266883750358,N900_RS15445,0.4796739833333334,-2.0096,6.7351,3h_SI9,3h,SI9,6h_st,6h,st,8.7447,3.956266883750358,Negative
N900_RS16775,PC4,-3.939929003131521,Probable transporter XF_0766_BLAST,0.0026558358566666665,6.9364e-06,0.11476,6h_SI5,6h,SI5,3h_st,3h,st,0.1147530636,3.939929003131521,Negative
N900_RS20000,PC4,-3.938822056866628,Pseudogene_N900_RS20000,0.2557845166666667,-2.277,3.6734,6h_SI5,6h,SI5,24h_st,24h,st,5.9504,3.938822056866628,Negative
N900_RS07175,PC4,-3.93361163447939,potC,0.6767962166666668,-2.0585,4.1782,3h_SI6,3h,SI6,6h_SI4,6h,SI4,6.236700000000001,3.93361163447939,Negative
N900_RS15195,PC4,-3.915370009075646,N900_RS15195,1.1030312500000001,-0.80786,6.4407,12h_SI4,12h,SI4,6h_st,6h,st,7.2485599999999994,3.915370009075646,Negative
N900_RS12285,PC4,-3.882329426729692,N900_RS12285,0.0027146426351666664,-8.333e-06,0.11933,12h_SI8,12h,SI8,3h_st,3h,st,0.119338333,3.882329426729692,Negative
N900_RS10635,PC4,-3.8716133635738474,raiA,0.9942305166666665,-1.1243,6.038,1h_SI2,1h,SI2,6h_st,6h,st,7.1623,3.8716133635738474,Negative
N900_RS12315,PC4,-3.8408889545084977,yggX,0.3632811,-1.9722,3.7623,6h_co,6h,co,12h_st,12h,st,5.734500000000001,3.8408889545084977,Negative
N900_RS09045,PC4,-3.835465026258958,apbC,0.8032064833333333,-0.52816,4.7821,6h_ce,6h,ce,3h_st,3h,st,5.3102599999999995,3.835465026258958,Negative
N900_RS00705,PC4,-3.8307431951792728,Pseudogene_N900_RS00705,0.6146072500000002,-1.1903,5.5069,12h_SI4,12h,SI4,6h_st,6h,st,6.6972,3.8307431951792728,Negative
N900_RS08150,PC4,-3.814838587554003,N900_RS08150,0.005595575500000001,0.00033236,0.16587,12h_SI2,12h,SI2,3h_st,3h,st,0.16553763999999999,3.814838587554003,Negative
N900_RS01885,PC5,4.6098471681780975,kdsC,-0.13604569999999996,-1.6525,4.1551,3h_ce,3h,ce,6h_st,6h,st,5.8076,4.6098471681780975,Positive
N900_RS14675,PC5,4.526460753198716,N900_RS14675,1.179211736666667,-0.31504,5.1778,3h_co,3h,co,6h_st,6h,st,5.49284,4.526460753198716,Positive
N900_RS07705,PC5,4.370407672304604,methyl-accepting chemotaxis protein_14,0.42721209999999993,-1.2518,4.2859,6h_SI1,6h,SI1,3h_SI1,3h,SI1,5.5377,4.370407672304604,Positive
N900_RS18705,PC5,4.20573118650037,N900_RS18705,0.9998879000000002,-0.59522,4.745,3h_SI3,3h,SI3,6h_st,6h,st,5.34022,4.20573118650037,Positive
N900_RS14260,PC5,4.122255448046739,N900_RS14260,-0.04916328333333332,-1.5291,4.0534,12h_SI5,12h,SI5,6h_st,6h,st,5.5825,4.122255448046739,Positive
N900_RS03240,PC5,4.038700619862062,rnhB,0.21106356666666667,-1.768,3.0744,12h_SI1,12h,SI1,3h_SI1,3h,SI1,4.8424,4.038700619862062,Positive
N900_RS01100,PC5,4.01476962592782,cpxR,0.2803164166666667,-1.7866,3.3916,12h_SI2,12h,SI2,3h_SI1,3h,SI1,5.1782,4.01476962592782,Positive
N900_RS05455,PC5,4.008178976351548,siaQ,0.8079806500000001,-1.1326,4.7764,12h_SI2,12h,SI2,6h_SI4,6h,SI4,5.909,4.008178976351548,Positive
N900_RS15910,PC5,3.9314875794126003,N900_RS15910,0.30484123166666677,-2.8453,3.7503,12h_SI8,12h,SI8,6h_st,6h,st,6.5956,3.9314875794126003,Positive
N900_RS00540,PC5,3.8900879754139637,ypeA_1,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311,3.8900879754139637,Positive
N900_RS11460,PC5,3.837159540331063,yhbY,0.73854215,-1.0584,4.8511,24h_st,24h,st,3h_SI1,3h,SI1,5.9094999999999995,3.837159540331063,Positive
N900_RS14190,PC5,3.773296693475658,"phosphatidylglycerophosphatase B, putative",0.2620648016666667,-1.1722,4.4664,6h_SI9,6h,SI9,1h_SI1,1h,SI1,5.6386,3.773296693475658,Positive
N900_RS01305,PC5,3.642297105677476,argE,1.6609314499999999,0.056167,5.2321,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.175933,3.642297105677476,Positive
N900_RS04665,PC5,3.6103049173554655,mhpA,0.7812497566666666,-0.86729,3.5221,3h_st,3h,st,3h_SI1,3h,SI1,4.38939,3.6103049173554655,Positive
N900_RS20040,PC5,3.5645256470586864,N900_RS20040,0.47122331,-1.9741,4.293,3h_SI8,3h,SI8,3h_SI1,3h,SI1,6.2671,3.5645256470586864,Positive
N900_RS15400,PC5,3.5458275112280226,ygfF,0.10089349999999998,-1.485,2.4851,3h_SI2,3h,SI2,6h_SI4,6h,SI4,3.9701000000000004,3.5458275112280226,Positive
N900_RS07080,PC5,3.51010143357149,rcsC_3,0.3931739,-0.8092,5.5141,3h_SI9,3h,SI9,6h_st,6h,st,6.3233,3.51010143357149,Positive
N900_RS06660,PC5,3.477054919210019,N900_RS06660,-0.15241848333333333,-1.9089,4.2832,3h_SI6,3h,SI6,6h_st,6h,st,6.1921,3.477054919210019,Positive
N900_RS01745,PC5,3.474319348409465,ABC transporter permease_2,1.6455948333333337,-0.26204,5.1766,12h_SI3,12h,SI3,3h_SI1,3h,SI1,5.4386399999999995,3.474319348409465,Positive
N900_RS14510,PC5,3.455971743604692,N900_RS14510,1.0286589099999999,-0.45981,4.7643,3h_SI3,3h,SI3,6h_st,6h,st,5.2241100000000005,3.455971743604692,Positive
N900_RS01900,PC5,3.424190804215883,N900_RS01900,0.24226955000000003,-1.1003,4.18,6h_SI3,6h,SI3,3h_SI1,3h,SI1,5.2802999999999995,3.424190804215883,Positive
N900_RS15440,PC5,3.3921904888692165,HNH endonuclease_1,-0.10880488866666663,-2.5043,2.4738,12h_SI4,12h,SI4,3h_SI2,3h,SI2,4.9781,3.3921904888692165,Positive
N900_RS13880,PC5,3.3892778925370077,ilvY,1.4249721666666668,-0.45434,4.9543,12h_SI1,12h,SI1,12h_SI2,12h,SI2,5.40864,3.3892778925370077,Positive
N900_RS11360,PC5,3.37437684606058,ubiU,1.3526538499999998,-0.17479,5.0211,3h_SI7,3h,SI7,3h_SI1,3h,SI1,5.1958899999999995,3.37437684606058,Positive
N900_RS15935,PC5,3.33613102592427,N900_RS15935,0.20808993333333337,-1.4397,3.2808,12h_SI6,12h,SI6,1h_SI1,1h,SI1,4.7205,3.33613102592427,Positive
N900_RS18125,PC5,-4.397305287290312,AraC family transcriptional regulator_4,0.48270094166666666,-1.3638,4.4377,6h_SI2,6h,SI2,6h_ce,6h,ce,5.801500000000001,4.397305287290312,Negative
N900_RS04180,PC5,-4.067503315596792,fabG_1,1.1036457166666667,-0.66004,5.6395,1h_SI1,1h,SI1,3h_SI3,3h,SI3,6.29954,4.067503315596792,Negative
N900_RS03395,PC5,-4.061904685126784,Fe3+-citrate ABC transporter substrate-binding protein,0.5749562666666665,-1.6408,3.404,6h_SI2,6h,SI2,6h_ce,6h,ce,5.0448,4.061904685126784,Negative
N900_RS05775,PC5,-3.955200910321757,N900_RS05775,0.8143961166666664,-0.77835,6.0086,6h_SI2,6h,SI2,3h_SI4,3h,SI4,6.78695,3.955200910321757,Negative
N900_RS09075,PC5,-3.824622246049179,inosine monophosphate dehydrogenase-related protein,1.2868885666666663,-0.28471,6.1714,3h_SI1,3h,SI1,3h_st,3h,st,6.456110000000001,3.824622246049179,Negative
N900_RS04620,PC5,-3.7730531632255313,VC_1957_BLAST,0.3645300616666667,-1.235,3.7382,6h_SI4,6h,SI4,12h_SI1,12h,SI1,4.9732,3.7730531632255313,Negative
N900_RS18930,PC5,-3.5846109240798545,ABC transporter ATP-binding protein_4,0.3748486666666667,-1.0482,3.6535,6h_SI3,6h,SI3,3h_st,3h,st,4.701700000000001,3.5846109240798545,Negative
N900_RS12840,PC5,-3.5786067601277587,fkpA,0.27229338333333336,-1.4642,4.1054,6h_SI5,6h,SI5,3h_SI3,3h,SI3,5.5696,3.5786067601277587,Negative
N900_RS12150,PC5,-3.544969184762021,oxidative stress defense protein,0.8405812616666667,-0.82748,4.5271,6h_SI2,6h,SI2,3h_st,3h,st,5.35458,3.544969184762021,Negative
N900_RS18140,PC5,-3.527085527549313,rlmC,1.4098274999999998,-0.10234,4.0469,1h_SI6,1h,SI6,3h_SI3,3h,SI3,4.14924,3.527085527549313,Negative
N900_RS12365,PC5,-3.5177554519664556,djlA,0.5443349666666665,-1.1718,3.8828,6h_SI1,6h,SI1,3h_st,3h,st,5.0546,3.5177554519664556,Negative
N900_RS15150,PC5,-3.4912956160781308,ybhA,0.5236248816666668,-0.93284,4.8388,6h_st,6h,st,3h_SI2,3h,SI2,5.77164,3.4912956160781308,Negative
N900_RS00830,PC5,-3.485303631752648,N900_RS00830,0.5607836883333334,-0.8329,3.6627,3h_SI1,3h,SI1,3h_SI3,3h,SI3,4.4956,3.485303631752648,Negative
N900_RS05680,PC5,-3.484125145963734,glgC_1,0.6073159,-0.71219,4.344,1h_SI7,1h,SI7,3h_SI3,3h,SI3,5.05619,3.484125145963734,Negative
N900_RS01685,PC5,-3.471521696835842,LysM,0.5728361166666667,-1.5682,3.3574,6h_SI1,6h,SI1,3h_SI3,3h,SI3,4.9256,3.471521696835842,Negative
N900_RS13715,PC5,-3.432595905464522,gorA,0.20930418333333337,-1.5688,3.9834,3h_SI8,3h,SI8,12h_SI2,12h,SI2,5.5522,3.432595905464522,Negative
N900_RS10735,PC5,-3.398259986680433,fkpB,1.2847738666666666,-0.17285,4.504,1h_SI3,1h,SI3,3h_SI2,3h,SI2,4.67685,3.398259986680433,Negative
N900_RS06270,PC5,-3.368557829607082,ABC transporter permease_3,-0.515561175,-2.5446,2.7036,1h_SI3,1h,SI3,3h_SI3,3h,SI3,5.2482,3.368557829607082,Negative
N900_RS08195,PC5,-3.3359873094657044,N900_RS08195,1.2475586333333335,0.081734,5.0147,1h_SI8,1h,SI8,12h_SI1,12h,SI1,4.932966,3.3359873094657044,Negative
N900_RS09445,PC5,-3.306742652487142,rsfS,0.7061118816666665,-0.9473,6.2056,1h_SI7,1h,SI7,3h_SI3,3h,SI3,7.1529,3.306742652487142,Negative
N900_RS17325,PC5,-3.301031172826663,lysr_5,1.30877688,-0.1414,5.1719,1h_SI5,1h,SI5,3h_SI3,3h,SI3,5.3133,3.301031172826663,Negative
N900_RS04265,PC5,-3.300944895981029,SulP family inorganic anion transporter_1,1.0018395583333335,-1.1449,4.9608,1h_co,1h,co,3h_SI2,3h,SI2,6.1057,3.300944895981029,Negative
N900_RS00375,PC5,-3.297074426605258,asnC,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972,3.297074426605258,Negative
N900_RS01700,PC5,-3.2762678249973924,dbpA,0.3822100499999999,-1.1716,3.6947,6h_st,6h,st,6h_ce,6h,ce,4.8663,3.2762678249973924,Negative
N900_RS08805,PC5,-3.2637086568512643,sasA_7,1.4949027333333333,-0.2666,6.6033,1h_SI9,1h,SI9,3h_SI3,3h,SI3,6.8699,3.2637086568512643,Negative
N900_RS01325,PC6,4.881633872979391,argH,0.16767774833333335,-1.637,6.1234,24h_SI1,24h,SI1,3h_SI1,3h,SI1,7.760400000000001,4.881633872979391,Positive
N900_RS00650,PC6,4.870443670296415,N900_RS00650,0.754079075,-0.87026,4.0816,6h_SI1,6h,SI1,3h_SI1,3h,SI1,4.95186,4.870443670296415,Positive
N900_RS09100,PC6,4.747154048828866,moaB,0.8524573751666666,-0.92419,3.5174,1h_SI2,1h,SI2,3h_SI1,3h,SI1,4.44159,4.747154048828866,Positive
N900_RS06265,PC6,4.685305208796842,ABC transporter permease_4,0.34822705000000004,-2.6924,4.9633,1h_SI4,1h,SI4,3h_SI1,3h,SI1,7.6557,4.685305208796842,Positive
N900_RS13340,PC6,4.680425568819357,VC_0268,0.8718629,-0.69016,6.0471,12h_SI1,12h,SI1,3h_SI1,3h,SI1,6.73726,4.680425568819357,Positive
N900_RS05340,PC6,4.667656271938467,IclR family transcriptional regulator,0.09195315,-2.1203,3.9457,1h_SI5,1h,SI5,3h_SI1,3h,SI1,6.066,4.667656271938467,Positive
N900_RS11625,PC6,4.638024592261565,N900_RS11625,0.50280315,-1.4968,2.8463,1h_SI1,1h,SI1,12h_SI4,12h,SI4,4.3431,4.638024592261565,Positive
N900_RS06225,PC6,4.566734567197561,LysR family transcriptional regulator_5,0.931498155,-1.7134,6.8158,1h_SI9,1h,SI9,3h_st,3h,st,8.5292,4.566734567197561,Positive
N900_RS06510,PC6,4.55816533265385,katG,1.6284244,-0.15532,6.1199,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.27522,4.55816533265385,Positive
N900_RS16750,PC6,4.285161646709401,antibiotic biosynthesis monooxygenase,0.6518676713333333,-3.1135,4.3596,6h_SI6,6h,SI6,3h_SI1,3h,SI1,7.4731000000000005,4.285161646709401,Positive
N900_RS09195,PC6,4.209013993881904,ribonuclease T,0.5439541,-2.0486,5.2082,1h_SI2,1h,SI2,3h_SI1,3h,SI1,7.2568,4.209013993881904,Positive
N900_RS16465,PC6,4.205906408313109,DamX-related protein,0.025303263333333333,0.0031775,0.28123,6h_SI3,6h,SI3,3h_SI1,3h,SI1,0.2780525,4.205906408313109,Positive
N900_RS18155,PC6,4.039350253381588,cspV_3,0.7596669666666667,-0.83059,5.2356,24h_SI2,24h,SI2,3h_SI1,3h,SI1,6.06619,4.039350253381588,Positive
N900_RS00045,PC6,3.956860043546209,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738,3.956860043546209,Positive
N900_RS03640,PC6,3.9480567846429224,bepA_1,0.7092973833333333,-0.73641,4.1162,6h_SI3,6h,SI3,3h_SI1,3h,SI1,4.85261,3.9480567846429224,Positive
N900_RS19685,PC6,3.945314098043553,N900_RS19685,0.7309666833333334,-1.6662,6.5626,3h_SI6,3h,SI6,12h_SI2,12h,SI2,8.2288,3.945314098043553,Positive
N900_RS17670,PC6,3.9423091651485747,LysR family transcriptional regulator_7,0.30127895,-1.4317,3.4564,3h_SI9,3h,SI9,3h_st,3h,st,4.8881,3.9423091651485747,Positive
N900_RS07840,PC6,3.8740235682033606,chbG,0.42840743333333337,-0.98467,6.5211,6h_SI1,6h,SI1,6h_ce,6h,ce,7.50577,3.8740235682033606,Positive
N900_RS00915,PC6,3.784299414560574,epsH,-0.012676316666666698,-4.0234,3.8558,1h_SI6,1h,SI6,12h_SI3,12h,SI3,7.879199999999999,3.784299414560574,Positive
N900_RS12975,PC6,3.772274892541259,envc,1.3966725,-0.12388,5.565,6h_SI4,6h,SI4,3h_SI1,3h,SI1,5.68888,3.772274892541259,Positive
N900_RS09505,PC6,3.7163551499466796,yitt,0.5896746166666667,-1.555,5.8246,6h_co,6h,co,3h_SI1,3h,SI1,7.3796,3.7163551499466796,Positive
N900_RS05850,PC6,3.697959268849548,torC,1.0276815166666666,-0.79525,4.1319,12h_SI8,12h,SI8,3h_SI1,3h,SI1,4.92715,3.697959268849548,Positive
N900_RS05360,PC6,3.663203141909347,N900_RS05360,0.22612868333333333,-1.301,3.4917,24h_co,24h,co,3h_SI1,3h,SI1,4.7927,3.663203141909347,Positive
N900_RS12535,PC6,3.622438461305486,mshP,1.7246605516666667,-0.21597,6.7449,12h_ce,12h,ce,3h_st,3h,st,6.96087,3.622438461305486,Positive
N900_RS13145,PC6,3.6186116060390976,N900_RS13145,0.32362654416666664,-1.2169,3.3406,6h_SI1,6h,SI1,3h_SI1,3h,SI1,4.5575,3.6186116060390976,Positive
N900_RS11295,PC6,-3.5570612113354927,umuC,0.9131930833333332,-1.6022,5.423,3h_SI9,3h,SI9,6h_SI4,6h,SI4,7.0252,3.5570612113354927,Negative
N900_RS12870,PC6,-3.51393161450507,hflX,0.5955676499999999,-1.0186,4.41,24h_SI1,24h,SI1,3h_SI2,3h,SI2,5.4286,3.51393161450507,Negative
N900_RS05790,PC6,-3.5124229180199555,metE,0.40654108000000005,-1.3461,3.9769,3h_SI9,3h,SI9,3h_SI4,3h,SI4,5.323,3.5124229180199555,Negative
N900_RS07210,PC6,-3.33150406317108,N900_RS07210,-0.15206748333333334,-2.3909,5.0833,6h_ce,6h,ce,6h_st,6h,st,7.4742,3.33150406317108,Negative
N900_RS09555,PC6,-3.3153183733253138,N900_RS09555,0.9551864175499998,-0.46094,4.4575,24h_SI2,24h,SI2,6h_SI3,6h,SI3,4.9184399999999995,3.3153183733253138,Negative
N900_RS07080,PC6,-3.3109578168860057,rcsC_3,0.3931739,-0.8092,5.5141,3h_SI9,3h,SI9,6h_st,6h,st,6.3233,3.3109578168860057,Negative
N900_RS07190,PC6,-3.2965711796478305,chromosome segregation ATPase_1,0.33410280000000003,-1.3384,3.4822,24h_SI2,24h,SI2,3h_SI4,3h,SI4,4.820600000000001,3.2965711796478305,Negative
N900_RS19860,PC6,-3.2593082658925563,N900_RS19860,0.09501618666666665,-1.7518,3.6211,6h_SI3,6h,SI3,6h_st,6h,st,5.3729000000000005,3.2593082658925563,Negative
N900_RS05890,PC6,-3.193296999219298,sapF,0.1893208716666667,-2.0789,3.2929,3h_SI9,3h,SI9,6h_SI4,6h,SI4,5.3718,3.193296999219298,Negative
N900_RS06805,PC6,-3.1746221535396564,ABC transporter ATP-binding protein_2,0.32236509999999996,-1.5613,4.7015,12h_SI4,12h,SI4,6h_SI1,6h,SI1,6.2628,3.1746221535396564,Negative
N900_RS01090,PC6,-3.1460684294519896,superoxide dismutase,0.7178741116666667,-0.77886,3.6767,12h_SI1,12h,SI1,1h_ce,1h,ce,4.45556,3.1460684294519896,Negative
N900_RS07130,PC6,-3.1318282282579584,N900_RS07130,0.47849058166666664,-2.2824,4.8374,12h_SI3,12h,SI3,6h_st,6h,st,7.1198,3.1318282282579584,Negative
N900_RS13180,PC6,-3.115177726846738,N900_RS13180,0.782608515,-1.0068,4.4226,12h_st,12h,st,6h_SI1,6h,SI1,5.4294,3.115177726846738,Negative
N900_RS04250,PC6,-3.115097542846883,ychE_BLAST,0.6742577139999999,-0.82011,3.5925,3h_SI1,3h,SI1,6h_st,6h,st,4.41261,3.115097542846883,Negative
N900_RS13745,PC6,-3.096915006442885,cap2_BLAST,0.11527100000000004,-1.5725,2.6307,3h_SI1,3h,SI1,6h_st,6h,st,4.2032,3.096915006442885,Negative
N900_RS06750,PC6,-3.0795520761992923,formate dehydrogenase subunit gamma,0.396028855,-1.4337,4.3571,12h_SI2,12h,SI2,3h_SI5,3h,SI5,5.7908,3.0795520761992923,Negative
N900_RS00090,PC6,-3.029590944542787,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969,3.029590944542787,Negative
N900_RS10955,PC6,-3.022718397164978,primase,0.19470681666666667,-1.3159,2.75,6h_st,6h,st,3h_SI2,3h,SI2,4.0659,3.022718397164978,Negative
N900_RS04880,PC6,-3.0162669146665637,fadR,1.1680233833333333,-1.5989,4.8608,6h_SI7,6h,SI7,3h_SI2,3h,SI2,6.4597,3.0162669146665637,Negative
N900_RS07765,PC6,-3.0157434808638763,sdaC_2,1.31297405,-0.12973,4.4926,1h_st,1h,st,3h_SI3,3h,SI3,4.622330000000001,3.0157434808638763,Negative
N900_RS11130,PC6,-3.0103100441465274,N900_RS11130,-0.008475850000000033,-4.1588,3.8228,3h_SI9,3h,SI9,6h_SI4,6h,SI4,7.9816,3.0103100441465274,Negative
N900_RS19380,PC6,-3.0067994668069202,N900_RS19380,0.29095489179999995,-1.8964,3.3509,12h_SI2,12h,SI2,3h_SI4,3h,SI4,5.2473,3.0067994668069202,Negative
N900_RS14390,PC6,-2.9946482492085478,N900_RS14390,-0.2869692833333333,-1.5642,2.4019,12h_st,12h,st,3h_SI4,3h,SI4,3.9661,2.9946482492085478,Negative
