Model,MSE,RMSE,MAE,R2_reconstruction
CPVAE_CP_factorized_branch_only,0.5480987421582008,0.7403369112493317,0.5401761461877143,0.45190125784179924
CPVAE_total_with_constrained_residual,0.4027843321971575,0.6346529226255541,0.44834044849311344,0.5972156678028426
