PC,Space,mean_loading,mean_abs_loading
PC1,st,0.08371313901611441,0.08371313901611441
PC1,SI1,0.14166581182055188,0.18747335015099034
PC1,SI2,0.12796218214081895,0.1750804275424369
PC1,SI3,0.09538500402753053,0.15306942347547164
PC1,SI4,0.07180902851194573,0.14186209983489292
PC1,SI5,-0.03309678530240901,0.05310941115509129
PC1,SI6,-0.07630484206008815,0.07630484206008815
PC1,SI7,-0.09394453512598394,0.09394453512598394
PC1,SI8,-0.07971895486959542,0.07971895486959542
PC1,SI9,-0.06948696493181414,0.06948696493181414
PC1,ce,-0.08269279264079472,0.08269279264079472
PC1,co,-0.08529029058627602,0.08529029058627602
PC2,st,0.25639754072417903,0.2653133767323287
PC2,SI1,0.009424047995148382,0.023777348359799257
PC2,SI2,0.007233246673276339,0.03678961103422802
PC2,SI3,0.01869646866976301,0.03304935199026718
PC2,SI4,-0.06977216199637219,0.0926877749242909
PC2,SI5,-0.10602486329885064,0.1335845226909301
PC2,SI6,-0.06654310411909825,0.10209889231259284
PC2,SI7,-0.055449613668651795,0.09488584479391383
PC2,SI8,-0.018370729085577502,0.07957811222903456
PC2,SI9,0.006439913907064987,0.08019678458317599
PC2,ce,-0.013446908142678132,0.10687712770701172
PC2,co,0.03141616234179639,0.06505168783311309
PC3,st,0.08732053660248251,0.2286920837873589
PC3,SI1,0.006406680934091082,0.13866271545102696
PC3,SI2,-0.0501598606168883,0.11462818686275571
PC3,SI3,-0.08420279991309035,0.08420279991309035
PC3,SI4,0.030892769835443153,0.07130992422583707
PC3,SI5,0.04772896570202436,0.053630174789619456
PC3,SI6,0.024539585461092722,0.028496262321824044
PC3,SI7,0.014504117935885663,0.017828100238910374
PC3,SI8,-0.00926747085137696,0.03151287254987531
PC3,SI9,-0.02265393221034715,0.04534411724961106
PC3,ce,-0.0019432699768166194,0.052289306018195744
PC3,co,-0.04316532290249993,0.06019762264580133
PC4,st,-0.1589931240262374,0.1589931240262374
PC4,SI1,0.12429260790379741,0.17482551617443126
PC4,SI2,0.05442049197873554,0.10825080659197266
PC4,SI3,0.05346709897851859,0.09939541828793208
PC4,SI4,0.0416508615523876,0.11892597829393961
PC4,SI5,-0.016588027775264698,0.0790781040060215
PC4,SI6,-0.035284666908983464,0.07458701981137401
PC4,SI7,-0.028677143479945467,0.07293457201901135
PC4,SI8,-0.030609220123755287,0.062492063288263275
PC4,SI9,-0.022492016798050983,0.0746114234392611
PC4,ce,0.009303958845210292,0.07810689117822586
PC4,co,0.0095091798535878,0.06899328718093596
PC5,st,0.018278744696523512,0.14951527065887932
PC5,SI1,0.13542739366150042,0.19683638258666364
PC5,SI2,-0.01569101695575553,0.10298019409322641
PC5,SI3,-0.12702982458641235,0.13915266247937247
PC5,SI4,0.003138449174066456,0.0710974780840904
PC5,SI5,0.00893628306544229,0.02559679117006648
PC5,SI6,0.00014262304014344765,0.012487221675944122
PC5,SI7,-0.006073569589707785,0.01686243901616278
PC5,SI8,-0.005954420668640004,0.022222559934667395
PC5,SI9,-0.003371901364580809,0.02125685421162183
PC5,ce,-0.004347021712759716,0.014789765366903176
PC5,co,-0.0034557387598197495,0.01851440778312844
PC6,st,-0.03844163996767563,0.11205131502676839
PC6,SI1,0.07791975515940046,0.22487575455914724
PC6,SI2,-0.046717616342942136,0.1281275364167364
PC6,SI3,0.010733638815560938,0.06776925152381454
PC6,SI4,-0.09758499150729569,0.1562243814174579
PC6,SI5,-0.04741235925603975,0.09375327745592532
PC6,SI6,0.009869479197463813,0.03849715536692806
PC6,SI7,0.016805778233817813,0.03889048461062322
PC6,SI8,0.02498447617671848,0.04797225738952425
PC6,SI9,0.03900344447430672,0.06424550020320295
PC6,ce,0.019811809410684278,0.0451994225743943
PC6,co,0.031028225606000298,0.031028225606000298
