,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6
CPVAE1,1.0,0.19032237054356796,-0.2948709754844978,-0.44568588182026975,-0.7128931522317045,-0.8185042204211541
CPVAE2,0.19032237054356796,1.0,-0.9655299297757166,-0.8707002882026563,-0.02270080392638003,0.17483892766046502
CPVAE3,-0.2948709754844978,-0.9655299297757168,1.0,0.881668607424761,-0.046965449027604196,-0.006915386043068951
CPVAE4,-0.44568588182026975,-0.8707002882026563,0.8816686074247612,1.0,0.30416080726384814,0.2560516858582815
CPVAE5,-0.7128931522317045,-0.02270080392638003,-0.04696544902760419,0.30416080726384814,1.0,0.5446921311350715
CPVAE6,-0.8185042204211541,0.17483892766046505,-0.00691538604306895,0.2560516858582815,0.5446921311350715,1.0
