TensorComp1,TensorComp2,TensorComp3,TensorComp4,TensorComp5,Space
0.7691758990217225,-0.17770537442240505,2.9099626730993187,0.22019318388535514,-2.618013556621606,st
0.5404101563173118,-0.10969310663247599,0.3316720344786306,0.4366155729903649,-0.4301544902468058,SI1
0.37025067250446864,0.30529866085406243,0.4823647330105628,0.3010305952666302,-0.15491756847723698,SI2
0.28458340460178644,0.5052789553937788,0.6501096601825429,0.2170415807180679,-0.13810112212780812,SI3
-0.0480671062232965,0.7184655642413496,0.05826742635322156,0.32435875433101974,0.5671506379045783,SI4
-0.24618062148798286,0.7210635827182745,-0.40001625710397515,0.32176526977320896,0.7546483461080166,SI5
-0.3621114770543336,0.4395683696587667,-0.1853875862782453,0.2412148718966476,0.391166248371967,SI6
-0.3570953802935997,0.434146787151591,-0.2498376057762494,0.26409291563931214,0.3839000142134783,SI7
-0.31515451556418456,0.3870204716578867,-0.12849492878722965,0.2300826218018803,0.3254157596211355,SI8
-0.28091589281092094,0.27741379557614043,-0.015229530225582858,0.24668264595144915,0.17636700281434212,SI9
-0.23817232120160559,0.08661532299590037,-0.2380993052908324,0.40236051462742944,0.41938782809713837,ce
-0.17795452074975215,-0.03737628745841515,-0.034558266272845736,0.36047201745044677,0.11365932427269428,co
