Model,Rank,MSE,RMSE,MAE,NRMSE_by_observed_sd,Pearson_r_observed_vs_reconstructed,Explained_variance,Strong_signal_ROC_AUC
PCA,6,0.44884999311371365,0.6699626803887763,0.46828187806546684,0.6699626803887763,0.7423947783263877,0.5511500068862863,0.7882321878762908
CP,6,0.48093025696016256,0.6934913531978337,0.48586497257434563,0.6934913531978337,0.7205317625666887,0.5191660030130162,0.774865183025183
VAE,6,0.38650837482689454,0.6216979771777407,0.4324056478574815,0.6216979771777407,0.7841388642214981,0.6135016274771743,0.8323592684328062
CPVAE,6,0.4027843321971575,0.6346529226255541,0.44834044849311344,0.6346529226255541,0.7764615436239277,0.5977835540509082,0.8484249992287608
