Model,Program,Time,Space,Value
CPVAE,CPVAE2,12h,SI8,0.0025235382
CPVAE,CPVAE2,12h,SI9,0.0023528324
CPVAE,CPVAE2,12h,ce,0.0029769144
CPVAE,CPVAE2,12h,co,0.0043465174
CPVAE,CPVAE2,24h,st,-0.0044499505
CPVAE,CPVAE2,24h,SI1,0.0003097615
CPVAE,CPVAE2,24h,SI2,-0.002418919
CPVAE,CPVAE2,24h,SI3,-0.0012149162
CPVAE,CPVAE2,24h,SI4,-0.0014195215
CPVAE,CPVAE2,24h,SI5,-0.00058585417
CPVAE,CPVAE2,24h,SI6,0.00023616152
CPVAE,CPVAE2,24h,SI7,0.0005510725
CPVAE,CPVAE2,24h,SI8,0.0004988919
CPVAE,CPVAE2,24h,SI9,0.0004651442
CPVAE,CPVAE2,24h,ce,0.00058852235
CPVAE,CPVAE2,24h,co,0.0008592866
CPVAE,CPVAE3,1h,st,0.016857957
CPVAE,CPVAE3,1h,SI1,0.011425633
CPVAE,CPVAE3,1h,SI2,-0.010098203
CPVAE,CPVAE3,1h,SI3,-0.011666399
CPVAE,CPVAE3,1h,SI4,-0.02093549
CPVAE,CPVAE3,1h,SI5,-0.025222259
CPVAE,CPVAE3,1h,SI6,-0.011364573
CPVAE,CPVAE3,1h,SI7,-0.0111673195
CPVAE,CPVAE3,1h,SI8,-0.0044596423
CPVAE,CPVAE3,1h,SI9,0.002636408
CPVAE,CPVAE3,1h,ce,-0.00022378855
CPVAE,CPVAE3,1h,co,0.0048905164
CPVAE,CPVAE3,3h,st,-0.101292245
CPVAE,CPVAE3,3h,SI1,-0.06865173
CPVAE,CPVAE3,3h,SI2,0.060675777
CPVAE,CPVAE3,3h,SI3,0.07009839
CPVAE,CPVAE3,3h,SI4,0.1257924
CPVAE,CPVAE3,3h,SI5,0.15154974
CPVAE,CPVAE3,3h,SI6,0.06828485
CPVAE,CPVAE3,3h,SI7,0.06709964
CPVAE,CPVAE3,3h,SI8,0.026796078
CPVAE,CPVAE3,3h,SI9,-0.015841046
CPVAE,CPVAE3,3h,ce,0.0013446495
CPVAE,CPVAE3,3h,co,-0.02938502
CPVAE,CPVAE3,6h,st,-0.059349563
CPVAE,CPVAE3,6h,SI1,-0.0402247
CPVAE,CPVAE3,6h,SI2,0.0355514
CPVAE,CPVAE3,6h,SI3,0.041072335
CPVAE,CPVAE3,6h,SI4,0.073704794
CPVAE,CPVAE3,6h,SI5,0.088796645
CPVAE,CPVAE3,6h,SI6,0.040009737
CPVAE,CPVAE3,6h,SI7,0.039315294
CPVAE,CPVAE3,6h,SI8,0.015700467
CPVAE,CPVAE3,6h,SI9,-0.00928165
CPVAE,CPVAE3,6h,ce,0.0007878625
CPVAE,CPVAE3,6h,co,-0.01721739
CPVAE,CPVAE3,12h,st,-0.01918479
CPVAE,CPVAE3,12h,SI1,-0.013002665
CPVAE,CPVAE3,12h,SI2,0.011492017
CPVAE,CPVAE3,12h,SI3,0.013276664
CPVAE,CPVAE3,12h,SI4,0.02382513
CPVAE,CPVAE3,12h,SI5,0.028703582
CPVAE,CPVAE3,12h,SI6,0.012933177
CPVAE,CPVAE3,12h,SI7,0.0127086975
CPVAE,CPVAE3,12h,SI8,0.005075188
CPVAE,CPVAE3,12h,SI9,-0.0030003004
CPVAE,CPVAE3,12h,ce,0.00025467714
CPVAE,CPVAE3,12h,co,-0.005565534
CPVAE,CPVAE3,24h,st,0.021149667
CPVAE,CPVAE3,24h,SI1,0.014334377
CPVAE,CPVAE3,24h,SI2,-0.01266901
CPVAE,CPVAE3,24h,SI3,-0.014636438
CPVAE,CPVAE3,24h,SI4,-0.026265262
CPVAE,CPVAE3,24h,SI5,-0.031643357
CPVAE,CPVAE3,24h,SI6,-0.014257773
CPVAE,CPVAE3,24h,SI7,-0.014010303
CPVAE,CPVAE3,24h,SI8,-0.0055949804
CPVAE,CPVAE3,24h,SI9,0.0033075863
CPVAE,CPVAE3,24h,ce,-0.00028076078
CPVAE,CPVAE3,24h,co,0.006135547
CPVAE,CPVAE4,1h,st,-0.009210946
CPVAE,CPVAE4,1h,SI1,0.080987394
CPVAE,CPVAE4,1h,SI2,-0.0018667614
CPVAE,CPVAE4,1h,SI3,0.011781409
CPVAE,CPVAE4,1h,SI4,-0.0009832642
CPVAE,CPVAE4,1h,SI5,-0.014926476
