Set,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
CPVAE_top50_advantage_genes,GO:0044780,bacterial-type flagellum assembly,BP,2,13,33,13.132867132867132,0.009577554531237332,N900_RS03440/N900_RS03800,0.13408576343732265,0.8726173309391035,1.1183595504650303
CPVAE_top50_advantage_genes,GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2,18,33,9.484848484848486,0.018113030796344437,N900_RS03440/N900_RS03800,0.12679121557441106,0.8969108344646524,0.977030397668561
CPVAE_top50_advantage_genes,GO:0004888,transmembrane signaling receptor activity,MF,2,22,33,7.760330578512397,0.02656216835894414,N900_RS00510/N900_RS07280,0.12395678567507264,0.9067296939822723,0.8898802219496609
CPVAE_top50_advantage_genes,GO:0016887,ATP hydrolysis activity,MF,3,126,33,2.0324675324675328,0.18123877243512918,N900_RS01480/N900_RS02595/N900_RS11035,0.6343357035229521,0.1976808436922068,0.30802361670998546
CPVAE_top50_advantage_genes,GO:0006935,chemotaxis,BP,2,69,33,2.474308300395257,0.19284320227266152,N900_RS00510/N900_RS07280,0.5399609663634523,0.26763763407643465,0.39345381203461177
CPVAE_top50_advantage_genes,GO:0007165,signal transduction,BP,2,76,33,2.246411483253589,0.22309256973917646,N900_RS00510/N900_RS07280,0.5205493293914117,0.283538108675318,0.3514893104910758
CPVAE_top50_advantage_genes,GO:0016020,membrane,CC,5,310,33,1.3768328445747802,0.2945441384859844,N900_RS03440/N900_RS05165/N900_RS06450/N900_RS07280/N900_RS14120,0.5890882769719686,0.22981961976450496,0.13888121760963204
CPVAE_top50_advantage_genes,GO:0003700,DNA-binding transcription factor activity,MF,2,126,33,1.3549783549783552,0.4386686084918998,N900_RS14160/N900_RS17685,0.7676700648608247,0.11482539428859917,0.13193235765430425
CPVAE_top50_advantage_genes,GO:0005886,plasma membrane,CC,8,661,33,1.033145372025856,0.52556720685728,N900_RS00510/N900_RS05560/N900_RS07425/N900_RS08580/N900_RS10060/N900_RS11035/N900_RS11630/N900_RS16415,0.8175489884446577,0.08748621447959559,0.014161434614189214
CPVAE_top50_advantage_genes,GO:0003677,DNA binding,MF,2,172,33,0.992600422832981,0.6081604312372364,N900_RS10060/N900_RS14160,0.851424603732131,0.06985380411106645,-0.0032255441356818285
CPVAE_top50_advantage_genes,GO:0005524,ATP binding,MF,4,355,33,0.9618437900128041,0.6128213071459863,N900_RS01480/N900_RS02595/N900_RS10180/N900_RS11035,0.7799543909130734,0.10793079263504693,-0.016895454619245832
CPVAE_top50_advantage_genes,GO:0046872,metal ion binding,MF,3,290,33,0.8830721003134797,0.6759235152973924,N900_RS07840/N900_RS08725/N900_RS15155,0.7885774345136244,0.103155654610538,-0.054003836071407726
CPVAE_top50_advantage_genes,GO:0005737,cytoplasm,CC,4,433,33,0.7885786269158094,0.7699812938991194,N900_RS04065/N900_RS10975/N900_RS11035/N900_RS11170,0.8292106241990516,0.08133514217698991,-0.10315499791751716
CPVAE_top50_advantage_genes,GO:0005829,cytosol,CC,2,420,33,0.40649350649350646,0.9677856609817035,N900_RS15155/N900_RS15300,0.9677856609817035,0.014220816824062649,-0.3909463876260334
