Gene,Gene_label,Model,Time,Space,Raw_fitness
N900_RS00365,mdtL_1,Observed,1h,st,0.38053
N900_RS00365,mdtL_1,Observed,1h,SI1,1.046
N900_RS00365,mdtL_1,Observed,1h,SI2,1.0636
N900_RS00365,mdtL_1,Observed,1h,SI3,1.4308
N900_RS00365,mdtL_1,Observed,1h,SI4,0.79255
N900_RS00365,mdtL_1,Observed,1h,SI5,0.68461
N900_RS00365,mdtL_1,Observed,1h,SI6,0.3820099999999999
N900_RS00365,mdtL_1,Observed,1h,SI7,0.2639
N900_RS00365,mdtL_1,Observed,1h,SI8,0.4910399999999999
N900_RS00365,mdtL_1,Observed,1h,SI9,0.94944
N900_RS00365,mdtL_1,Observed,1h,ce,1.8793
N900_RS00365,mdtL_1,Observed,1h,co,3.1319
N900_RS00365,mdtL_1,Observed,3h,st,0.4622699999999999
N900_RS00365,mdtL_1,Observed,3h,SI1,4.334
N900_RS00365,mdtL_1,Observed,3h,SI2,0.3930100000000001
N900_RS00365,mdtL_1,Observed,3h,SI3,0.36954
N900_RS00365,mdtL_1,Observed,3h,SI4,0.5051400000000001
N900_RS00365,mdtL_1,Observed,3h,SI5,0.3434900000000001
N900_RS00365,mdtL_1,Observed,3h,SI6,0.95688
N900_RS00365,mdtL_1,Observed,3h,SI7,3.1421
N900_RS00365,mdtL_1,Observed,3h,SI8,1.332
N900_RS00365,mdtL_1,Observed,3h,SI9,1.2672
N900_RS00365,mdtL_1,Observed,3h,ce,0.47985
N900_RS00365,mdtL_1,Observed,3h,co,0.48262
N900_RS00365,mdtL_1,Observed,6h,st,0.3883099999999999
N900_RS00365,mdtL_1,Observed,6h,SI1,2.623
N900_RS00365,mdtL_1,Observed,6h,SI2,3.2392
N900_RS00365,mdtL_1,Observed,6h,SI3,3.5084
N900_RS00365,mdtL_1,Observed,6h,SI4,3.7678
N900_RS00365,mdtL_1,Observed,6h,SI5,3.3166
N900_RS00365,mdtL_1,Observed,6h,SI6,1.2813
N900_RS00365,mdtL_1,Observed,6h,SI7,0.54318
N900_RS00365,mdtL_1,Observed,6h,SI8,0.94348
N900_RS00365,mdtL_1,Observed,6h,SI9,0.81329
N900_RS00365,mdtL_1,Observed,6h,ce,6.1683
N900_RS00365,mdtL_1,Observed,6h,co,0.65952
N900_RS00365,mdtL_1,Observed,12h,st,3.1114000000000006
N900_RS00365,mdtL_1,Observed,12h,SI1,4.928
N900_RS00365,mdtL_1,Observed,12h,SI2,1.5125
N900_RS00365,mdtL_1,Observed,12h,SI3,1.1226
N900_RS00365,mdtL_1,Observed,12h,SI4,1.3808
N900_RS00365,mdtL_1,Observed,12h,SI5,1.1239
N900_RS00365,mdtL_1,Observed,12h,SI6,0.5862799999999999
N900_RS00365,mdtL_1,Observed,12h,SI7,0.7398
N900_RS00365,mdtL_1,Observed,12h,SI8,1.113
N900_RS00365,mdtL_1,Observed,12h,SI9,0.6063
N900_RS00365,mdtL_1,Observed,12h,ce,1.9078
N900_RS00365,mdtL_1,Observed,12h,co,2.4426
N900_RS00365,mdtL_1,Observed,24h,st,2.3766
N900_RS00365,mdtL_1,Observed,24h,SI1,0.99302
N900_RS00365,mdtL_1,Observed,24h,SI2,1.0136
N900_RS00365,mdtL_1,Observed,24h,SI3,1.0302
N900_RS00365,mdtL_1,Observed,24h,SI4,0.90953
N900_RS00365,mdtL_1,Observed,24h,SI5,1.0879
N900_RS00365,mdtL_1,Observed,24h,SI6,0.99459
N900_RS00365,mdtL_1,Observed,24h,SI7,0.88842
N900_RS00365,mdtL_1,Observed,24h,SI8,0.71457
N900_RS00365,mdtL_1,Observed,24h,SI9,0.6400000000000001
N900_RS00365,mdtL_1,Observed,24h,ce,0.59177
N900_RS00365,mdtL_1,Observed,24h,co,0.78588
N900_RS00365,mdtL_1,PCA,1h,st,0.512976908726319
N900_RS00365,mdtL_1,PCA,1h,SI1,2.189765832862157
N900_RS00365,mdtL_1,PCA,1h,SI2,1.4736447466819462
N900_RS00365,mdtL_1,PCA,1h,SI3,0.8242223957795306
N900_RS00365,mdtL_1,PCA,1h,SI4,0.649719828582262
N900_RS00365,mdtL_1,PCA,1h,SI5,0.5532557318189852
N900_RS00365,mdtL_1,PCA,1h,SI6,0.4897068420062069
N900_RS00365,mdtL_1,PCA,1h,SI7,0.5598232202801745
N900_RS00365,mdtL_1,PCA,1h,SI8,0.442994725749956
N900_RS00365,mdtL_1,PCA,1h,SI9,0.6485758700510675
N900_RS00365,mdtL_1,PCA,1h,ce,1.649628646279539
N900_RS00365,mdtL_1,PCA,1h,co,2.1117775787914788
N900_RS00365,mdtL_1,PCA,3h,st,0.6637776791786371
N900_RS00365,mdtL_1,PCA,3h,SI1,4.595017413396891
N900_RS00365,mdtL_1,PCA,3h,SI2,0.9229055282885904
N900_RS00365,mdtL_1,PCA,3h,SI3,0.987371680319808
N900_RS00365,mdtL_1,PCA,3h,SI4,-0.8944433269053438
N900_RS00365,mdtL_1,PCA,3h,SI5,2.169477040112233
N900_RS00365,mdtL_1,PCA,3h,SI6,2.0396301893622053
N900_RS00365,mdtL_1,PCA,3h,SI7,2.53000914455777
N900_RS00365,mdtL_1,PCA,3h,SI8,2.0570846515057912
N900_RS00365,mdtL_1,PCA,3h,SI9,1.932275035939483
N900_RS00365,mdtL_1,PCA,3h,ce,0.851566385719992
N900_RS00365,mdtL_1,PCA,3h,co,0.7126056014535173
N900_RS00365,mdtL_1,PCA,6h,st,1.0388937446070503
N900_RS00365,mdtL_1,PCA,6h,SI1,2.192587176699901
N900_RS00365,mdtL_1,PCA,6h,SI2,3.4127247068353745
N900_RS00365,mdtL_1,PCA,6h,SI3,3.2739831950091265
N900_RS00365,mdtL_1,PCA,6h,SI4,2.879796486049106
N900_RS00365,mdtL_1,PCA,6h,SI5,2.4519289475855324
N900_RS00365,mdtL_1,PCA,6h,SI6,1.2280807853684856
N900_RS00365,mdtL_1,PCA,6h,SI7,1.0945187941065084
N900_RS00365,mdtL_1,PCA,6h,SI8,1.2938229539559194
N900_RS00365,mdtL_1,PCA,6h,SI9,1.2282230449860947
N900_RS00365,mdtL_1,PCA,6h,ce,2.1894265742545893
N900_RS00365,mdtL_1,PCA,6h,co,1.3526449844529294
N900_RS00365,mdtL_1,PCA,12h,st,1.1619521063350169
N900_RS00365,mdtL_1,PCA,12h,SI1,2.8971654708396617
N900_RS00365,mdtL_1,PCA,12h,SI2,2.946738790118198
N900_RS00365,mdtL_1,PCA,12h,SI3,2.800815465944268
N900_RS00365,mdtL_1,PCA,12h,SI4,2.075954905785723
N900_RS00365,mdtL_1,PCA,12h,SI5,1.3245669884569675
N900_RS00365,mdtL_1,PCA,12h,SI6,1.0877221943701567
N900_RS00365,mdtL_1,PCA,12h,SI7,1.0401019204631086
N900_RS00365,mdtL_1,PCA,12h,SI8,1.2994048797658002
N900_RS00365,mdtL_1,PCA,12h,SI9,1.2113349206285609
N900_RS00365,mdtL_1,PCA,12h,ce,1.5032949339693515
N900_RS00365,mdtL_1,PCA,12h,co,1.240255161198344
N900_RS00365,mdtL_1,PCA,24h,st,1.2739013538143409
N900_RS00365,mdtL_1,PCA,24h,SI1,1.391383333042875
N900_RS00365,mdtL_1,PCA,24h,SI2,1.1739954914770323
N900_RS00365,mdtL_1,PCA,24h,SI3,1.081944994272479
N900_RS00365,mdtL_1,PCA,24h,SI4,0.9325231498902028
N900_RS00365,mdtL_1,PCA,24h,SI5,0.9281683429120928
N900_RS00365,mdtL_1,PCA,24h,SI6,0.8855406305062052
N900_RS00365,mdtL_1,PCA,24h,SI7,0.8157798732752586
N900_RS00365,mdtL_1,PCA,24h,SI8,0.7557869523991644
N900_RS00365,mdtL_1,PCA,24h,SI9,0.7243451337685386
N900_RS00365,mdtL_1,PCA,24h,ce,0.6957105064600035
N900_RS00365,mdtL_1,PCA,24h,co,0.858831755856847
N900_RS00365,mdtL_1,CP,1h,st,0.5498635373716639
N900_RS00365,mdtL_1,CP,1h,SI1,1.981258998301911
N900_RS00365,mdtL_1,CP,1h,SI2,1.403116928713654
N900_RS00365,mdtL_1,CP,1h,SI3,0.9202318862358578
N900_RS00365,mdtL_1,CP,1h,SI4,0.7171798959083353
N900_RS00365,mdtL_1,CP,1h,SI5,0.6083073533302803
N900_RS00365,mdtL_1,CP,1h,SI6,0.6435791860060481
N900_RS00365,mdtL_1,CP,1h,SI7,0.6670804615783102
N900_RS00365,mdtL_1,CP,1h,SI8,0.7200568134707862
N900_RS00365,mdtL_1,CP,1h,SI9,0.8452705440067786
N900_RS00365,mdtL_1,CP,1h,ce,1.6105458800370172
N900_RS00365,mdtL_1,CP,1h,co,1.658537368103132
N900_RS00365,mdtL_1,CP,3h,st,0.5847689078207073
N900_RS00365,mdtL_1,CP,3h,SI1,4.536308896854839
N900_RS00365,mdtL_1,CP,3h,SI2,0.2500243258048187
N900_RS00365,mdtL_1,CP,3h,SI3,0.2397263313806827
N900_RS00365,mdtL_1,CP,3h,SI4,0.3203291100961092
N900_RS00365,mdtL_1,CP,3h,SI5,1.5855058038039611
N900_RS00365,mdtL_1,CP,3h,SI6,1.5085833411101
N900_RS00365,mdtL_1,CP,3h,SI7,1.800014858086554
N900_RS00365,mdtL_1,CP,3h,SI8,1.5987341862957989
N900_RS00365,mdtL_1,CP,3h,SI9,1.7737938338749262
N900_RS00365,mdtL_1,CP,3h,ce,0.5846693705503008
N900_RS00365,mdtL_1,CP,3h,co,0.6791103528407983
N900_RS00365,mdtL_1,CP,6h,st,-0.054362434417247
N900_RS00365,mdtL_1,CP,6h,SI1,3.064072691700217
N900_RS00365,mdtL_1,CP,6h,SI2,3.880582082556875
N900_RS00365,mdtL_1,CP,6h,SI3,3.644583217290031
N900_RS00365,mdtL_1,CP,6h,SI4,3.4030472337561815
N900_RS00365,mdtL_1,CP,6h,SI5,2.3157245178500143
N900_RS00365,mdtL_1,CP,6h,SI6,1.369157447802197
N900_RS00365,mdtL_1,CP,6h,SI7,1.223990634337468
N900_RS00365,mdtL_1,CP,6h,SI8,1.435913359475682
N900_RS00365,mdtL_1,CP,6h,SI9,1.2911452862850383
N900_RS00365,mdtL_1,CP,6h,ce,1.766019237260961
N900_RS00365,mdtL_1,CP,6h,co,1.2936552533001775
N900_RS00365,mdtL_1,CP,12h,st,1.5130610253733583
N900_RS00365,mdtL_1,CP,12h,SI1,2.8431867482517688
N900_RS00365,mdtL_1,CP,12h,SI2,2.803998497201489
N900_RS00365,mdtL_1,CP,12h,SI3,2.5101029028368003
N900_RS00365,mdtL_1,CP,12h,SI4,1.9597201060782703
N900_RS00365,mdtL_1,CP,12h,SI5,1.3139904708652794
N900_RS00365,mdtL_1,CP,12h,SI6,0.991594806754989
N900_RS00365,mdtL_1,CP,12h,SI7,0.9217905067434864
N900_RS00365,mdtL_1,CP,12h,SI8,1.0330081267537925
N900_RS00365,mdtL_1,CP,12h,SI9,1.0091235085887993
N900_RS00365,mdtL_1,CP,12h,ce,1.258302867323699
N900_RS00365,mdtL_1,CP,12h,co,1.1910155742291932
N900_RS00365,mdtL_1,CP,24h,st,1.4462864770558348
N900_RS00365,mdtL_1,CP,24h,SI1,1.3913547646206406
N900_RS00365,mdtL_1,CP,24h,SI2,1.331124614637239
N900_RS00365,mdtL_1,CP,24h,SI3,1.3078744339985628
N900_RS00365,mdtL_1,CP,24h,SI4,1.0935772238893755
N900_RS00365,mdtL_1,CP,24h,SI5,1.0103120477511327
N900_RS00365,mdtL_1,CP,24h,SI6,0.9980840645103785
N900_RS00365,mdtL_1,CP,24h,SI7,0.9941581750818668
N900_RS00365,mdtL_1,CP,24h,SI8,1.0315529642983412
N900_RS00365,mdtL_1,CP,24h,SI9,1.0465884068267712
N900_RS00365,mdtL_1,CP,24h,ce,1.1178174260221236
N900_RS00365,mdtL_1,CP,24h,co,1.1813467411824865
N900_RS00365,mdtL_1,VAE,1h,st,1.109097121433936
N900_RS00365,mdtL_1,VAE,1h,SI1,2.0904704492083885
N900_RS00365,mdtL_1,VAE,1h,SI2,1.451330114315459
N900_RS00365,mdtL_1,VAE,1h,SI3,0.9607420597712212
N900_RS00365,mdtL_1,VAE,1h,SI4,0.8934142660640656
N900_RS00365,mdtL_1,VAE,1h,SI5,0.8309486447458224
N900_RS00365,mdtL_1,VAE,1h,SI6,0.8438278535900177
N900_RS00365,mdtL_1,VAE,1h,SI7,0.830949391697882
N900_RS00365,mdtL_1,VAE,1h,SI8,0.8033063019204066
N900_RS00365,mdtL_1,VAE,1h,SI9,0.9312762575780018
N900_RS00365,mdtL_1,VAE,1h,ce,1.577123603396127
N900_RS00365,mdtL_1,VAE,1h,co,1.6176353233092535
N900_RS00365,mdtL_1,VAE,3h,st,0.9758385958042272
N900_RS00365,mdtL_1,VAE,3h,SI1,2.596677768508041
N900_RS00365,mdtL_1,VAE,3h,SI2,2.2868091136157425
N900_RS00365,mdtL_1,VAE,3h,SI3,2.0701219812017904
N900_RS00365,mdtL_1,VAE,3h,SI4,2.2773751091034695
N900_RS00365,mdtL_1,VAE,3h,SI5,2.4928199108519573
N900_RS00365,mdtL_1,VAE,3h,SI6,1.6758443449470737
N900_RS00365,mdtL_1,VAE,3h,SI7,1.872806639628956
N900_RS00365,mdtL_1,VAE,3h,SI8,1.619380446079811
N900_RS00365,mdtL_1,VAE,3h,SI9,1.2999381159770025
N900_RS00365,mdtL_1,VAE,3h,ce,0.8830699884244072
N900_RS00365,mdtL_1,VAE,3h,co,0.7899221908315502
N900_RS00365,mdtL_1,VAE,6h,st,1.5178128461442542
N900_RS00365,mdtL_1,VAE,6h,SI1,2.194626714212266
N900_RS00365,mdtL_1,VAE,6h,SI2,2.246364871484296
N900_RS00365,mdtL_1,VAE,6h,SI3,2.2770994837934913
N900_RS00365,mdtL_1,VAE,6h,SI4,2.478070968959869
N900_RS00365,mdtL_1,VAE,6h,SI5,2.0428985290913775
N900_RS00365,mdtL_1,VAE,6h,SI6,1.137282629123264
N900_RS00365,mdtL_1,VAE,6h,SI7,1.019859057658843
N900_RS00365,mdtL_1,VAE,6h,SI8,1.0954763012374042
N900_RS00365,mdtL_1,VAE,6h,SI9,0.9485887762861116
N900_RS00365,mdtL_1,VAE,6h,ce,1.48255206382479
N900_RS00365,mdtL_1,VAE,6h,co,1.2228601609614638
N900_RS00365,mdtL_1,VAE,12h,st,1.3524631312223765
N900_RS00365,mdtL_1,VAE,12h,SI1,2.310567268383831
N900_RS00365,mdtL_1,VAE,12h,SI2,2.392140483599724
N900_RS00365,mdtL_1,VAE,12h,SI3,2.101866323305102
N900_RS00365,mdtL_1,VAE,12h,SI4,1.703864159995789
N900_RS00365,mdtL_1,VAE,12h,SI5,1.243063309444874
N900_RS00365,mdtL_1,VAE,12h,SI6,0.9513139561802192
N900_RS00365,mdtL_1,VAE,12h,SI7,0.9035302751543218
N900_RS00365,mdtL_1,VAE,12h,SI8,1.1420139541851424
N900_RS00365,mdtL_1,VAE,12h,SI9,1.0095806611908382
N900_RS00365,mdtL_1,VAE,12h,ce,1.2534625067347118
N900_RS00365,mdtL_1,VAE,12h,co,1.050471393915888
N900_RS00365,mdtL_1,VAE,24h,st,1.528916503258366
N900_RS00365,mdtL_1,VAE,24h,SI1,1.591168953795711
N900_RS00365,mdtL_1,VAE,24h,SI2,1.372077513418638
N900_RS00365,mdtL_1,VAE,24h,SI3,1.3415007694272316
N900_RS00365,mdtL_1,VAE,24h,SI4,1.1808230062153977
N900_RS00365,mdtL_1,VAE,24h,SI5,1.1181206757894793
N900_RS00365,mdtL_1,VAE,24h,SI6,1.0152008031821915
N900_RS00365,mdtL_1,VAE,24h,SI7,1.0319623327035652
N900_RS00365,mdtL_1,VAE,24h,SI8,1.0302257438602886
N900_RS00365,mdtL_1,VAE,24h,SI9,1.0440795757518009
N900_RS00365,mdtL_1,VAE,24h,ce,1.0139561196177398
N900_RS00365,mdtL_1,VAE,24h,co,1.062741762136334
N900_RS00365,mdtL_1,CPVAE,1h,st,-0.0266089759454972
N900_RS00365,mdtL_1,CPVAE,1h,SI1,1.103915216215928
N900_RS00365,mdtL_1,CPVAE,1h,SI2,0.8192914494710712
N900_RS00365,mdtL_1,CPVAE,1h,SI3,0.8596396335676577
N900_RS00365,mdtL_1,CPVAE,1h,SI4,0.3865505252944703
N900_RS00365,mdtL_1,CPVAE,1h,SI5,0.5069983375838455
N900_RS00365,mdtL_1,CPVAE,1h,SI6,0.7453628404135629
N900_RS00365,mdtL_1,CPVAE,1h,SI7,0.493153431769445
N900_RS00365,mdtL_1,CPVAE,1h,SI8,0.6193910935581061
N900_RS00365,mdtL_1,CPVAE,1h,SI9,0.9697445874262878
N900_RS00365,mdtL_1,CPVAE,1h,ce,2.325783279398764
N900_RS00365,mdtL_1,CPVAE,1h,co,2.2684408155190443
N900_RS00365,mdtL_1,CPVAE,3h,st,0.7583647361335414
N900_RS00365,mdtL_1,CPVAE,3h,SI1,4.301653285072533
N900_RS00365,mdtL_1,CPVAE,3h,SI2,0.5545422843462261
N900_RS00365,mdtL_1,CPVAE,3h,SI3,0.7606112691478811
N900_RS00365,mdtL_1,CPVAE,3h,SI4,0.5449652385145473
N900_RS00365,mdtL_1,CPVAE,3h,SI5,0.942899578576852
N900_RS00365,mdtL_1,CPVAE,3h,SI6,1.6472847823401182
N900_RS00365,mdtL_1,CPVAE,3h,SI7,2.247023608505624
N900_RS00365,mdtL_1,CPVAE,3h,SI8,2.0583301851659064
N900_RS00365,mdtL_1,CPVAE,3h,SI9,1.9914802540388556
N900_RS00365,mdtL_1,CPVAE,3h,ce,1.0352921329422853
N900_RS00365,mdtL_1,CPVAE,3h,co,0.8316360273786346
N900_RS00365,mdtL_1,CPVAE,6h,st,0.2623981295704893
N900_RS00365,mdtL_1,CPVAE,6h,SI1,2.8480555954242477
N900_RS00365,mdtL_1,CPVAE,6h,SI2,3.7618456718871744
N900_RS00365,mdtL_1,CPVAE,6h,SI3,3.424796551975491
N900_RS00365,mdtL_1,CPVAE,6h,SI4,3.940083073559124
N900_RS00365,mdtL_1,CPVAE,6h,SI5,2.5390159826228578
N900_RS00365,mdtL_1,CPVAE,6h,SI6,1.098357780849975
N900_RS00365,mdtL_1,CPVAE,6h,SI7,0.9121349761424654
N900_RS00365,mdtL_1,CPVAE,6h,SI8,0.9636369471732612
N900_RS00365,mdtL_1,CPVAE,6h,SI9,0.972719286655892
N900_RS00365,mdtL_1,CPVAE,6h,ce,7.622176976774531
N900_RS00365,mdtL_1,CPVAE,6h,co,1.1866457963005104
N900_RS00365,mdtL_1,CPVAE,12h,st,2.7793253992252636
N900_RS00365,mdtL_1,CPVAE,12h,SI1,3.664245330414869
N900_RS00365,mdtL_1,CPVAE,12h,SI2,2.6918925691877216
N900_RS00365,mdtL_1,CPVAE,12h,SI3,2.4142793956930935
N900_RS00365,mdtL_1,CPVAE,12h,SI4,1.839788258745252
N900_RS00365,mdtL_1,CPVAE,12h,SI5,0.8713893388549857
N900_RS00365,mdtL_1,CPVAE,12h,SI6,0.709596534945538
N900_RS00365,mdtL_1,CPVAE,12h,SI7,0.7266826898319975
N900_RS00365,mdtL_1,CPVAE,12h,SI8,1.0094609621232935
N900_RS00365,mdtL_1,CPVAE,12h,SI9,0.8982297912968583
N900_RS00365,mdtL_1,CPVAE,12h,ce,1.2800131231036729
N900_RS00365,mdtL_1,CPVAE,12h,co,0.9736034164611927
N900_RS00365,mdtL_1,CPVAE,24h,st,1.6285933527824532
N900_RS00365,mdtL_1,CPVAE,24h,SI1,1.3002761397946567
N900_RS00365,mdtL_1,CPVAE,24h,SI2,1.1916800104225411
N900_RS00365,mdtL_1,CPVAE,24h,SI3,1.007606354854606
