Model,Rank,MSE,RMSE,MAE,NRMSE_by_observed_sd,Pearson_r_observed_vs_reconstructed,Explained_variance,Strong_signal_ROC_AUC,NRMSE_by_observed_sd_scaled_for_selection,Pearson_r_observed_vs_reconstructed_scaled_for_selection,Explained_variance_scaled_for_selection,Strong_signal_ROC_AUC_scaled_for_selection,Composite_CP_VAE_rank_score
CPVAE,2,0.6084570956012311,0.7800365988857388,0.5519460401648659,0.7800365988857388,0.6525726266071055,0.3957228762150375,0.8093716703627816,0.0,0.0,0.0,0.0,0.0
CPVAE,3,0.5766066735460158,0.7593462145464451,0.5360340908774825,0.7593462145464451,0.6765024648010972,0.4277794313706488,0.8145743513861676,0.1139119592783219,0.1531887940770401,0.12982519146469682,0.08349375010857651,0.12010492373215884
CPVAE,4,0.5378109854296859,0.7333559745646625,0.5200893674881026,0.7333559745646625,0.7002782145304268,0.4653655645723438,0.8169239087222364,0.25700254231868025,0.30539117838852226,0.28204450871948633,0.12119995431400454,0.24140954593517333
CPVAE,5,0.5120528631884675,0.7155786911224142,0.510110284671353,0.7155786911224142,0.7159191555639284,0.4905673146506397,0.819249381020364,0.3548762770132431,0.40551792708311996,0.38410856436357793,0.1585196366223231,0.325755601270566
CPVAE,6,0.4471370306961504,0.6686830569830152,0.475968344065041,0.6686830569830152,0.7556868581327117,0.5544836627914147,0.8386304324614039,0.6130625667803793,0.6600940905465191,0.6429620841762903,0.4695509411720067,0.5964174206687989
CPVAE,7,0.4216995644413848,0.64938398843934,0.4628216639361773,0.64938398843934,0.7707292798886242,0.5795833727896539,0.8522375060755809,0.7193145664535628,0.756389369691575,0.7446128897732035,0.6879202009717723,0.7270592567225284
CPVAE,8,0.3857576190653352,0.6210938890903172,0.4439166630831871,0.6210938890903172,0.7921833122536939,0.6150875677480454,0.8612582959581854,0.875067141764862,0.8937290925702691,0.8884006076330331,0.8326877876938121,0.8724711574154942
CPVAE,9,0.3695468111477907,0.6079036199495695,0.4384492727735278,0.6079036199495695,0.8024845142395823,0.6309131548597093,0.8698670009737339,0.9476868368169955,0.9596730700000234,0.9524923313644076,0.9708421473587185,0.9576735963850362
CPVAE,10,0.3580846246752605,0.5984017251606654,0.4282909293767207,0.5984017251606654,0.8087840410135483,0.6426437919013308,0.8716838915364672,1.0,1.0,1.0,1.0,1.0
