Model,MSE,RMSE,MAE,R2_reconstruction
PCA_5_components,0.47872763796317863,0.69190146550154,0.4852163506272469,0.5212723620368214
Tensor_CP_rank_5,0.5113449414154283,0.7150838701966562,0.5008374355317549,0.4886550585845718
VAE_latent_dim_4,0.4845701415930725,0.6961107250955645,0.48163814529715704,0.5154298584069276
