Program,Program_number,Space,mean_abs_loading,signed_mean_loading,max_abs_loading,Niche,Peak_space,Peak_niche,Peak_mean_abs_loading
CPVAE1,1,SI1,0.06808318160474298,-0.0020769599825143786,0.0957277342677116,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI2,0.051811967790126756,-0.0015805870294571204,0.0728497430682182,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI3,0.02438079752027984,-0.0007437657564878795,0.0342803969979286,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI4,0.04392984192818398,-0.0013401331380009796,0.0617671534419059,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI5,0.040946672670543124,-0.0012491272762418005,0.0575726926326751,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI6,0.02715679937973614,-0.0008284515701234201,0.038183569908142,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI7,0.032409732043743075,-0.000988698005676279,0.0455694086849689,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI8,0.02083945488557214,-0.0006357328034937405,0.0293011255562305,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,SI9,0.025430925562977758,-0.0007758010178804392,0.0357569195330143,small_intestine,SI1,small_intestine,0.06808318160474298
CPVAE1,1,ce,0.039590049721300556,-0.00120774265378716,0.0556652285158634,cecum,SI1,small_intestine,0.06808318160474298
CPVAE1,1,co,0.028077987488359164,-0.0008565523661673204,0.0394787974655628,colon,SI1,small_intestine,0.06808318160474298
CPVAE1,1,st,0.050210059806704455,-0.0015317190438509016,0.0705973953008651,stomach,SI1,small_intestine,0.06808318160474298
CPVAE10,10,SI1,0.06090391762554641,0.04170908518135546,0.166724756360054,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI2,0.03084433316253122,-0.02112325378693642,0.0844365060329437,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI3,0.03696088367141778,-0.025312076276168223,0.1011805906891822,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI4,0.01443454925902182,-0.0098852728959173,0.0395146459341049,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI5,0.04240241902880364,-0.029038625629618765,0.1160768195986747,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI6,0.00384229666087772,-0.00263133605476468,0.010518305003643,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI7,0.0045961274998262,-0.0031475852476432796,0.0125819202512502,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI8,0.0010404458138509186,0.0007125328542315213,0.0028482251800596,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,SI9,0.00902302961330856,0.00617927911225708,0.0247005857527256,small_intestine,SI1,small_intestine,0.06090391762554641
CPVAE10,10,ce,0.030479653598740657,0.020873508928343658,0.0834381952881813,cecum,SI1,small_intestine,0.06090391762554641
CPVAE10,10,co,0.01692888017278162,0.01159347568172962,0.0463428869843483,colon,SI1,small_intestine,0.06090391762554641
CPVAE10,10,st,0.014254886819980961,-0.00976223370525984,0.0390228182077407,stomach,SI1,small_intestine,0.06090391762554641
CPVAE2,2,SI1,0.009809426194988142,0.00748268945608286,0.0223474502563476,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI2,0.001101107733848,-0.00083993160951648,0.0025085003580898,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI3,0.04271659413352604,-0.032584474887698875,0.0973152667284011,small_intestine,ce,cecum,0.05641017481684683
