Model,MSE,RMSE,MAE,R2_reconstruction
CPVAE_CP_factorized_branch_only,0.9363824343386952,0.9676685560349139,0.7539559400425335,0.06361756566130505
CPVAE_total_with_constrained_residual,0.40942064312523757,0.6398598620989111,0.45449199095340914,0.5905793568747625
