Model,Rank,Program,Time,Space,Value,Requested_rank,Program_number,Program_label,Abs_value
CP,10,CP1,1h,ce,-0.0067259623253841,8,1,CP 1,0.0067259623253841
CP,10,CP1,1h,co,-0.0058949854112486,8,1,CP 1,0.0058949854112486
CP,10,CP1,3h,st,0.2646273887940125,8,1,CP 1,0.2646273887940125
CP,10,CP1,3h,SI1,0.2500363274432725,8,1,CP 1,0.2500363274432725
CP,10,CP1,3h,SI2,0.199787079073409,8,1,CP 1,0.199787079073409
CP,10,CP1,3h,SI3,0.2211430067372539,8,1,CP 1,0.2211430067372539
CP,10,CP1,3h,SI4,0.0511173045713782,8,1,CP 1,0.0511173045713782
CP,10,CP1,3h,SI5,-0.0777996068096064,8,1,CP 1,0.0777996068096064
CP,10,CP1,3h,SI6,-0.19338025994123,8,1,CP 1,0.19338025994123
CP,10,CP1,3h,SI7,-0.1889435605443397,8,1,CP 1,0.1889435605443397
CP,10,CP1,3h,SI8,-0.1545474636745867,8,1,CP 1,0.1545474636745867
CP,10,CP1,3h,SI9,-0.1430516731671018,8,1,CP 1,0.1430516731671018
CP,10,CP1,3h,ce,-0.1134513688307984,8,1,CP 1,0.1134513688307984
CP,10,CP1,3h,co,-0.0994347175599952,8,1,CP 1,0.0994347175599952
CP,10,CP1,6h,st,0.2576756147839071,8,1,CP 1,0.2576756147839071
CP,10,CP1,6h,SI1,0.2434678613044354,8,1,CP 1,0.2434678613044354
CP,10,CP1,6h,SI2,0.194538663064065,8,1,CP 1,0.194538663064065
CP,10,CP1,6h,SI3,0.2153335694988838,8,1,CP 1,0.2153335694988838
CP,10,CP1,6h,SI4,0.0497744505644463,8,1,CP 1,0.0497744505644463
CP,10,CP1,6h,SI5,-0.0757558074618509,8,1,CP 1,0.0757558074618509
CP,10,CP1,6h,SI6,-0.1883001513732794,8,1,CP 1,0.1883001513732794
CP,10,CP1,6h,SI7,-0.1839800042792271,8,1,CP 1,0.1839800042792271
CP,10,CP1,6h,SI8,-0.1504874944998275,8,1,CP 1,0.1504874944998275
CP,10,CP1,6h,SI9,-0.1392936989522739,8,1,CP 1,0.1392936989522739
CP,10,CP1,6h,ce,-0.1104709960098175,8,1,CP 1,0.1104709960098175
CP,10,CP1,6h,co,-0.0968225628303356,8,1,CP 1,0.0968225628303356
CP,10,CP1,12h,st,0.1876010990609545,8,1,CP 1,0.1876010990609545
CP,10,CP1,12h,SI1,0.1772571238649653,8,1,CP 1,0.1772571238649653
CP,10,CP1,12h,SI2,0.1416341512613579,8,1,CP 1,0.1416341512613579
CP,10,CP1,12h,SI3,0.1567739125667236,8,1,CP 1,0.1567739125667236
CP,10,CP1,12h,SI4,0.0362383597643732,8,1,CP 1,0.0362383597643732
CP,10,CP1,12h,SI5,-0.0551541237303797,8,1,CP 1,0.0551541237303797
CP,10,CP1,12h,SI6,-0.137092193922176,8,1,CP 1,0.137092193922176
CP,10,CP1,12h,SI7,-0.1339469046652594,8,1,CP 1,0.1339469046652594
CP,10,CP1,12h,SI8,-0.1095626351246806,8,1,CP 1,0.1095626351246806
CP,10,CP1,12h,SI9,-0.1014129763021111,8,1,CP 1,0.1014129763021111
CP,10,CP1,12h,ce,-0.0804285662932448,8,1,CP 1,0.0804285662932448
CP,10,CP1,12h,co,-0.0704918050398446,8,1,CP 1,0.0704918050398446
CP,10,CP1,24h,st,0.0610546307448886,8,1,CP 1,0.0610546307448886
CP,10,CP1,24h,SI1,0.0576881921195999,8,1,CP 1,0.0576881921195999
CP,10,CP1,24h,SI2,0.0460947235885768,8,1,CP 1,0.0460947235885768
CP,10,CP1,24h,SI3,0.0510219470467108,8,1,CP 1,0.0510219470467108
CP,10,CP1,24h,SI4,0.0117937458004729,8,1,CP 1,0.0117937458004729
CP,10,CP1,24h,SI5,-0.0179498663668388,8,1,CP 1,0.0179498663668388
CP,10,CP1,24h,SI6,-0.0446165471301719,8,1,CP 1,0.0446165471301719
CP,10,CP1,24h,SI7,-0.0435929152051557,8,1,CP 1,0.0435929152051557
CP,10,CP1,24h,SI8,-0.0356570737829253,8,1,CP 1,0.0356570737829253
CP,10,CP1,24h,SI9,-0.0330047737025983,8,1,CP 1,0.0330047737025983
CP,10,CP1,24h,ce,-0.0261754139019161,8,1,CP 1,0.0261754139019161
CP,10,CP1,24h,co,-0.0229415027352798,8,1,CP 1,0.0229415027352798
VAE,10,VAE1,1h,st,-0.0866248235106468,8,1,VAE 1,0.0866248235106468
