Model,Program,Program_number,Program_label,Space,Strength,Signed_mean,Relative_strength
PCA,PC3,3,PCA 3,SI2,0.5255219397797667,0.4549404479639779,0.7667440042870477
PCA,PC3,3,PCA 3,SI3,0.5606959708559355,0.29046881963068066,0.8180634172226161
PCA,PC3,3,PCA 3,SI4,0.6037484865917886,0.2378710312708669,0.880877651626936
PCA,PC3,3,PCA 3,SI5,0.6645810797782913,0.11445992426089494,0.969633272582611
PCA,PC3,3,PCA 3,SI6,0.4701659842994035,-0.35057817664395213,0.6859788758436256
PCA,PC3,3,PCA 3,SI7,0.5214327408012163,-0.33628647000368694,0.7607778046637661
PCA,PC3,3,PCA 3,SI8,0.38678399459745727,-0.36400851532348366,0.5643233638087061
PCA,PC3,3,PCA 3,SI9,0.40679401350474675,-0.40679401350474675,0.5935182667451361
PCA,PC3,3,PCA 3,ce,0.34072232431427135,-0.2195538742989695,0.4971187300081071
PCA,PC3,3,PCA 3,co,0.4227898571983773,-0.322897588216804,0.6168564308011293
PCA,PC3,3,PCA 3,st,0.29878483333619454,0.21698415440612714,0.43593133262607187
PCA,PC4,4,PCA 4,SI1,0.9001809709700425,0.8508631233110332,1.0
PCA,PC4,4,PCA 4,SI2,0.7268036103643365,0.6044297431606996,0.8073972165631617
PCA,PC4,4,PCA 4,SI3,0.7628683753758104,0.4881345016668052,0.8474611216828292
PCA,PC4,4,PCA 4,SI4,0.610318985048351,0.25150793021699736,0.6779958749746356
PCA,PC4,4,PCA 4,SI5,0.6152955213457216,0.02170875488735451,0.6835242481105483
PCA,PC4,4,PCA 4,SI6,0.5175745768104638,-0.4358915995565333,0.574967249366226
PCA,PC4,4,PCA 4,SI7,0.569782524908945,-0.39771092485610293,0.6329644185823464
PCA,PC4,4,PCA 4,SI8,0.46879994726252505,-0.3935730438420995,0.5207841116185141
PCA,PC4,4,PCA 4,SI9,0.4179759954261401,-0.4054723889698778,0.4643244068753483
PCA,PC4,4,PCA 4,ce,0.46233758417921544,-0.20364351117284105,0.5136051517296535
PCA,PC4,4,PCA 4,co,0.5130130174282458,-0.24673915731764584,0.5698998689956962
PCA,PC4,4,PCA 4,st,0.1499738130269171,-0.13361342752778965,0.16660406947427922
PCA,PC5,5,PCA 5,SI1,0.8607702794929739,0.8607702794929739,1.0
PCA,PC5,5,PCA 5,SI2,0.5514328227243717,0.5065011068440763,0.6406271636715737
PCA,PC5,5,PCA 5,SI3,0.47976049348615063,0.23970356657550732,0.5573618245378402
PCA,PC5,5,PCA 5,SI4,0.5399545614169072,0.19721619343967847,0.6272922918934432
PCA,PC5,5,PCA 5,SI5,0.609284899954187,0.05722306526358778,0.7078368229826415
PCA,PC5,5,PCA 5,SI6,0.4617646947656856,-0.38607768474781523,0.5364552027024938
PCA,PC5,5,PCA 5,SI7,0.5211812898090793,-0.3656665003564866,0.6054824408157711
PCA,PC5,5,PCA 5,SI8,0.4200519301776845,-0.35864912334915966,0.4879953922492664
PCA,PC5,5,PCA 5,SI9,0.37844134459675227,-0.37844134459675227,0.43965428827267183
PCA,PC5,5,PCA 5,ce,0.37274134070973297,-0.22265572900970812,0.43303230791064445
PCA,PC5,5,PCA 5,co,0.4292017083468032,-0.2648244443010281,0.4986251483957127
PCA,PC5,5,PCA 5,st,0.20210957983834682,0.11490061474512658,0.23480083438452007
PCA,PC6,6,PCA 6,SI1,0.7804023522228797,0.7804023522228797,1.0
PCA,PC6,6,PCA 6,SI2,0.497812409137025,0.46535008399184424,0.6378919895859717
PCA,PC6,6,PCA 6,SI3,0.6644628956863745,0.42731716381659357,0.8514363056361043
PCA,PC6,6,PCA 6,SI4,0.42305459357721115,0.06227925551683951,0.5420980502841802
PCA,PC6,6,PCA 6,SI5,0.49890539858804483,-0.01844467430070328,0.6392925356605788
PCA,PC6,6,PCA 6,SI6,0.4463719303236626,-0.37305792706407453,0.5719766592863634
PCA,PC6,6,PCA 6,SI7,0.516298609282941,-0.33488212158098996,0.6615800270364744
PCA,PC6,6,PCA 6,SI8,0.42585762525628634,-0.3170767635477526,0.5456898278731266
PCA,PC6,6,PCA 6,SI9,0.3865346211484807,-0.3216209795845056,0.49530171205594725
PCA,PC6,6,PCA 6,ce,0.30717184359468463,-0.19020122176962534,0.3936070191481914
PCA,PC6,6,PCA 6,co,0.40473035753903674,-0.2185677793549341,0.5186175520694066
PCA,PC6,6,PCA 6,st,0.17324895406787477,0.0385026116544277,0.2219995282874232
PCA,PC7,7,PCA 7,SI1,0.5552672791566303,0.5552672791566303,0.8459477720782811
PCA,PC7,7,PCA 7,SI2,0.6563848236073465,0.6227490051054353,1.0
PCA,PC7,7,PCA 7,SI3,0.5951773762931284,0.3512066738793217,0.90675066651018
PCA,PC7,7,PCA 7,SI4,0.4764119189914703,0.11455749028019646,0.725811904628165
PCA,PC7,7,PCA 7,SI5,0.5939482583324855,0.06085474882667817,0.9048781095642594
PCA,PC7,7,PCA 7,SI6,0.44955437442476187,-0.37336346293197853,0.6848945287219013
PCA,PC7,7,PCA 7,SI7,0.5157896915345773,-0.33329022365762234,0.7858038043900996
PCA,PC7,7,PCA 7,SI8,0.4138942585090419,-0.3267099049114318,0.6305664659252329
PCA,PC7,7,PCA 7,SI9,0.3530724670287417,-0.3530724670287417,0.5379046777595087
PCA,PC7,7,PCA 7,ce,0.31929314954659993,-0.18096408271452172,0.48644200484684436
