Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program3,GO:0015386,potassium:proton antiporter activity,MF,2,3,69,27.217391304347824,0.001746278025776122,N900_RS01040/N900_RS12655,0.050642062747507544,1.295488612990401,1.4348464971928367
Program3,GO:0015173,aromatic amino acid transmembrane transporter activity,MF,2,3,69,27.217391304347824,0.001746278025776122,N900_RS14770/N900_RS17695,0.025321031373753772,1.596518608654382,1.4348464971928367
Program3,GO:0003700,DNA-binding transcription factor activity,MF,9,126,69,2.9161490683229814,0.0031274792753852787,N900_RS04565/N900_RS07350/N900_RS08845/N900_RS12985/N900_RS14080/N900_RS14660/N900_RS17950/N900_RS18255/N900_RS18380,0.030232299662057694,1.519528816349936,0.46480972057028
Program3,GO:0043565,sequence-specific DNA binding,MF,4,35,69,4.66583850931677,0.009740287758958795,N900_RS07350/N900_RS11160/N900_RS17950/N900_RS18380,0.07061708625245126,1.151090205925969,0.6689297032262048
Program3,GO:0004252,serine-type endopeptidase activity,MF,3,19,69,6.446224256292906,0.010290017801642312,N900_RS04445/N900_RS11160/N900_RS17550,0.05968210324952541,1.2241558803482608,0.8093054100153515
Program3,GO:0006351,DNA-templated transcription,BP,3,23,69,5.325141776937618,0.017539015257849143,N900_RS07350/N900_RS17950/N900_RS18380,0.08477190707960419,1.071748046583963,0.7263311749505875
Program3,GO:0016301,kinase activity,MF,3,28,69,4.374223602484472,0.0297460461444138,N900_RS04380/N900_RS06615/N900_RS10705,0.12323361974114289,0.9092707947996252,0.6409009796259613
Program3,GO:0006744,ubiquinone biosynthetic process,BP,2,14,69,5.832298136645963,0.04450881689339616,N900_RS00495/N900_RS11360,0.16134446123856108,0.7922459388117786,0.7658397162342612
Program3,GO:0015627,type II protein secretion system complex,CC,2,17,69,4.80306905370844,0.0634741439367943,N900_RS00890/N900_RS12600,0.20452779712967054,0.6892476591987597,0.6815188305342254
Program3,GO:0015628,protein secretion by the type II secretion system,BP,2,18,69,4.536231884057972,0.07030614031351147,N900_RS00890/N900_RS12600,0.20388780690918326,0.6906087455332671,0.6566952468091932
Program3,GO:0004888,transmembrane signaling receptor activity,MF,2,22,69,3.7114624505928853,0.09977493905384308,N900_RS14065/N900_RS18340,0.26304302114194994,0.5799732160859716,0.569545071090293
Program3,GO:0005506,iron ion binding,MF,2,25,69,3.266086956521739,0.12373764098451041,N900_RS11830/N900_RS13845,0.2990326323792335,0.5242814160604174,0.5140277432404616
Program3,GO:0006310,DNA recombination,BP,2,33,69,2.474308300395257,0.19284320227266152,N900_RS13730/N900_RS15370,0.4301886819928603,0.36634101982653455,0.39345381203461177
Program3,GO:0006508,proteolysis,BP,3,62,69,1.9754558204768584,0.19286115962539874,N900_RS11360/N900_RS14860/N900_RS17550,0.39949811636689736,0.39848526404308354,0.29566732146992664
Program3,GO:0003676,nucleic acid binding,MF,2,34,69,2.40153452685422,0.20183401713853902,N900_RS00720/N900_RS11720,0.39021243313450876,0.4086988970232895,0.38048883487024415
Program3,GO:0005525,GTP binding,MF,2,37,69,2.206815511163337,0.22907273936720304,N900_RS01850/N900_RS19310,0.4151943401030555,0.38174857538783824,0.34376602784550425
Program3,GO:0003677,DNA binding,MF,6,172,69,1.424165824064712,0.24302394542547276,N900_RS04565/N900_RS10990/N900_RS12985/N900_RS13730/N900_RS14080/N900_RS15370,0.4145702598434535,0.38240185624395984,0.1535605597246128
Program3,GO:0005829,cytosol,CC,12,420,69,1.1664596273291925,0.32776071064055756,N900_RS00495/N900_RS02775/N900_RS04380/N900_RS05920/N900_RS09695/N900_RS11460/N900_RS11610/N900_RS11830/N900_RS12235/N900_RS13485/N900_RS14660/N900_RS14860,0.528058922698676,0.2773176146344832,0.0668697118982424
Program3,GO:0022857,transmembrane transporter activity,MF,3,87,69,1.4077961019490255,0.3595969932049228,N900_RS14770/N900_RS15255/N900_RS16535,0.5488585685759348,0.2605395513607841,0.14853975834956196
Program3,GO:0005524,ATP binding,MF,10,355,69,1.15003061849357,0.36878896896350577,N900_RS01850/N900_RS04380/N900_RS06615/N900_RS10705/N900_RS10990/N900_RS11160/N900_RS11610/N900_RS11870/N900_RS14080/N900_RS16535,0.5347440049970833,0.27185407559473285,0.06070940319342392
Program3,GO:0030288,outer membrane-bounded periplasmic space,CC,2,54,69,1.5120772946859904,0.3836236698478098,N900_RS11075/N900_RS13800,0.529766020266023,0.2759159012373984,0.17957399208953076
Program3,GO:0006935,chemotaxis,BP,2,69,69,1.1833648393194707,0.5089508716902721,N900_RS14065/N900_RS18340,0.6708897854099042,0.17334882039702446,0.07311866117524392
Program3,GO:0007165,signal transduction,BP,2,76,69,1.074370709382151,0.5616748398751359,N900_RS14065/N900_RS18340,0.7081987111469105,0.14984486795109908,0.031154159631707902
Program3,GO:0016887,ATP hydrolysis activity,MF,3,126,69,0.9720496894409938,0.6041424225768698,N900_RS02300/N900_RS11160/N900_RS16535,0.7300054272803843,0.13667391107247445,-0.012311534149382419
Program3,GO:0005886,plasma membrane,CC,14,661,69,0.8646977570216405,0.7774974811963382,N900_RS00890/N900_RS01040/N900_RS03055/N900_RS06415/N900_RS06575/N900_RS11075/N900_RS12655/N900_RS14065/N900_RS14770/N900_RS14855/N900_RS15255/N900_RS16535/N900_RS17695/N900_RS18340,0.9018970781877523,0.04484302002507873,-0.06313566755888414
Program3,GO:0006355,regulation of DNA-templated transcription,BP,2,150,69,0.5443478260869565,0.891097447047532,N900_RS04565/N900_RS18255,0.9939163832453242,0.002650150635525952,-0.264123507143182
Program3,GO:0016020,membrane,CC,5,310,69,0.6584852734922861,0.8917325541509176,N900_RS04445/N900_RS10885/N900_RS12600/N900_RS16375/N900_RS17550,0.9577868174213559,0.018731144700553846,-0.18145393324973583
Program3,GO:0046872,metal ion binding,MF,3,290,69,0.42233883058470767,0.9790223040538848,N900_RS04565/N900_RS11360/N900_RS19310,1.0,-0.0,-0.3743389869307756
Program3,GO:0005737,cytoplasm,CC,5,433,69,0.47143287478662516,0.9873953672595541,N900_RS04380/N900_RS10495/N900_RS11160/N900_RS15370/N900_RS19310,0.9873953672595541,0.005508914769244095,-0.3265801357688286
