Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program6,GO:0034605,cellular response to heat,BP,2,5,70,16.097142857142856,0.005799799840732204,N900_RS00885/N900_RS11160,0.20299299442562713,0.6925189499429066,1.206748798299479
Program6,GO:0043565,sequence-specific DNA binding,MF,4,35,70,4.599183673469388,0.010240195212775442,N900_RS11160/N900_RS11210/N900_RS12195/N900_RS17950,0.17920341622357022,0.7466537154724219,0.6626807539492033
Program6,GO:0006974,DNA damage response,BP,2,8,70,10.060714285714285,0.015472893510806053,N900_RS04030/N900_RS08180,0.18051709095940396,0.7434816737695417,1.002628815643554
Program6,GO:0046677,response to antibiotic,BP,2,12,70,6.707142857142856,0.03420898130503285,N900_RS12015/N900_RS15395,0.2993285864190375,0.5238518052740663,0.8265375565878729
Program6,GO:0009432,SOS response,BP,2,13,70,6.1912087912087905,0.039789584757995204,N900_RS08180/N900_RS11210,0.2785270933059664,0.5551325530899789,0.7917754503286609
Program6,GO:0030288,outer membrane-bounded periplasmic space,CC,4,54,70,2.980952380952381,0.04352337662274665,N900_RS01710/N900_RS11075/N900_RS13800/N900_RS18640,0.2538863636326888,0.5953606246801013,0.47435503847651045
Program6,GO:0042802,identical protein binding,MF,2,18,70,4.4714285714285715,0.07210408027959082,N900_RS01435/N900_RS11040,0.3605204013979541,0.4430701540683923,0.6504462975321916
Program6,GO:0004252,serine-type endopeptidase activity,MF,2,19,70,4.23609022556391,0.07932750426116783,N900_RS11160/N900_RS11210,0.34705783114260924,0.45959815156805917,0.6269652016826688
Program6,GO:0032993,protein-DNA complex,CC,3,44,70,2.7438311688311687,0.09447231384096369,N900_RS01100/N900_RS11210/N900_RS12985,0.3673923316037477,0.4348699127469592,0.4383573852049915
Program6,GO:0006351,DNA-templated transcription,BP,2,23,70,3.4993788819875773,0.11023574428454977,N900_RS12195/N900_RS17950,0.38582510499592415,0.4136095169552975,0.5439909666179048
Program6,GO:0006260,DNA replication,BP,2,25,70,3.2194285714285713,0.1267048993533538,N900_RS02555/N900_RS11210,0.4031519524879439,0.3945312325465415,0.5077787939634602
Program6,GO:0051287,NAD binding,MF,2,27,70,2.980952380952381,0.14371613729109595,N900_RS01990/N900_RS15315,0.4191720670990298,0.3776076656926118,0.47435503847651045
Program6,GO:0000156,phosphorelay response regulator activity,MF,2,28,70,2.8744897959183673,0.15239632923787957,N900_RS01100/N900_RS10235,0.41029780948659883,0.3869008016546378,0.4585607712932785
Program6,GO:0006281,DNA repair,BP,2,29,70,2.775369458128079,0.16117853531255863,N900_RS02555/N900_RS11210,0.4029463382813966,0.394752786464379,0.4433208047365417
Program6,GO:0022857,transmembrane transporter activity,MF,4,87,70,1.8502463054187193,0.16846519967078208,N900_RS07345/N900_RS13170/N900_RS16535/N900_RS19340,0.3930854658984915,0.4055130136634413,0.2672295456808604
Program6,GO:0005886,plasma membrane,CC,20,661,70,1.2176356170304732,0.18834730354740212,N900_RS01075/N900_RS01250/N900_RS01895/N900_RS03380/N900_RS03865/N900_RS04570/N900_RS07345/N900_RS10325/N900_RS11040/N900_RS11075/N900_RS12015/N900_RS13170/N900_RS13175/N900_RS14065/N900_RS16240/N900_RS16535/N900_RS17695/N900_RS17705/N900_RS18130/N900_RS19875,0.4120097265099421,0.38509253124906284,0.08551734314985744
Program6,GO:0009252,peptidoglycan biosynthetic process,BP,2,33,70,2.4389610389610388,0.19712960155112755,N900_RS07680/N900_RS12015,0.4058550620170273,0.39162903293612067,0.38720486275761024
Program6,GO:0003700,DNA-binding transcription factor activity,MF,5,126,70,1.596938775510204,0.20160353526871605,N900_RS10235/N900_RS12195/N900_RS12985/N900_RS13880/N900_RS17950,0.3920068741336145,0.40670631723433637,0.20328826618997242
Program6,GO:0003676,nucleic acid binding,MF,2,34,70,2.3672268907563025,0.2062770763044276,N900_RS15430/N900_RS18420,0.37998408792920874,0.42023458935484653,0.3742398855932426
Program6,GO:0030170,pyridoxal phosphate binding,MF,2,37,70,2.1752895752895753,0.23396998192159021,N900_RS01435/N900_RS16230,0.4094474683627829,0.38780180980984824,0.3375170785685027
