Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program2,GO:0006865,amino acid transport,BP,3,17,78,6.373303167420815,0.010498688379137179,N900_RS07765/N900_RS12160/N900_RS17335,0.33595802813238973,0.47371497644673166,0.8043645776366815
Program2,GO:0000160,phosphorelay signal transduction system,BP,4,41,78,3.523452157598499,0.025355481938248395,N900_RS04235/N900_RS06050/N900_RS08820/N900_RS17040,0.4056877110119743,0.3918081476334136,0.5469683789035198
Program2,GO:0022857,transmembrane transporter activity,MF,6,87,78,2.490716180371353,0.03164362338392082,N900_RS07630/N900_RS07765/N900_RS11590/N900_RS12410/N900_RS17335/N900_RS18065,0.3375319827618221,0.4716850694140355,0.3963242420603181
Program2,GO:0015293,symporter activity,MF,2,12,78,6.019230769230768,0.041741332399376226,N900_RS02750/N900_RS16255,0.3339306591950098,0.47634370521055064,0.7795409939116492
Program2,GO:0005975,carbohydrate metabolic process,BP,3,34,78,3.1866515837104075,0.06613048563149124,N900_RS01460/N900_RS15185/N900_RS16875,0.4232351080415439,0.3734183140439854,0.5033345819727003
Program2,GO:0042597,periplasmic space,CC,3,37,78,2.9282744282744284,0.08101119061568976,N900_RS00465/N900_RS05475/N900_RS17225,0.4320596832836787,0.3644562570498528,0.4666117749479604
Program2,GO:0042802,identical protein binding,MF,2,18,78,4.012820512820513,0.08702291399396019,N900_RS02750/N900_RS07805,0.39781903540096086,0.40031443998531324,0.6034497348559681
Program2,GO:0015031,protein transport,BP,2,21,78,3.4395604395604393,0.11333267229978947,N900_RS17025/N900_RS18065,0.45333068919915787,0.34358487944407157,0.5365029452253549
Program2,GO:0000976,transcription cis-regulatory region binding,MF,4,69,78,2.0936454849498327,0.12205081370584446,N900_RS02095/N900_RS16475/N900_RS17225/N900_RS17325,0.43395844873189143,0.3625518519399097,0.320903144886
Program2,GO:0005886,plasma membrane,CC,23,661,78,1.2566623996276038,0.1287570009924656,N900_RS01110/N900_RS02665/N900_RS02750/N900_RS04250/N900_RS06035/N900_RS06750/N900_RS07630/N900_RS07765/N900_RS10225/N900_RS11060/N900_RS11590/N900_RS12080/N900_RS12160/N900_RS12410/N900_RS14390/N900_RS16255/N900_RS16570/N900_RS16835/N900_RS17025/N900_RS17040/N900_RS17335/N900_RS18065/N900_RS18410,0.4120224031758899,0.38507916913398954,0.0992186208272456
Program2,GO:0043709,cell adhesion involved in single-species biofilm formation,BP,2,23,78,3.140468227424749,0.13186822268061074,N900_RS02665/N900_RS17040,0.38361664779814036,0.4161025540300891,0.49699440394168126
Program2,GO:1902201,negative regulation of bacterial-type flagellum-dependent cell motility,BP,2,23,78,3.140468227424749,0.13186822268061074,N900_RS02665/N900_RS17040,0.351648593814962,0.4538911149194889,0.49699440394168126
Program2,GO:0016301,kinase activity,MF,2,28,78,2.5796703296703294,0.18073138228223068,N900_RS10705/N900_RS16835,0.44487724869472167,0.3517598037799135,0.4115642086170549
Program2,GO:0052621,diguanylate cyclase activity,MF,2,28,78,2.5796703296703294,0.18073138228223068,N900_RS02665/N900_RS17040,0.4131003023593844,0.3839444871513148,0.4115642086170549
Program2,GO:0043190,ATP-binding cassette (ABC) transporter complex,CC,2,29,78,2.490716180371353,0.19082111717271164,N900_RS11590/N900_RS17335,0.40708504996845146,0.3903148466145222,0.3963242420603181
Program2,GO:0006310,DNA recombination,BP,2,33,78,2.1888111888111887,0.231820572042288,N900_RS10565/N900_RS19020,0.463641144084576,0.3338180311725746,0.34020830008138664
Program2,GO:0016020,membrane,CC,11,310,78,1.2815136476426798,0.23381700600165842,N900_RS00175/N900_RS03060/N900_RS03965/N900_RS04235/N900_RS07190/N900_RS09005/N900_RS09905/N900_RS11175/N900_RS14580/N900_RS15790/N900_RS16255,0.4401261289442982,0.3564228479344824,0.1077232356192453
Program2,GO:0046872,metal ion binding,MF,10,290,78,1.2453580901856762,0.2782420599798583,N900_RS00175/N900_RS00465/N900_RS04935/N900_RS06035/N900_RS06750/N900_RS07550/N900_RS11065/N900_RS11175/N900_RS17620/N900_RS17830,0.49465255107530365,0.3056997467906141,0.09529424639633681
Program2,GO:0005576,extracellular region,CC,2,39,78,1.8520710059171597,0.29411683888134904,N900_RS11175/N900_RS17830,0.4953546760106931,0.30508373303267744,0.26765763293277495
Program2,GO:0009055,electron transfer activity,MF,2,44,78,1.6416083916083914,0.34562023746101106,N900_RS00465/N900_RS06750,0.5529923799376177,0.2572808530964684,0.21526956347308668
Program2,GO:0003723,RNA binding,MF,2,52,78,1.3890532544378698,0.4252707033657369,N900_RS01525/N900_RS03345,0.6480315479858848,0.1884038509462659,0.14271889632447496
Program2,GO:0003700,DNA-binding transcription factor activity,MF,4,126,78,1.1465201465201464,0.4647401110256333,N900_RS02095/N900_RS16475/N900_RS17225/N900_RS17325,0.6759856160372848,0.1700625450969687,0.05938169050569242
Program2,GO:0051539,"4 iron, 4 sulfur cluster binding",MF,2,57,78,1.2672064777327934,0.47252729727378673,N900_RS00175/N900_RS00350,0.6574292831635293,0.1821509555128399,0.10284738428678271
Program2,GO:0006508,proteolysis,BP,2,62,78,1.1650124069478909,0.517435567002376,N900_RS11175/N900_RS17830,0.6899140893365013,0.1612049858569771,0.0663305504610203
Program2,GO:0006935,chemotaxis,BP,2,69,78,1.0468227424749164,0.5759966689709836,N900_RS12080/N900_RS18410,0.7372757362828589,0.1323700584770167,0.019873149222018823
Program2,GO:0006355,regulation of DNA-templated transcription,BP,4,150,78,0.963076923076923,0.6048148603928447,N900_RS02095/N900_RS16475/N900_RS17225/N900_RS17325,0.7443875204835012,0.1282009163453851,-0.016339023432425905
Program2,GO:0008270,zinc ion binding,MF,2,74,78,0.9760914760914761,0.6146181315329278,N900_RS17925/N900_RS19020,0.7284363040390255,0.13760841783192052,-0.010509479771702052
Program2,GO:0007165,signal transduction,BP,2,76,78,0.9504048582995952,0.6293106355832475,N900_RS12080/N900_RS18410,0.7192121549522829,0.14314298147491536,-0.022091352321517172
Program2,GO:0005737,cytoplasm,CC,10,433,78,0.8340735476994137,0.7821297504799689,N900_RS00175/N900_RS00385/N900_RS01090/N900_RS01460/N900_RS02415/N900_RS10565/N900_RS16245/N900_RS17620/N900_RS17925/N900_RS19020,0.8630397246675519,0.06396921377858165,-0.07879565205807253
Program2,GO:0016887,ATP hydrolysis activity,MF,2,126,78,0.5732600732600732,0.8725365220934631,N900_RS11590/N900_RS19020,0.9307056235663607,0.03118766195857127,-0.24164830515828878
Program2,GO:0005829,cytosol,CC,8,420,78,0.6879120879120878,0.9141850389394915,N900_RS00495/N900_RS01525/N900_RS02775/N900_RS03965/N900_RS05615/N900_RS06810/N900_RS07805/N900_RS14475,0.9436748789052816,0.025177605932734156,-0.162467059110664
Program2,GO:0005524,ATP binding,MF,6,355,78,0.6104008667388949,0.9413610866091044,N900_RS01460/N900_RS10705/N900_RS11175/N900_RS11590/N900_RS17620/N900_RS19020,0.9413610866091044,0.026243758249763192,-0.21438485837615748
