Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program8,GO:1904680,peptide transmembrane transporter activity,MF,2,8,71,9.919014084507042,0.01589863026577154,N900_RS13800/N900_RS18915,0.5246547987704608,0.2801263504960985,0.9964685069387357
Program8,GO:0016301,kinase activity,MF,3,28,71,4.251006036217303,0.03202383851317033,N900_RS04380/N900_RS10705/N900_RS15160,0.5283933354673105,0.27704266870327976,0.6284917216441412
Program8,GO:0043190,ATP-binding cassette (ABC) transporter complex,CC,3,29,71,4.104419621175328,0.035088179438754544,N900_RS07485/N900_RS13800/N900_RS18915,0.3859699738263,0.4134464795478372,0.6132517550874045
Program8,GO:0015833,peptide transport,BP,2,12,71,6.612676056338028,0.03511742698512211,N900_RS13800/N900_RS18915,0.2897187726272574,0.5380233633247612,0.8203772478830544
Program8,GO:0008237,metallopeptidase activity,MF,2,13,71,6.104008667388949,0.040836792534673656,N900_RS14860/N900_RS16350,0.26952283072884614,0.5694044407199396,0.7856151416238425
Program8,GO:0006310,DNA recombination,BP,3,33,71,3.606914212548015,0.04879865309426719,N900_RS02890/N900_RS13675/N900_RS13730,0.26839259201846954,0.5712294754251781,0.5571358131084729
Program8,GO:0030170,pyridoxal phosphate binding,MF,3,37,71,3.216977540921203,0.06475037389011845,N900_RS01435/N900_RS05955/N900_RS15305,0.30525176262484416,0.5153418196155669,0.5074480289193655
Program8,GO:0015627,type II protein secretion system complex,CC,2,17,71,4.667771333885667,0.06676470383914802,N900_RS00890/N900_RS00945,0.2754044033364856,0.5600291202539328,0.6691095725524053
Program8,GO:0015628,protein secretion by the type II secretion system,BP,2,18,71,4.408450704225352,0.07391745341030721,N900_RS00890/N900_RS00945,0.2710306625044598,0.5669815733204688,0.6442859888273732
Program8,GO:0004252,serine-type endopeptidase activity,MF,2,19,71,4.176426982950334,0.08130425361052084,N900_RS04445/N900_RS11160,0.26830403691471877,0.5713727928644129,0.6208048929778504
Program8,GO:0043709,cell adhesion involved in single-species biofilm formation,BP,2,23,71,3.4500918554807103,0.11288226775945659,N900_RS09705/N900_RS16380,0.33864680327836977,0.47025301964455873,0.5378306579130864
Program8,GO:1902201,negative regulation of bacterial-type flagellum-dependent cell motility,BP,2,23,71,3.4500918554807103,0.11288226775945659,N900_RS09705/N900_RS16380,0.31042623633850563,0.5080415805339585,0.5378306579130864
Program8,GO:0050660,flavin adenine dinucleotide binding,MF,2,26,71,3.0520043336944744,0.1383025138705399,N900_RS00745/N900_RS01040,0.351075612132909,0.4545993382474667,0.4845851459598613
