Model,Rank,Mean_abs_offdiag_correlation,Distinctness_score
PCA,8,1.403161888409558e-16,0.9999999999999999
CP,8,0.18552577246733662,0.8144742275326634
VAE,8,0.3107215041641747,0.6892784958358253
weighted CPVAE,8,0.12452755075372941,0.8754724492462705
